club,season,previous_observed_season,previous_tier,current_tier,movement_direction,match_id,match_date,opponent,is_home,new_season_match_number,window,matches_observed_in_new_season,tier_season_observed_fixtures,tier_season_expected_fixtures,tier_season_fixture_coverage,tier_season_archive_complete,has_complete_20_match_window,goals_for,goals_against,goal_difference,win,market_team_probability,bbc_shot_difference,bbc_proxy_xg_difference,transition_definition,m12_draw_averaged_team_win_probability,m12_score_support,score_support_mass,m12_opponent_win_probability,coherent_market_opponent_probability,opponent_archive_odds,transitioning_market_favourite,coherent_market_team_probability,m12_minus_market,archive_odds,quarter_kelly_fraction
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035486,2025-08-02,montrose,1,1,1-5,35,175,180,0.972,0,1,2.0,0.0,2.0,1,0.497812,-2.000,0.579,consecutive observed seasons changed tier; mechanism unverified,0.549982,0:11 independent Poisson draw-wise,0.9999993701,0.217517,0.24179431072210064,4.2,1,0.497812,0.052170,2.0400,0.027110
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035502,2025-08-09,queen-of-the-south,0,2,1-5,35,175,180,0.972,0,1,4.0,1.0,3.0,1,,15.000,1.813,consecutive observed seasons changed tier; mechanism unverified,0.368089,0:11 independent Poisson draw-wise,0.9999999511,0.368633,,,,,,,
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035484,2025-08-16,east-fife,1,3,1-5,35,175,180,0.972,0,1,1.0,2.0,-1.0,0,0.627273,3.000,-1.101,consecutive observed seasons changed tier; mechanism unverified,0.522726,0:11 independent Poisson draw-wise,0.9999996199,0.235245,0.1538779866268813,6.4,1,0.627273,-0.104547,1.5700,0.000000
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035492,2025-08-23,alloa-athletic,0,4,1-5,35,175,180,0.972,0,1,0.0,1.0,-1.0,0,0.431115,1.000,-0.095,consecutive observed seasons changed tier; mechanism unverified,0.399197,0:11 independent Poisson draw-wise,0.9999999241,0.342808,0.2985635282251052,3.35,1,0.431115,-0.031919,2.3200,0.000000
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035499,2025-08-30,cove-rangers,1,5,1-5,35,175,180,0.972,0,1,0.0,0.0,0.0,0,0.533729,0.000,0.166,consecutive observed seasons changed tier; mechanism unverified,0.490807,0:11 independent Poisson draw-wise,0.9999997382,0.262971,0.21942179392142327,4.5,1,0.533729,-0.042921,1.8500,0.000000
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035511,2025-09-13,peterhead,0,6,6-10,35,175,180,0.972,0,1,2.0,2.0,0.0,0,0.402735,-3.000,0.025,consecutive observed seasons changed tier; mechanism unverified,0.341797,0:11 independent Poisson draw-wise,0.9999999470,0.395225,0.3444081144745632,2.9,1,0.402735,-0.060938,2.4800,0.000000
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035515,2025-09-20,kelty-hearts-fc,0,7,6-10,35,175,180,0.972,0,1,4.0,0.0,4.0,1,0.620776,6.000,1.177,consecutive observed seasons changed tier; mechanism unverified,0.465680,0:11 independent Poisson draw-wise,0.9999998569,0.280358,0.1665749444163163,6.0,1,0.620776,-0.155096,1.6100,0.000000
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035518,2025-09-27,stenhousemuir,1,8,6-10,35,175,180,0.972,0,1,2.0,0.0,2.0,1,0.489821,0.000,-0.444,consecutive observed seasons changed tier; mechanism unverified,0.466133,0:11 independent Poisson draw-wise,0.9999998544,0.280852,0.24371595144795952,4.1,1,0.489821,-0.023689,2.0400,0.000000
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035522,2025-10-04,inverness-caledonian-thistle,1,9,6-10,35,175,180,0.972,0,1,3.0,1.0,2.0,1,0.260399,6.000,0.523,consecutive observed seasons changed tier; mechanism unverified,0.446229,0:11 independent Poisson draw-wise,0.9999999094,0.294351,0.4757294518261334,2.08,0,0.260399,0.185830,3.8000,0.061104
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035530,2025-10-18,montrose,0,10,6-10,35,175,180,0.972,0,1,4.0,0.0,4.0,1,0.443837,1.000,0.263,consecutive observed seasons changed tier; mechanism unverified,0.489328,0:11 independent Poisson draw-wise,0.9999996821,0.268213,0.29331863064508046,3.45,1,0.443837,0.045491,2.2800,0.020556
