portfolio_run_id,analysis_side,club,match_id,kickoff_date,movement_direction,window,selection,odds_close,stake_amount,pnl
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12477128,2024-08-03,upward_tier_move,1-5,home,2.835031767441645,14.569279540748495,26.20038897029089
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,edinburgh-city-fc,12477129,2024-08-03,downward_tier_move,1-5,home,7.137657359979854,24.035789907703087,-24.035789907703087
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,12477132,2024-08-03,upward_tier_move,1-5,away,4.307789947823633,11.552879550190816,-11.552879550190816
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,edinburgh-city-fc,12476632,2024-08-10,downward_tier_move,1-5,away,14.0,18.17760310389228,-18.17760310389228
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476797,2024-08-10,upward_tier_move,1-5,away,3.224454979073816,7.260079906387763,-7.260079906387763
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,12476798,2024-08-10,upward_tier_move,1-5,home,2.910181870662802,8.853470782226077,-8.853470782226077
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,inverness-caledonian-thistle,12476800,2024-08-10,downward_tier_move,1-5,away,2.8321376674892913,4.113919041050997,-4.113919041050997
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stirling-albion,12476634,2024-08-17,downward_tier_move,1-5,away,5.353504132128758,12.123560538708583,51.724371483353345
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476790,2024-08-17,upward_tier_move,1-5,away,3.914204570788286,15.043537542357681,-15.043537542357681
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,12476795,2024-08-17,upward_tier_move,1-5,away,2.834997837291151,4.01779568766443,-4.01779568766443
