club,opponent,match_id,movement_direction,window,analysis_side,selection,portfolio_run_id,kickoff_date,odds_close,stake_amount,pnl
east-fife,peterhead,14035567,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-12-20,3.438004286853993,26.241399108316624,62.69711064874003
east-fife,kelty-hearts-fc,14035576,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-12-27,5.2262664848288205,21.960541136373873,90.95487701349428
peterhead,kelty-hearts-fc,14035526,upward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-10-04,4.554496944854671,11.24965292961078,-11.24965292961078
peterhead,queen-of-the-south,14035531,upward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-10-18,3.2688231327640693,0.9788694708777138,-0.9788694708777138
peterhead,hamilton-academical,15363335,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2026-01-17,5.05,43.76200482202227,173.69139713860642
arbroath,kelty-hearts-fc,12476796,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-08-17,3.8169079807403183,0.5007671505010202,1.3824026830841334
arbroath,annan-athletic,12476773,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-09-21,3.4828869102211906,0.3639776930727137,-0.3639776930727137
arbroath,inverness-caledonian-thistle,12476761,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-10-05,2.8553602334932577,0.04677037344431619,-0.04677037344431619
arbroath,dumbarton,12476763,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-10-19,3.959839718148722,5.327462989545131,15.453067822354548
arbroath,stenhousemuir,12476748,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-11-02,4.647742874739833,25.490859681755996,-25.490859681755996
arbroath,montrose,12476746,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-11-09,3.602491692103488,9.2876699584126,-9.2876699584126
arbroath,cove-rangers,12476744,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-11-16,4.182341169673551,6.608858815869633,-6.608858815869633
arbroath,queen-of-the-south,12476730,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-12-07,4.241481822064793,8.44135011118342,-8.44135011118342
arbroath,kelty-hearts-fc,13179034,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-12-17,3.279673029299715,16.034258778704995,35.82180993697344
arbroath,annan-athletic,12476718,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-12-21,3.5964197708160257,18.560949901200964,-18.560949901200964
arbroath,montrose,12476714,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-12-28,4.455912294215988,4.63139194007675,-4.63139194007675
arbroath,alloa-athletic,12476711,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-01-04,4.324853244639819,13.859628746449228,45.15960697499232
inverness-caledonian-thistle,dumbarton,12477132,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-08-03,4.307789947823633,11.552879550190816,-11.552879550190816
inverness-caledonian-thistle,cove-rangers,12476772,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-09-21,4.651251709771371,0.6672932393192333,-0.6672932393192333
inverness-caledonian-thistle,stenhousemuir,12476770,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-09-28,5.863205562455728,17.13593525029703,-17.13593525029703
inverness-caledonian-thistle,annan-athletic,12476758,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-10-19,5.512722101058049,5.092083966166884,-5.092083966166884
inverness-caledonian-thistle,kelty-hearts-fc,12476739,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-11-02,4.719395383409191,5.195193938762247,-5.195193938762247
inverness-caledonian-thistle,alloa-athletic,12476735,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-11-16,4.034060506483669,2.1451646246112293,-2.1451646246112293
inverness-caledonian-thistle,montrose,12476727,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-12-07,3.3333553850699422,1.2688482800275667,-1.2688482800275667
inverness-caledonian-thistle,arbroath,12476720,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-12-14,4.032271636508509,4.3256025267725,12.854073815686954
inverness-caledonian-thistle,cove-rangers,12476713,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-12-28,5.255776367076884,14.049426097851624,58.59539124706555
inverness-caledonian-thistle,dumbarton,12476708,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-01-04,5.220386644838837,17.487541876476467,-17.487541876476467
dumbarton,arbroath,12476791,upward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-08-24,3.8516238953268234,1.9440846877540627,-1.9440846877540627
dumbarton,kelty-hearts-fc,12476784,upward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-08-31,3.556402734466962,0.14824547824596052,-0.14824547824596052
dumbarton,montrose,12476771,upward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-09-21,4.177138313699162,1.1866117512444494,3.6946290651971108
dumbarton,queen-of-the-south,12476737,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-11-16,3.15,0.1421351820881745,-0.1421351820881745
dumbarton,kelty-hearts-fc,12476712,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-12-28,2.6896277431243973,1.3884688290710037,-1.3884688290710037
dumbarton,elgin-city,14035672,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-08-16,4.720029883223713,41.40475955345232,-41.40475955345232
dumbarton,stranraer,14035698,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-09-27,5.3,28.024309405623516,118.09443983529748
dumbarton,stirling-albion,14035704,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-10-04,2.9792579740830862,9.372927098909067,-9.372927098909067
dumbarton,annan-athletic,14035718,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-11-08,3.15,0.049718494824658836,-0.049718494824658836
dumbarton,forfar-athletic,14035727,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-11-22,3.5260701869312414,29.936989915275515,74.11047895720993
stenhousemuir,annan-athletic,12476743,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-11-09,3.2926558597953797,0.8659363135725869,-0.8659363135725869
stenhousemuir,dumbarton,12476724,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-12-07,3.627352696802351,0.7114676630222663,-0.7114676630222663
stenhousemuir,queen-of-the-south,12476723,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-12-14,3.0847453284502433,2.281348728195372,4.6609104815977815
stenhousemuir,inverness-caledonian-thistle,12476726,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-12-21,2.9750566965215577,0.6870911894910083,1.329903173826675
stirling-albion,elgin-city,12476633,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-08-10,3.7557421467495926,6.33162100594747,17.099348566067807
stirling-albion,bonnyrigg-rose,12476606,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-09-21,3.1579356875430196,3.366343237541812,7.119065164634374
stirling-albion,edinburgh-city-fc,12476562,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2024-12-07,4.934053363495226,16.499629905811187,63.612216036835264
