club,opponent,match_id,movement_direction,window,analysis_side,selection,portfolio_run_id,kickoff_date,odds_close,stake_amount,pnl
hamilton-academical,east-fife,14035484,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-08-16,6.217939252323812,9.44952729274745,48.32091818919744
hamilton-academical,alloa-athletic,14035492,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-08-23,3.549925209099273,7.332634562112051,18.323716324661284
hamilton-academical,cove-rangers,14035499,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-08-30,4.6401382530215125,5.338371448597866,-5.338371448597866
hamilton-academical,peterhead,14035511,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-09-13,2.9249153267563694,8.58544263144393,-8.58544263144393
hamilton-academical,stenhousemuir,14035518,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-09-27,4.05,1.957264932060932,-1.957264932060932
hamilton-academical,queen-of-the-south,14035532,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-10-24,6.069759662587292,20.647559521540472,102.58460110531253
hamilton-academical,peterhead,14035541,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-11-08,5.478186478355484,26.083598450631463,-26.083598450631463
hamilton-academical,cove-rangers,14035555,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-11-15,5.32940507267969,32.90099767550329,139.59291130789572
hamilton-academical,kelty-hearts-fc,14035551,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-11-22,11.243840121855904,24.07646104273468,-24.07646104273468
hamilton-academical,stenhousemuir,14035562,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-12-06,3.214611178940396,10.181249227510042,-10.181249227510042
annan-athletic,elgin-city,14035662,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-08-02,2.9102202958587444,24.970028507056252,-24.970028507056252
annan-athletic,stranraer,14035705,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-10-04,2.8696134465302583,23.533508077918377,-23.533508077918377
annan-athletic,edinburgh-city-fc,14035721,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-11-15,3.040123343569896,17.321718793625614,-17.321718793625614
annan-athletic,forfar-athletic,14035737,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-12-13,4.285300948250173,47.547202357012964,-47.547202357012964
annan-athletic,stranraer,14035746,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-12-27,3.347682158676758,19.407191371173994,-19.407191371173994
annan-athletic,edinburgh-city-fc,14035771,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2026-01-24,4.013201742213717,50.698017697037436,-50.698017697037436
annan-athletic,clyde-fc,14035772,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2026-01-31,2.981138395834249,26.252114204387624,-26.252114204387624
east-fife,kelty-hearts-fc,14035494,upward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-08-23,5.023782616390649,7.917684770667104,-7.917684770667104
east-fife,cove-rangers,14035524,upward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-10-04,3.668587771919099,5.845522749843522,-5.845522749843522
east-fife,stenhousemuir,14035554,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-11-15,3.409638640004335,7.225489647884836,-7.225489647884836
east-fife,montrose,14035559,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,2025-11-22,3.0977022985224387,1.5162898152222815,3.117110138005585
