club,opponent,match_id,movement_direction,window,analysis_side,selection,m12_probability,market_probability,m12_minus_market,odds,quarter_kelly_fraction,independent_100_unit_stake,independent_pnl
east-fife,stenhousemuir,14035554,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.34935,0.2862080884894573,0.06314191151054271,3.5,0.020944642857142867,2.0944642857142868,-2.0944642857142868
east-fife,montrose,14035559,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,home,0.349997,0.3170429941231055,0.03295400587689451,3.2,0.01212784461966605,1.212784461966605,2.614763300000001
east-fife,peterhead,14035567,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.393308,0.31585760517799355,0.07745039482200644,3.15,0.02634171286188893,2.6341712861888933,5.550198899999997
east-fife,kelty-hearts-fc,14035576,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.275529,0.18173944056656646,0.09378955943343356,5.5,0.027812465419501147,2.781246541950115,12.265297250000007
peterhead,cove-rangers,14035493,upward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,0.284112,0.3545870672426021,-0.07047506724260211,2.82,0.0,0.0,-0.0
peterhead,alloa-athletic,14035521,upward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.265218,0.3323378839590444,-0.06711988395904439,3.0,0.0,0.0,-0.0
peterhead,kelty-hearts-fc,14035526,upward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,home,0.279665,0.22789194181482336,0.051773058185176635,4.4,0.01586950630252102,1.5869506302521021,-1.5869506302521021
peterhead,queen-of-the-south,14035531,upward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.291762,0.30722195801345203,-0.015459958013452013,3.3,0.0,0.0,-0.0
peterhead,montrose,14035549,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.214363,0.22192866578599732,-0.007565665785997322,4.5,0.0,0.0,-0.0
peterhead,stenhousemuir,14035556,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.272639,0.283432554087411,-0.010793554087411006,3.5,0.0,0.0,0.0
peterhead,kelty-hearts-fc,14035566,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.214721,0.23239712212890212,-0.017676122128902128,4.3,0.0,0.0,-0.0
peterhead,cove-rangers,14035573,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.300483,0.3345636126791142,-0.03408061267911422,3.0,0.0,0.0,0.0
peterhead,hamilton-academical,15363335,upward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.350824,0.1982407736225312,0.15258322637746882,5.0,0.046304469387755114,4.630446938775512,18.151352000000006
arbroath,kelty-hearts-fc,12476796,downward_tier_move,1-5,opponent_underdog_against_transitioning_archive_favourite,away,0.297209,0.3070362473347548,-0.009827247334754818,3.25,0.0,0.0,0.0
arbroath,annan-athletic,12476773,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.30348,0.29985173541022847,0.003628264589771557,3.25,0.0,0.0,-0.0
arbroath,inverness-caledonian-thistle,12476761,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.354369,0.31705797540006053,0.03731102459993946,3.15,0.011986768272425225,1.1986768272425226,-1.1986768272425226
arbroath,dumbarton,12476763,downward_tier_move,6-10,opponent_underdog_against_transitioning_archive_favourite,away,0.314026,0.24916430959115454,0.06486169040884548,4.0,0.020175377551020415,2.0175377551020413,5.931561000000001
arbroath,stenhousemuir,12476748,downward_tier_move,11-20,opponent_underdog_against_transitioning_archive_favourite,away,0.403569,0.2548621013987075,0.1487068986012925,4.1,0.05181135796576696,5.181135796576696,-5.181135796576696
