term_type,zone,body_part,context,shots,goals,raw_goal_rate,proxy_xg_per_shot,pseudo_count
cell,six_yard_centre,right_foot,set_piece,49,41,0.83673469,0.59472576,25.0
cell,six_yard_centre,unknown,corner,6,3,0.5,0.1938615,25.0
cell,six_yard_centre,unknown,open_play,16,12,0.75,0.36609041,25.0
cell,six_yard_centre,unknown,set_piece,1,1,1.0,0.15421948,25.0
cell,six_yard_side,header,corner,313,73,0.23322684,0.22488079,25.0
cell,six_yard_side,header,direct_free_kick,1,0,0.0,0.11575795,25.0
cell,six_yard_side,header,fast_break,2,0,0.0,0.11147062,25.0
cell,six_yard_side,header,open_play,455,52,0.11428571,0.11460356,25.0
cell,six_yard_side,header,set_piece,72,17,0.23611111,0.20628564,25.0
cell,six_yard_side,left_foot,corner,34,15,0.44117647,0.30524926,25.0
cell,six_yard_side,left_foot,direct_free_kick,1,0,0.0,0.11575795,25.0
cell,six_yard_side,left_foot,fast_break,4,0,0.0,0.10378299,25.0
cell,six_yard_side,left_foot,open_play,268,70,0.26119403,0.24917989,25.0
cell,six_yard_side,left_foot,set_piece,12,7,0.58333333,0.27053261,25.0
cell,six_yard_side,right_foot,corner,49,18,0.36734694,0.28391495,25.0
cell,six_yard_side,right_foot,direct_free_kick,3,0,0.0,0.10748952,25.0
cell,six_yard_side,right_foot,fast_break,8,6,0.75,0.27302141,25.0
cell,six_yard_side,right_foot,open_play,538,115,0.21375465,0.20960872,25.0
cell,six_yard_side,right_foot,set_piece,24,10,0.41666667,0.26550422,25.0
cell,six_yard_side,unknown,corner,2,1,0.5,0.14850765,25.0
cell,six_yard_side,unknown,open_play,9,0,0.0,0.08852078,25.0
cell,six_yard_side,unknown,set_piece,1,0,0.0,0.11575795,25.0
cell,very_long_range,header,corner,1,0,0.0,0.11575795,25.0
cell,very_long_range,header,direct_free_kick,1,0,0.0,0.11575795,25.0
cell,very_long_range,header,open_play,1,0,0.0,0.11575795,25.0
cell,very_long_range,left_foot,corner,4,0,0.0,0.10378299,25.0
cell,very_long_range,left_foot,direct_free_kick,9,0,0.0,0.08852078,25.0
cell,very_long_range,left_foot,fast_break,3,0,0.0,0.10748952,25.0
cell,very_long_range,left_foot,open_play,74,4,0.05405405,0.07080512,25.0
cell,very_long_range,right_foot,direct_free_kick,21,0,0.0,0.0654284,25.0
cell,very_long_range,right_foot,fast_break,13,0,0.0,0.07920281,25.0
cell,very_long_range,right_foot,open_play,235,8,0.03404255,0.04234503,25.0
cell,very_long_range,right_foot,set_piece,3,0,0.0,0.10748952,25.0
