club,analysis_side,match_id,match_date,movement_direction,window,stake_fraction,stake,pnl,counterfactual
hamilton-academical,transitioning_team,14035551,2025-11-22,downward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035556,2025-11-22,upward_tier_move,11-20,0.024470,2.4470,-2.4470,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035559,2025-11-22,upward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035727,2025-11-22,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035560,2025-12-06,upward_tier_move,11-20,0.052989,5.2989,-5.2989,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035562,2025-12-06,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035732,2025-12-06,downward_tier_move,11-20,0.010344,1.0344,-1.0344,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035564,2025-12-13,downward_tier_move,11-20,0.036598,3.6598,-3.6598,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035566,2025-12-13,upward_tier_move,11-20,0.014493,1.4493,1.3209,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035737,2025-12-13,downward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035739,2025-12-13,downward_tier_move,11-20,0.043787,4.3787,16.3063,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035567,2025-12-20,upward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035567,2025-12-20,upward_tier_move,11-20,0.026342,2.6342,5.5503,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035568,2025-12-20,downward_tier_move,11-20,0.038924,3.8924,6.0270,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035742,2025-12-20,downward_tier_move,11-20,0.013849,1.3849,5.4288,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035745,2025-12-20,downward_tier_move,11-20,0.018578,1.8578,-1.8578,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035573,2025-12-27,upward_tier_move,11-20,0.025666,2.5666,-2.5666,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035574,2025-12-27,downward_tier_move,11-20,0.016761,1.6761,-1.6761,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035576,2025-12-27,upward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035746,2025-12-27,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035748,2025-12-27,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035585,2026-01-10,upward_tier_move,11-20,0.038666,3.8666,-3.8666,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,15363335,2026-01-17,downward_tier_move,11-20,0.046305,4.6305,18.1516,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,15363335,2026-01-17,upward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,15305942,2026-01-20,upward_tier_move,11-20,0.044902,4.4902,-4.4902,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035771,2026-01-24,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035772,2026-01-31,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
