arm,match_id,group,line,selection,side,effective_odds,p_model,p_market,edge,risk,score,outcome,net_pnl,fixture
base_optB,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4253648607691791,0.383556747839196,0.0418081129299831,7.958917136255366,4-1,lose,-7.958917136255366,clyde-fc v kelty-hearts-fc
base_optB,16362438,OverUnder,2.5,under_25,back,2.74,0.39931653388419,0.3583138173302107,0.041002716553979246,6.297630660920214,3-1,lose,-6.297630660920214,east-kilbride v peterhead
base_optB,16362439,1X2,0.0,away,back,3.85,0.3080755094209891,0.2527359074953541,0.05533960192563503,5.94709129967555,2-1,lose,-5.94709129967555,montrose v cove-rangers
base_optB,16362609,1X2,0.0,away,back,5.1,0.24509087089203987,0.19020605656127476,0.054884814330765114,5.760425797788569,5-1,lose,-5.760425797788569,the-spartans-fc v forfar-athletic
base_optB,16362437,1X2,0.0,away,back,3.2,0.355124484572329,0.3032960387057756,0.051828445866553385,5.514190323289408,1-0,lose,-5.514190323289408,airdrieonians v alloa-athletic
base_optB,16362612,1X2,0.0,away,back,4.5,0.2474428692779681,0.21621621621621623,0.031226653061751874,2.7680309540865564,7-3,lose,-2.7680309540865564,edinburgh-city-fc v stirling-albion
base_optB,16362438,1X2,0.0,away,back,4.5,0.24420490095561878,0.21766784452296822,0.026537056432650558,2.465858326760156,3-1,lose,-2.465858326760156,east-kilbride v peterhead
base_optB,16362607,1X2,0.0,away,back,4.5,0.2438272666993118,0.21741406386320014,0.02641320283611165,2.3018019725253507,3-1,lose,-2.3018019725253507,stranraer v dumbarton
base_optB,16362618,1X2,0.0,home,back,1.88,0.5350939818880356,0.513650711008428,0.021443270879607623,1.580262773815323,4-1,win,1.3628186161383344,clyde-fc v kelty-hearts-fc
base_optB,16362605,OverUnder,2.5,under_25,back,2.44,0.42100183085424303,0.4058441558441559,0.015157675010087135,1.4773717514232951,2-0,win,2.084867015608554,annan-athletic v elgin-city
sup040_raw,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.5902021363530082,0.42387921329713263,0.1663229230558756,24.707086337210722,5-1,lose,-24.707086337210722,the-spartans-fc v forfar-athletic
sup040_raw,16362440,1X2,0.0,home,back,2.48,0.48817276406546534,0.39220255905215834,0.095970205013307,20.60641358235912,1-1,lose,-20.60641358235912,queen-of-the-south v east-fife
sup040_raw,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4708459503665979,0.383556747839196,0.08728920252740185,13.89758405714927,4-1,lose,-13.89758405714927,clyde-fc v kelty-hearts-fc
sup040_raw,16362439,1X2,0.0,away,back,3.85,0.3463768000966829,0.2527359074953541,0.09364089260132885,11.433597741577387,2-1,lose,-11.433597741577387,montrose v cove-rangers
sup040_raw,16362607,1X2,0.0,away,back,4.5,0.2995300922253608,0.21741406386320014,0.08211602836216067,10.492457874871779,3-1,lose,-10.492457874871779,stranraer v dumbarton
sup040_raw,16362438,OverUnder,2.5,under_25,back,2.74,0.4343447172961949,0.3583138173302107,0.07603089996598417,9.404580316153854,3-1,lose,-9.404580316153854,east-kilbride v peterhead
sup040_raw,16362437,1X2,0.0,away,back,3.2,0.37422173629621297,0.3032960387057756,0.07092569759043738,8.46227846130139,1-0,lose,-8.46227846130139,airdrieonians v alloa-athletic
sup040_raw,16362612,1X2,0.0,away,back,4.5,0.2776252642045896,0.21621621621621623,0.06140904798837338,6.926885790706776,7-3,lose,-6.926885790706776,edinburgh-city-fc v stirling-albion
sup040_raw,16362605,OverUnder,2.5,under_25,back,2.44,0.44774797916415426,0.4058441558441559,0.04190382331999837,5.8290459080635975,2-0,win,8.225949585459349,annan-athletic v elgin-city
sup040_raw,16362609,1X2,0.0,away,back,5.1,0.23643579242843174,0.19020605656127476,0.04622973586715698,4.333488734437152,5-1,lose,-4.333488734437152,the-spartans-fc v forfar-athletic
sup040_raw,16362607,1X2,0.0,draw,back,4.2,0.23973178109194979,0.23294363985342872,0.0067881412385210615,2.9225964607349635,3-1,lose,-2.9225964607349635,stranraer v dumbarton
sup040_raw,16362618,1X2,0.0,home,back,1.88,0.5264077094280533,0.513650711008428,0.012756998419625298,1.7856983695109145,4-1,win,1.5399862738662125,clyde-fc v kelty-hearts-fc
sup040_raw,16362438,1X2,0.0,away,back,4.5,0.23859870280604414,0.21766784452296822,0.02093085828307592,1.616323978504875,3-1,lose,-1.616323978504875,east-kilbride v peterhead
sup040_raw,16362440,1X2,0.0,draw,back,3.7,0.2453639485380862,0.26288171525658177,-0.01751776671849556,1.5418285017142943,1-1,win,4.079678215536023,queen-of-the-south v east-fife
sup040_raw,16362607,OverUnder,2.5,under_25,back,2.38,0.4325127534811824,0.41234567901234565,0.020167074468836754,1.0401338857039066,3-1,lose,-1.0401338857039066,stranraer v dumbarton
sup040_optB,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.5041980538715176,0.42387921329713263,0.08031884057438499,15.119139666699487,5-1,lose,-15.119139666699487,the-spartans-fc v forfar-athletic
sup040_optB,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4167193312474509,0.383556747839196,0.0331625834082549,5.510453073713533,4-1,lose,-5.510453073713533,clyde-fc v kelty-hearts-fc
sup040_optB,16362439,1X2,0.0,away,back,3.85,0.29164832689144726,0.2527359074953541,0.03891241939609319,3.5800895724235247,2-1,lose,-3.5800895724235247,montrose v cove-rangers
sup040_optB,16362609,1X2,0.0,away,back,5.1,0.22693300432333144,0.19020605656127476,0.03672694776205668,3.3664661877945754,5-1,lose,-3.3664661877945754,the-spartans-fc v forfar-athletic
sup040_optB,16362440,1X2,0.0,home,back,2.48,0.4231669655897763,0.39220255905215834,0.03096440653761795,3.355385972100125,1-1,lose,-3.355385972100125,queen-of-the-south v east-fife
sup040_optB,16362438,OverUnder,2.5,under_25,back,2.74,0.38537178089101476,0.3583138173302107,0.027057963560804033,3.3031035514108513,3-1,lose,-3.3031035514108513,east-kilbride v peterhead
sup040_optB,16362607,1X2,0.0,away,back,4.5,0.24782029156461233,0.21741406386320014,0.030406227701412186,2.685291645248483,3-1,lose,-2.685291645248483,stranraer v dumbarton
sup040_optB,16362437,1X2,0.0,away,back,3.2,0.3335302466016669,0.3032960387057756,0.03023420789589132,2.2975222117301803,1-0,lose,-2.2975222117301803,airdrieonians v alloa-athletic
sup040_optB,16362612,1X2,0.0,away,back,4.5,0.24184110178469787,0.21621621621621623,0.025624885568481637,1.958339097638746,7-3,lose,-1.958339097638746,edinburgh-city-fc v stirling-albion
sup040_optB,16362605,OverUnder,2.5,under_25,back,2.44,0.42033226999544504,0.4058441558441559,0.014488114151289144,1.2611451745314404,2-0,win,1.7797280702987686,annan-athletic v elgin-city
smile020_raw,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.5192785285943469,0.42387921329713263,0.09539931529721424,17.76242974259171,5-1,lose,-17.76242974259171,the-spartans-fc v forfar-athletic
smile020_raw,16362440,1X2,0.0,home,back,2.48,0.48300267130013785,0.39220255905215834,0.09080011224797951,17.092772426723453,1-1,lose,-17.092772426723453,queen-of-the-south v east-fife
smile020_raw,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4611386231272911,0.383556747839196,0.07758187528809507,12.511530228570939,4-1,lose,-12.511530228570939,clyde-fc v kelty-hearts-fc
smile020_raw,16362439,1X2,0.0,away,back,3.85,0.347965796478167,0.2527359074953541,0.09522988898281293,10.599347501069145,2-1,lose,-10.599347501069145,montrose v cove-rangers
smile020_raw,16362607,1X2,0.0,away,back,4.5,0.30348545624053225,0.21741406386320014,0.0860713923773321,9.877928500882668,3-1,lose,-9.877928500882668,stranraer v dumbarton
smile020_raw,16362438,OverUnder,2.5,under_25,back,2.74,0.4113128198962408,0.3583138173302107,0.05299900256603007,7.905261117447826,3-1,lose,-7.905261117447826,east-kilbride v peterhead
smile020_raw,16362437,1X2,0.0,away,back,3.2,0.3756533604455724,0.3032960387057756,0.07235732173979681,7.66571515149178,1-0,lose,-7.66571515149178,airdrieonians v alloa-athletic
smile020_raw,16362609,1X2,0.0,away,back,5.1,0.264794386893814,0.19020605656127476,0.07458833033253925,7.473733088859317,5-1,lose,-7.473733088859317,the-spartans-fc v forfar-athletic
smile020_raw,16362612,1X2,0.0,away,back,4.5,0.2865500371511113,0.21621621621621623,0.0703338209348951,7.311507923412635,7-3,lose,-7.311507923412635,edinburgh-city-fc v stirling-albion
smile020_raw,16362605,OverUnder,2.5,under_25,back,2.44,0.45307993329172513,0.4058441558441559,0.04723577744756924,6.780496040703596,2-0,win,9.568636012640914,annan-athletic v elgin-city
smile020_raw,16362607,OverUnder,2.5,under_25,back,2.38,0.46114965931863217,0.41234567901234565,0.04880398030628652,3.631547776538144,3-1,lose,-3.631547776538144,stranraer v dumbarton
smile020_raw,16362438,1X2,0.0,away,back,4.5,0.2551497594779457,0.21766784452296822,0.03748191495497749,3.4574269049981488,3-1,lose,-3.4574269049981488,east-kilbride v peterhead
smile020_raw,16362618,1X2,0.0,home,back,1.88,0.5333740146879618,0.513650711008428,0.019723303679533788,3.444842813203464,4-1,win,2.970832442106667,clyde-fc v kelty-hearts-fc
smile020_raw,16362607,1X2,0.0,draw,back,4.2,0.24870994001262767,0.23294363985342872,0.015766300159198943,3.3527275721433374,3-1,lose,-3.3527275721433374,stranraer v dumbarton
smile020_raw,16362605,1X2,0.0,home,back,2.62,0.39325118929462677,0.3721998512967366,0.021051337997890163,2.3061458527131666,2-0,win,3.6612371557674233,annan-athletic v elgin-city
smile020_raw,16362440,1X2,0.0,draw,back,3.7,0.24776118900785224,0.26288171525658177,-0.015120526248729532,1.3604955822278453,1-1,win,3.599871310574879,queen-of-the-south v east-fife
smile020_raw,16362439,1X2,0.0,draw,back,3.6,0.25751080473808613,0.2702870121825315,-0.012776207444445353,1.1202195974414484,2-1,lose,-1.1202195974414484,montrose v cove-rangers
smile020_raw,16362612,1X2,0.0,draw,back,4.0,0.24204673122744497,0.24324324324324326,-0.00119651201579829,1.083188711277597,7-3,lose,-1.083188711277597,edinburgh-city-fc v stirling-albion
smile020_optB,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.5192785285943469,0.42387921329713263,0.09539931529721424,9.732822110158923,5-1,lose,-9.732822110158923,the-spartans-fc v forfar-athletic
smile020_optB,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4611386231272911,0.383556747839196,0.07758187528809507,5.348036252954259,4-1,lose,-5.348036252954259,clyde-fc v kelty-hearts-fc
smile020_optB,16362609,1X2,0.0,away,back,5.1,0.22898446962198166,0.19020605656127476,0.038778413060706896,3.558788485425542,5-1,lose,-3.558788485425542,the-spartans-fc v forfar-athletic
smile020_optB,16362439,1X2,0.0,away,back,3.85,0.29136595762690204,0.2527359074953541,0.038630050131547966,3.461340508183669,2-1,lose,-3.461340508183669,montrose v cove-rangers
smile020_optB,16362607,1X2,0.0,away,back,4.5,0.25227993472855487,0.21741406386320014,0.034865870865354726,3.1885812815051997,3-1,lose,-3.1885812815051997,stranraer v dumbarton
smile020_optB,16362440,1X2,0.0,home,back,2.48,0.42127073279541677,0.39220255905215834,0.02906817374325843,2.869068333956832,1-1,lose,-2.869068333956832,queen-of-the-south v east-fife
smile020_optB,16362438,OverUnder,2.5,under_25,back,2.74,0.4113128198962408,0.3583138173302107,0.05299900256603007,2.5347837571490897,3-1,lose,-2.5347837571490897,east-kilbride v peterhead
smile020_optB,16362437,1X2,0.0,away,back,3.2,0.3341717135900587,0.3032960387057756,0.03087567488428311,2.333763704441778,1-0,lose,-2.333763704441778,airdrieonians v alloa-athletic
smile020_optB,16362607,OverUnder,2.5,under_25,back,2.38,0.46114965931863217,0.41234567901234565,0.04880398030628652,2.2511691989811196,3-1,lose,-2.2511691989811196,stranraer v dumbarton
smile020_optB,16362605,OverUnder,2.5,under_25,back,2.44,0.45307993329172513,0.4058441558441559,0.04723577744756924,2.185142600620226,2-0,win,3.0836732379952627,annan-athletic v elgin-city
smile020_optB,16362612,1X2,0.0,away,back,4.5,0.2426354819775161,0.21621621621621623,0.02641926576129988,2.010000164869846,7-3,lose,-2.010000164869846,edinburgh-city-fc v stirling-albion
smile040_raw,16362440,1X2,0.0,home,back,2.48,0.4947963857813431,0.39220255905215834,0.10259382672918477,20.505481078377613,1-1,lose,-20.505481078377613,queen-of-the-south v east-fife
smile040_raw,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.5108483516453198,0.42387921329713263,0.0869691383481872,16.940699407387882,5-1,lose,-16.940699407387882,the-spartans-fc v forfar-athletic
smile040_raw,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4480295626009091,0.383556747839196,0.06447281476171307,11.379792608658317,4-1,lose,-11.379792608658317,clyde-fc v kelty-hearts-fc
smile040_raw,16362607,1X2,0.0,away,back,4.5,0.30110581284088916,0.21741406386320014,0.08369174897768902,9.593122420448857,3-1,lose,-9.593122420448857,stranraer v dumbarton
smile040_raw,16362439,1X2,0.0,away,back,3.85,0.33911396648796094,0.2527359074953541,0.08637805899260687,9.337079995413495,2-1,lose,-9.337079995413495,montrose v cove-rangers
smile040_raw,16362605,OverUnder,2.5,under_25,back,2.44,0.4655933025520252,0.4058441558441559,0.059749146707869294,8.340696498552177,2-0,win,11.770390898756832,annan-athletic v elgin-city
smile040_raw,16362438,OverUnder,2.5,under_25,back,2.74,0.4139664184012306,0.3583138173302107,0.05565260107101988,7.693936035427279,3-1,lose,-7.693936035427279,east-kilbride v peterhead
smile040_raw,16362437,1X2,0.0,away,back,3.2,0.37005651276468865,0.3032960387057756,0.06676047405891306,6.965887159332208,1-0,lose,-6.965887159332208,airdrieonians v alloa-athletic
smile040_raw,16362612,1X2,0.0,away,back,4.5,0.27822318551924896,0.21621621621621623,0.06200696930303273,6.2920727062842525,7-3,lose,-6.2920727062842525,edinburgh-city-fc v stirling-albion
smile040_raw,16362609,1X2,0.0,away,back,5.1,0.2532343990448644,0.19020605656127476,0.06302834248358963,6.163476416804645,5-1,lose,-6.163476416804645,the-spartans-fc v forfar-athletic
smile040_raw,16362605,1X2,0.0,home,back,2.62,0.4005701101137277,0.3721998512967366,0.028370258816991067,4.066672511302512,2-0,win,6.456249278943868,annan-athletic v elgin-city
smile040_raw,16362607,OverUnder,2.5,under_25,back,2.38,0.4533236163504735,0.41234567901234565,0.04097793733812788,3.2186654955036764,3-1,lose,-3.2186654955036764,stranraer v dumbarton
smile040_raw,16362607,1X2,0.0,draw,back,4.2,0.24678151563301476,0.23294363985342872,0.013837875779586034,3.119788630490496,3-1,lose,-3.119788630490496,stranraer v dumbarton
smile040_raw,16362618,1X2,0.0,home,back,1.88,0.5336079992179343,0.513650711008428,0.019957288209506374,2.794768039722625,4-1,win,2.4102079574567914,clyde-fc v kelty-hearts-fc
smile040_raw,16362612,OverUnder,2.5,under_25,back,2.24,0.4541457853524046,0.4371859296482412,0.016959855704163362,2.7474738321848693,7-3,lose,-2.7474738321848693,edinburgh-city-fc v stirling-albion
smile040_raw,16362440,1X2,0.0,draw,back,3.7,0.24796703964823547,0.26288171525658177,-0.014914675608346306,2.5389411609651025,1-1,win,6.718038311913661,queen-of-the-south v east-fife
smile040_raw,16362438,1X2,0.0,away,back,4.5,0.24502188470807904,0.21766784452296822,0.02735404018511081,2.2451245568299667,3-1,lose,-2.2451245568299667,east-kilbride v peterhead
smile040_optB,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.5108483516453198,0.42387921329713263,0.0869691383481872,7.96584644558737,5-1,lose,-7.96584644558737,the-spartans-fc v forfar-athletic
smile040_optB,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4480295626009091,0.383556747839196,0.06447281476171307,4.267629086581959,4-1,lose,-4.267629086581959,clyde-fc v kelty-hearts-fc
smile040_optB,16362440,1X2,0.0,home,back,2.48,0.4270474308897329,0.39220255905215834,0.034844871837574565,4.080720364019438,1-1,lose,-4.080720364019438,queen-of-the-south v east-fife
smile040_optB,16362439,1X2,0.0,away,back,3.85,0.28806684825358264,0.2527359074953541,0.03533094075822857,3.0369346996606814,2-1,lose,-3.0369346996606814,montrose v cove-rangers
smile040_optB,16362605,OverUnder,2.5,under_25,back,2.44,0.4655933025520252,0.4058441558441559,0.059749146707869294,3.0279764103747926,2-0,win,4.273080310320907,annan-athletic v elgin-city
smile040_optB,16362607,1X2,0.0,away,back,4.5,0.25040170483470087,0.21741406386320014,0.032987640971500726,2.9510031214054737,3-1,lose,-2.9510031214054737,stranraer v dumbarton
smile040_optB,16362609,1X2,0.0,away,back,5.1,0.2231463910101215,0.19020605656127476,0.032940334448846725,2.841726672925129,5-1,lose,-2.841726672925129,the-spartans-fc v forfar-athletic
smile040_optB,16362438,OverUnder,2.5,under_25,back,2.74,0.4139664184012306,0.3583138173302107,0.05565260107101988,2.48948467882477,3-1,lose,-2.48948467882477,east-kilbride v peterhead
smile040_optB,16362437,1X2,0.0,away,back,3.2,0.3324597444066272,0.3032960387057756,0.029163705700851583,2.0915104448436788,1-0,lose,-2.0915104448436788,airdrieonians v alloa-athletic
smile040_optB,16362612,1X2,0.0,away,back,4.5,0.24024785025648157,0.21621621621621623,0.024031634040265343,1.7166135843450612,7-3,lose,-1.7166135843450612,edinburgh-city-fc v stirling-albion
smile040_optB,16362607,OverUnder,2.5,under_25,back,2.38,0.4533236163504735,0.41234567901234565,0.04097793733812788,1.710724426123691,3-1,lose,-1.710724426123691,stranraer v dumbarton
smile070_raw,16362440,1X2,0.0,home,back,2.48,0.50573044140194,0.39220255905215834,0.11352788234978167,25.113761303780482,1-1,lose,-25.113761303780482,queen-of-the-south v east-fife
smile070_raw,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.504513826653838,0.42387921329713263,0.08063461335670541,16.928339632186987,5-1,lose,-16.928339632186987,the-spartans-fc v forfar-athletic
smile070_raw,16362605,OverUnder,2.5,under_25,back,2.44,0.4795628014823535,0.4058441558441559,0.07371864563819758,10.530515934738315,2-0,win,14.860664087102709,annan-athletic v elgin-city
smile070_raw,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4335180416131035,0.383556747839196,0.049961293773907456,10.09634735674551,4-1,lose,-10.09634735674551,clyde-fc v kelty-hearts-fc
smile070_raw,16362607,1X2,0.0,away,back,4.5,0.28622371308089406,0.21741406386320014,0.06880964921769392,8.111967865268468,3-1,lose,-8.111967865268468,stranraer v dumbarton
smile070_raw,16362439,1X2,0.0,away,back,3.85,0.3241183324029375,0.2527359074953541,0.07138242490758345,7.851605650629105,2-1,lose,-7.851605650629105,montrose v cove-rangers
smile070_raw,16362438,OverUnder,2.5,under_25,back,2.74,0.4143442870531672,0.3583138173302107,0.0560304697229565,7.49638796630739,3-1,lose,-7.49638796630739,east-kilbride v peterhead
smile070_raw,16362612,1X2,0.0,away,back,4.5,0.274303567241213,0.21621621621621623,0.05808735102499679,6.205789371736846,7-3,lose,-6.205789371736846,edinburgh-city-fc v stirling-albion
smile070_raw,16362437,1X2,0.0,away,back,3.2,0.3601661609182074,0.3032960387057756,0.05687012221243182,6.061181581851133,1-0,lose,-6.061181581851133,airdrieonians v alloa-athletic
smile070_raw,16362605,1X2,0.0,home,back,2.62,0.4066623084791828,0.3721998512967366,0.03446245718244617,5.943752410592146,2-0,win,9.436301327056093,annan-athletic v elgin-city
smile070_raw,16362609,1X2,0.0,away,back,5.1,0.2422583359751178,0.19020605656127476,0.05205227941384305,5.270424979484339,5-1,lose,-5.270424979484339,the-spartans-fc v forfar-athletic
smile070_raw,16362612,OverUnder,2.5,under_25,back,2.24,0.46649746521200575,0.4371859296482412,0.029311535563764535,5.147648242414057,7-3,lose,-5.147648242414057,edinburgh-city-fc v stirling-albion
smile070_raw,16362440,1X2,0.0,draw,back,3.7,0.24769352213910553,0.26288171525658177,-0.01518819311747624,3.803752607790362,1-1,win,10.064729400213299,queen-of-the-south v east-fife
smile070_raw,16362607,OverUnder,2.5,under_25,back,2.38,0.44571651076054436,0.41234567901234565,0.033370831748198715,3.256855629705964,3-1,lose,-3.256855629705964,stranraer v dumbarton
