cohort,n,market_mean,m12_mean,m05_mean
home favourite ≥ 0.60,51,0.6752605573837043,0.4956406955311943,0.5027622337543965
home favourite ≥ 0.70,16,0.767228022570511,0.5111404132630831,0.5296071112802585
home favourite ≥ 0.80,3,0.8581984395028064,0.5656095890221448,0.586114385954413
home longshot < 0.15,9,0.127174022358712,0.30341868197600536,0.2922566351018678
maximum over cohort,710,NaN,0.5781462258268348,0.6041203484598117
