quantity,slope,se,intercept,r2,sd_quantity,sd_market,n
m12 total supremacy,0.32799606198254944,0.014187834506376446,0.06297389971263655,0.46254588585805856,0.20417122721478603,0.4233536621923011,623
m12 team term,0.1591932317147913,0.008723234166272052,-0.02917119164532172,0.34908271288965775,0.11406797952751753,0.4233536621923011,623
m12 lineup term,0.11465598528737656,0.014585150389979791,-0.023014204523266076,0.09050647484468533,0.16134675184359337,0.4233536621923011,623
m12 wealth term,0.053599613338077966,0.006143998102328872,-0.008149627648876353,0.10917472309392218,0.0686758317819309,0.4233536621923011,623
m05 total supremacy,0.35751202233686447,0.011828927576533107,0.06133234771477642,0.5952979350271126,0.1961673763671867,0.4233536621923011,623
m05 team term,0.29806518533440945,0.010691383194518829,-0.05583761675418363,0.5558699928136053,0.16924971973497666,0.4233536621923011,623
