parameter,prior,prior_sd,posterior_mean,posterior_sd_within_fold,fold1,fold40,posterior_over_prior_sd
lineup.w_att,"Normal(0, 0.3)",0.3,0.1868887289142583,0.05019413427891538,0.21208340056277686,0.1254933841023886,0.6229624297141944
lineup.w_def,"Normal(0, 0.3)",0.3,0.239891936184704,0.06179486489519111,0.2569286814971614,0.24028969118565194,0.7996397872823467
production_wealth.w (m12),"truncated(Normal(0.10, 0.05), 0, ∞)",0.04707578858371423,0.10516091208178897,0.03630670700775618,0.07713759399052746,0.12964731351361647,2.2338640572060258
production_wealth.w (m05),"truncated(Normal(0.10, 0.05), 0, ∞)",0.04707578858371423,0.11480950769839678,0.03765650391554349,0.08835840184528694,0.13482219527008424,2.438822824905686
