lambda,n,sd_rating_mean,sd_delta_lineup,cor_market,partial_cor_market,ols_weight,ols_se,posterior_weight
1.0,623,1.753645018015431,5.6857816102153,0.029900542549770863,-0.01500352806008172,0.0022263437215455885,0.0029865729045627405,NaN
10.0,623,0.6906881193097306,2.5724060350337847,0.19774550325238208,0.17513038710194745,0.03254396150678289,0.006473756433564112,NaN
50.0,623,0.3020423442431176,1.412065998172684,0.2760354058604813,0.34887018960501776,0.08275859635243611,0.011563586445503607,NaN
100.0,623,0.20949379388786574,1.1222357827384737,0.29625740763051245,0.4172331500538065,0.11176052341328982,0.014458590329136281,NaN
250.0,623,0.1282810696676156,0.8067385777103953,0.3055139804169036,0.47021544576468655,0.16032512394228662,0.020051515993289023,NaN
500.0,623,0.08481228156189907,0.5792141149964217,0.30670652127446174,0.4875094202352589,0.2241750082361277,0.027916821581223418,NaN
1000.0,623,0.05236015077399005,0.37598550463968267,0.30816382726888647,0.49451534348159437,0.3469875386672272,0.04298521662297364,0.42678066509896234
2000.0,623,0.030091326768146305,0.22162808008130688,0.3120634896906067,0.49701478054446396,0.5961032606904346,0.07282564528618467,NaN
