cohort,n,market,m12,m12_rescaled
all inverted fixtures,623,NaN,0.41086176789132345,0.494562024724318
home favourite ≥ 0.70,16,0.767228022570511,0.5111404132630831,0.7601964352560298
maximum,623,NaN,0.5781462258268348,0.899474200762716
