fold,sigma_a,sigma_d,gamma_ha,w_att,w_att_sd,w_def,w_def_sd,w_lineup_sum,w_wealth,w_wealth_sd,p_w_att_pos
1,0.08024695530338309,0.12187470475579315,0.11503199816680386,0.21208340056277686,0.04136102174564607,0.2569286814971614,0.05432829975512882,0.4690120820599383,0.07713759399052746,0.03176519903659876,1.0
2,0.057859323829531364,0.11142981079129129,0.12635416232752356,0.2092428214031895,0.042680096577300076,0.2315328567649269,0.05447471324270005,0.44077567816811647,0.08484416957853018,0.03201282223775656,1.0
3,0.05983477679749239,0.12214536722461639,0.12244323434649186,0.2147937251170638,0.04280132430935112,0.23804294174519572,0.0600148762041742,0.45283666686225954,0.09338955431061155,0.03271675514049655,1.0
4,0.06225603876205163,0.13800359367307777,0.1330447012328346,0.22115515112085632,0.04266998282306937,0.23565063589287674,0.061671898988833344,0.4568057870137331,0.0899580033086011,0.03413190471093557,1.0
5,0.05902111134903132,0.13563119192982323,0.14679749505039813,0.22142341019642586,0.04442912191142871,0.22280988876417301,0.062321461640926584,0.4442332989605988,0.09194391084636175,0.03392771613570669,1.0
6,0.05710163940318549,0.13617871851678698,0.12208982795198171,0.22870951251849456,0.04512995708957139,0.22676134373624102,0.0635615516403295,0.45547085625473566,0.09012511689327019,0.032524596987966115,1.0
7,0.056337075324179725,0.12795171550623816,0.1246597852361953,0.22934188662110727,0.04725665954249193,0.21624943229000995,0.06249599537263751,0.4455913189111172,0.09122738043118207,0.03449905704138568,1.0
8,0.05782964818580982,0.11922618247037932,0.12639694621157088,0.23273627272582226,0.047892969158634495,0.20706140736717576,0.06364785333284577,0.43979768009299797,0.09189192280948959,0.033874285670468074,1.0
9,0.06286791045939948,0.10619611674501109,0.119845922724557,0.2260935431476608,0.049961360608666266,0.20450441703404665,0.060235801228631786,0.43059796018170743,0.10490860584302393,0.034951914003636314,1.0
10,0.05936271488206036,0.1020364759568362,0.12260921170479978,0.2264964881485545,0.04784078704878584,0.19893454458139545,0.06212653542517718,0.42543103272995,0.1057271461607399,0.03433376139369784,1.0
11,0.05017213408330526,0.11268089058372059,0.10811610856826177,0.22933645696515584,0.04812327254504045,0.2186720111134033,0.0644229083066261,0.44800846807855904,0.09900427452477452,0.0353672906313308,1.0
12,0.04526632969483111,0.11082547784820672,0.12538507068571508,0.2267634227774499,0.046809187014640326,0.21206749077914966,0.06410149496564223,0.4388309135565996,0.08822163247285932,0.03631293103497502,1.0
13,0.04279341767494263,0.12038665177678905,0.13604872582161393,0.22526702753590938,0.04714086820623266,0.21028029791524605,0.06628757592213852,0.4355473254511555,0.09051065153228005,0.035307359842262125,1.0
14,0.04160227537023018,0.13398869048507092,0.13641081477938635,0.2158859039232263,0.0504445055532852,0.21059591576513456,0.07127039627091893,0.4264818196883609,0.09356562687492513,0.03551899592845443,1.0
15,0.04147054761329531,0.12604207712452992,0.1436494857692651,0.2066189746999089,0.04896414506294144,0.2063095317467109,0.06682594715699286,0.41292850644661966,0.09543652549706665,0.034944564232607465,1.0
16,0.038711287361412675,0.1350204460994435,0.14487099481533539,0.20782304301554738,0.051283213133186595,0.20872184334633595,0.07259192369856536,0.41654488636188325,0.09230024333206006,0.035765123443641855,1.0
17,0.04570376411213017,0.14488424808646716,0.1364931245046925,0.21117667168343732,0.052486787998348806,0.20848980812587833,0.07346672339292898,0.4196664798093157,0.10486169948943148,0.03679083709545812,1.0
18,0.04405145463393383,0.14762018299101018,0.13443755888918824,0.1988168337917468,0.05081130828923098,0.21125530862748987,0.07388852260910239,0.4100721424192366,0.1017273254067892,0.035832706714926804,0.9996875
19,0.05055806943109465,0.15460096527793632,0.11849425323889733,0.19881522632048793,0.054765202278062225,0.20408919544060616,0.07737406904943743,0.40290442176109414,0.10649881637826879,0.03663193278413856,0.9996875
20,0.049283648910797596,0.1451893047349109,0.13730631193702356,0.19560241926289873,0.05324298139133913,0.1961937166922746,0.07564269951648027,0.39179613595517326,0.10194272999678552,0.03669952092977813,0.9996875
21,0.05845692932753879,0.08462721497872369,0.15150075751674713,0.17142406064725563,0.045792441530690196,0.3023016893449412,0.05089327643320557,0.4737257499921968,0.09076240026947145,0.03600041598704001,1.0
22,0.054894792167621054,0.059272192062464694,0.13882097764353085,0.16648830206628973,0.04993461465292688,0.2805706065457955,0.049884202629978426,0.4470589086120853,0.10515043640896411,0.0368920559853334,1.0
23,0.06138687185783354,0.06317077133777099,0.15047258334542182,0.16155700320772695,0.05323736133463931,0.27778784508086385,0.0507420033041476,0.43934484828859083,0.1098849595187658,0.036797051081285045,0.9990625
24,0.06131030336160461,0.0593638541275015,0.14930435726422678,0.16164545339931555,0.05009697069884779,0.2708829490454293,0.052217074523880753,0.43252840244474483,0.106238030118426,0.03715579969344353,0.9996875
25,0.05562732173574804,0.05835011706323481,0.12615683700771704,0.17259323429584905,0.050232077163725374,0.2724162376626938,0.052418574813644966,0.4450094719585429,0.12029614536763335,0.037835765674762635,0.9984375
26,0.05940520399306017,0.056702484225607454,0.1378334102937691,0.1626494029644406,0.05086520799508067,0.2688332609597102,0.052140660472500724,0.4314826639241508,0.12319936762954621,0.03887015977241359,0.999375
27,0.054650371249534334,0.055853051786572606,0.1291048170708584,0.17046504903644866,0.05173309597019065,0.2661588025302031,0.05087794747837837,0.43662385156665173,0.12304307562970986,0.03882928907172189,0.9984375
28,0.046465127123713555,0.059312642065678746,0.1315182845502162,0.1727256824050908,0.04931525184669519,0.2730335345706343,0.052628864221686576,0.4457592169757252,0.1136757712092812,0.0374060452677056,1.0
