fold,n_segments,n_players,n_players_exposed,sd_raw_pm,sd_raw_pm_exposed,sd_ridge,sd_ridge_exposed,ridge_retention,sd_delta_lineup,sd_sup_lineup,w_lineup_sum,prior_sd_sup_lineup,sd_sup_team,sd_sup_market
1,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.30915967350339274,0.14499962215879697,0.4690120820599383,0.1311653409622008,0.11286769738931268,0.4451508893712655
2,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.3725766727276147,0.1642227355911347,0.44077567816811647,0.15807089507857042,0.09588408547345563,0.3018526940729722
3,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.20486628242074867,0.09277096448387412,0.45283666686225954,0.08691740252171387,0.12563590905406097,0.36684560488037465
4,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.34991048799171937,0.15984113585141674,0.4568057870137331,0.14845444732034327,0.10883508479694368,0.33162795750796215
5,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.2624819992813993,0.11660324445854957,0.4442332989605988,0.11136168097876797,0.13892328953772962,0.27023018174759633
6,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.2541184346808282,0.1157435410341899,0.45547085625473566,0.1078133210323946,0.15248748412254057,0.39049031732870015
7,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.3378884444065615,0.15056015758794547,0.4455913189111172,0.14335392619467205,0.11849735809729767,0.3175300373077971
8,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.37821269474586783,0.1663370657309539,0.43979768009299797,0.1604620567113845,0.11907928693816862,0.38665132713102296
9,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.4041752938446959,0.17403705708536832,0.43059796018170743,0.17147705463938998,0.11271643450257657,0.1319141053617162
10,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.3578957556124182,0.15225996091985683,0.42543103272995,0.15184230945085458,0.0787682335352149,0.2109004392002535
11,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.309716773528946,0.1387557372469371,0.44800846807855904,0.13140169848572156,0.11868156219133812,0.27825681437688865
12,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.3509128295645573,0.15399139757654604,0.4388309135565996,0.1488797048342746,0.1356137905486614,0.3158137293537509
13,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.26580424234460953,0.11577032684676546,0.4355473254511555,0.11277118933801551,0.14251277188035033,0.4565968652095743
14,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.28616443191534124,0.1220439276533408,0.4264818196883609,0.12140928620504032,0.13748291909905452,0.25305931370931184
15,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.2634669929735445,0.10879303190654777,0.41292850644661966,0.11177957841025306,0.15221855902417494,0.283236385555614
16,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.21163582622425073,0.08815582118468379,0.41654488636188325,0.08978947671911128,0.15290066672402058,0.4683420141628445
17,1983,537,399,5.718881306783649,2.9779066846366202,0.0529421725079887,0.061141115545959114,0.009257435094026083,0.31136493927845676,0.1306694280030313,0.4196664798093157,0.13210095599252064,0.1837579823971746,0.4940571783746244
