decile,n,sup_market,sup_model,sup_team,sup_lineup,sup_wealth,p_home_mkt,p_home_m12,p_home_m12_rescaled
1,63,-0.5766847844945904,-0.12176742947308307,-0.11060727545663267,-0.10214127561166016,-0.03215335286356895,0.20317138077165894,0.3345690195162619,0.2823990205382707
2,62,-0.24651292742933745,-0.024203065344805555,-0.07762429165409256,-0.049108496597382534,-0.020157663611339402,0.28710807115085285,0.36336677527455596,0.36006719261242404
3,62,-0.07933972896509899,0.011557536226847982,-0.039496211784459875,-0.032526642557247326,-0.03687236578769631,0.3365087889266409,0.3756147606035703,0.394327418066751
4,62,0.04301391526995866,0.08271248018322334,-0.02926331301205677,0.009612922401368351,-0.02332643581960136,0.37711098776343815,0.3989327906635331,0.4588146717464599
5,62,0.14596699510520106,0.11487524511656659,-0.017501888421005685,-0.0062713484846136985,0.01387682180360066,0.40936551740555444,0.40783372032264775,0.4868165357246206
6,63,0.24140944029876948,0.1354117606428222,0.005552017859021491,-0.004306425116521064,0.011308691568231489,0.4423158726914256,0.41506010131772414,0.5045321872096248
7,62,0.35252579913586757,0.21333783672888543,0.0439360844884459,0.02258439173264393,0.022339882006183292,0.4766742796080406,0.43884782258460875,0.5754317646637863
8,62,0.4630813561879768,0.23036588031606625,0.038560161972910796,0.05165870396222444,0.017473652106472632,0.5129669254347577,0.4444923039412835,0.5892637411866674
9,62,0.5859224797832568,0.21930001546878267,0.06498763054008658,0.0064012760727761115,0.024301753165331168,0.5541537367904659,0.4406026179156758,0.5809048834932584
10,63,0.9218398262727264,0.37522057252901136,0.12423250339934039,0.08650142537589607,0.04072957382093243,0.658944315263373,0.4891971067109385,0.7128039754048688
