fold,match_date,home_team,away_team,sup_market,sup_model,sup_ha,sup_team,sup_lineup,sup_wealth,p_home_mkt,p_home_m12,p_home_m05,supremacy_gap
39,2026-04-18,east-kilbride,edinburgh-city-fc,2.01287804074362,0.5413422249336287,0.11615247317930358,0.1832408747269936,-0.040138338524962645,0.28208721555229416,0.9165525429670892,0.5613549968231554,0.6041203484598117,1.4715358158099914
26,2025-10-18,inverness-caledonian-thistle,kelty-hearts-fc,1.584159093805,0.6327603463886108,0.1378334102937691,0.09358379928482126,0.3092019387007847,0.09214119810923563,0.8545149680433852,0.5676868756074765,0.5703418459355423,0.9513987474163893
39,2026-04-18,inverness-caledonian-thistle,kelty-hearts-fc,1.4725177530594102,0.6556347885464576,0.11615247317930358,0.30687036918384636,0.21900959876737366,0.013602347415933944,0.8035278074979451,0.5677868946358025,0.5838809634678849,0.8168829645129526
1,2024-08-10,east-fife,edinburgh-city-fc,1.3433023557896546,0.36135025795890213,0.11503199816680386,0.1856391242076003,0.01634529343735499,0.044333842147143004,0.78069552874379,0.4960065354503531,0.53941653241821,0.9819520978307525
34,2026-02-07,inverness-caledonian-thistle,east-fife,1.3321124972476939,0.3606278922152883,0.09546035584401018,0.13356291039611304,0.11599716178063617,0.015607464194528964,0.774931822661614,0.4768269915785009,0.5070522344154228,0.9714846050324055
37,2026-03-17,inverness-caledonian-thistle,peterhead,1.2889416743111013,0.22261842475314908,0.09159247253916497,0.21979556150052296,-0.051728502778863615,-0.037041106507675226,0.7604332018110247,0.4319740288299412,0.4823977996883461,1.0663232495579522
36,2026-03-07,inverness-caledonian-thistle,montrose,1.2518600082376143,0.6507580954532031,0.08741191161924071,0.17557275438430817,0.37516939506829844,0.01260403438135579,0.7599727124918759,0.5781462258268348,0.5646638552485397,0.6011019127844113
4,2024-09-14,clyde-fc,edinburgh-city-fc,1.2060960561265262,0.353877404775295,0.1330447012328346,0.14097739266435932,-0.005381817721595555,0.08523712859969654,0.7555925138850391,0.5041744942243757,0.5647063227291349,0.8522186513512311
40,2026-04-25,forfar-athletic,edinburgh-city-fc,1.1877385226787451,0.36274716653994504,0.12094559437422257,0.11494510583722618,0.08479721496844789,0.04205925136004838,0.7299640353840731,0.49014248878266614,0.4955808519490641,0.8249913561388
37,2026-03-14,inverness-caledonian-thistle,cove-rangers,1.1792579159755519,0.47932091623829154,0.09159247253916497,0.18184642385980027,0.18962000982086963,0.016262010018456653,0.7372184356172161,0.5089202726509624,0.5116611991956748,0.6999369997372603
28,2025-11-08,inverness-caledonian-thistle,cove-rangers,1.1757749979644152,0.4506870798843613,0.1315182845502162,0.055933433887667264,0.23661066592006783,0.026624695526410055,0.728378895887161,0.5080097242305294,0.4971920509221537,0.7250879180800539
29,2025-11-22,hamilton-academical,kelty-hearts-fc,1.14597838610747,0.6067749898790648,0.12278429198098116,0.06290179836553292,0.2897402091626374,0.13134869036991337,0.740028594199324,0.564333591112272,0.5530216828091438,0.5392033962284052
40,2026-04-25,stranraer,stirling-albion,1.1333226180186426,0.26164904840894077,0.12094559437422257,0.14468239279766437,0.006490672275427275,-0.010469611038373456,0.7384615384615385,0.4628460382370352,0.4857034462335156,0.8716735696097019
17,2025-03-15,arbroath,dumbarton,1.1283122102254368,0.33264684055507104,0.1364931245046925,0.3667883862870114,-0.12010337038183608,-0.05053129985479666,0.7299324458569557,0.4856301959713791,0.5266423981852933,0.7956653696703657
37,2026-03-21,east-kilbride,stirling-albion,1.087889312399991,0.26590365169863334,0.09159247253916497,0.10918099249566277,0.058559126336699914,0.00657106032710568,0.7471882252019676,0.46729328278596244,0.49684958267424423,0.8219856607013578
