fold,sigma_a,sigma_d,gamma_ha,w_att,w_att_sd,w_def,w_def_sd,w_lineup_sum,w_wealth,w_wealth_sd,p_w_att_pos
1,0.170951501502038,0.17242523598653553,0.12140216806239292,NaN,NaN,NaN,NaN,NaN,0.08835840184528694,0.03453069737678662,NaN
2,0.1530433311690106,0.15966484123671404,0.13421141847439141,NaN,NaN,NaN,NaN,NaN,0.09543399396020016,0.03547049595369214,NaN
3,0.15287227274427578,0.15743898263742243,0.13047255354357906,NaN,NaN,NaN,NaN,NaN,0.10226875971930081,0.035265599317532814,NaN
4,0.1576071919073955,0.16509455179322408,0.14418256639381474,NaN,NaN,NaN,NaN,NaN,0.09646410929350367,0.034994459302185386,NaN
5,0.15012642054431966,0.1575712570072602,0.15390001895880953,NaN,NaN,NaN,NaN,NaN,0.10006483745142092,0.03596449622281819,NaN
6,0.14583787150053126,0.15461878129672743,0.12600466632534915,NaN,NaN,NaN,NaN,NaN,0.09617905466057718,0.03600223795945982,NaN
7,0.14520895784665258,0.148201868564125,0.1325979708602183,NaN,NaN,NaN,NaN,NaN,0.09831751391728055,0.03517855984670012,NaN
8,0.14647582542906812,0.13773808588119957,0.1307235707322082,NaN,NaN,NaN,NaN,NaN,0.0968679961635531,0.03635077679814588,NaN
9,0.14037188589750854,0.12309428369467462,0.12631375185842517,NaN,NaN,NaN,NaN,NaN,0.10909636014202509,0.03688989793646915,NaN
10,0.1348731140520769,0.12186115674060016,0.1283415272809598,NaN,NaN,NaN,NaN,NaN,0.10853904796197825,0.036403533187374056,NaN
11,0.12420587148955846,0.12486899903342139,0.11047283972130557,NaN,NaN,NaN,NaN,NaN,0.10720036341631012,0.03725953791466707,NaN
12,0.110079158015973,0.12073217933490436,0.1313161535120203,NaN,NaN,NaN,NaN,NaN,0.09753366493960619,0.036909348833017205,NaN
13,0.10078698309005306,0.1250668236284207,0.14189478594033234,NaN,NaN,NaN,NaN,NaN,0.10160980748829973,0.03633539839038053,NaN
14,0.09318584059022587,0.1314791132732367,0.14208550011134813,NaN,NaN,NaN,NaN,NaN,0.10193961321787494,0.038054319008388224,NaN
15,0.0809977224719167,0.12822252218664926,0.148412610820179,NaN,NaN,NaN,NaN,NaN,0.10646673308328371,0.03694779998470281,NaN
16,0.07473755370877862,0.13668981935481683,0.14980142534123958,NaN,NaN,NaN,NaN,NaN,0.10430143130555973,0.03681368383255828,NaN
17,0.09209741384564993,0.14466401239283055,0.14044825691305876,NaN,NaN,NaN,NaN,NaN,0.1127241431486689,0.0370562262647232,NaN
18,0.07584169590429385,0.14685830367259067,0.13516567860946105,NaN,NaN,NaN,NaN,NaN,0.10948325300333427,0.036546888252132384,NaN
19,0.08499019914014795,0.15206971022843835,0.11810629357408553,NaN,NaN,NaN,NaN,NaN,0.1140701048459147,0.03808634698618231,NaN
20,0.07668789205043267,0.14292093473373121,0.1378471190191415,NaN,NaN,NaN,NaN,NaN,0.11120404615602951,0.03609464930865751,NaN
21,0.07419056927391252,0.14996490383354083,0.1534322680805162,NaN,NaN,NaN,NaN,NaN,0.1085030879533479,0.039546891759843,NaN
22,0.07180012234391601,0.13366070279009887,0.1407571864851927,NaN,NaN,NaN,NaN,NaN,0.12386195870958297,0.04028747617800035,NaN
23,0.07514294480276745,0.13576760826280893,0.15090707642414683,NaN,NaN,NaN,NaN,NaN,0.12425405995950993,0.039549489397368305,NaN
24,0.0717273280654919,0.12729501284999567,0.15087073356105155,NaN,NaN,NaN,NaN,NaN,0.12283631259082904,0.03780180664610034,NaN
25,0.0771358593439433,0.13532846993606545,0.12518875646540192,NaN,NaN,NaN,NaN,NaN,0.13108110075877014,0.03836503469358657,NaN
26,0.07646074352644092,0.12189700617975188,0.13627010897202094,NaN,NaN,NaN,NaN,NaN,0.13522218303721906,0.039291782608949256,NaN
27,0.07374945836919541,0.11991354719960409,0.12883335209311206,NaN,NaN,NaN,NaN,NaN,0.13591526184559918,0.03783967607164634,NaN
28,0.06329967292825418,0.12455622754214929,0.13205451672778348,NaN,NaN,NaN,NaN,NaN,0.12465911203141569,0.03795742214690922,NaN
29,0.059044846076380664,0.1360626965231013,0.12497878956369228,NaN,NaN,NaN,NaN,NaN,0.126922585867071,0.03752934087881241,NaN
30,0.05184922695308376,0.13915217497703,0.11244195047742128,NaN,NaN,NaN,NaN,NaN,0.12390650429002471,0.037128122531572,NaN
31,0.05614010260913199,0.13809673220121627,0.11627596313639561,NaN,NaN,NaN,NaN,NaN,0.12633372763902873,0.0386494451925008,NaN
32,0.04496743635294454,0.12962503505353787,0.09965511804585825,NaN,NaN,NaN,NaN,NaN,0.12694107030161375,0.03940581736553774,NaN
33,0.04343448856387932,0.13010635942715623,0.10399946072459361,NaN,NaN,NaN,NaN,NaN,0.12478587414190616,0.039381018319071606,NaN
34,0.0540894721965615,0.13899613594996435,0.0972740661478379,NaN,NaN,NaN,NaN,NaN,0.12486651081660356,0.04012790947527859,NaN
35,0.04810265505325477,0.13960652410020327,0.09282323662471344,NaN,NaN,NaN,NaN,NaN,0.12991118704165086,0.039292276232453495,NaN
36,0.06467376627663969,0.13485976227591057,0.08894146949874791,NaN,NaN,NaN,NaN,NaN,0.13540373741788403,0.039365300034668094,NaN
37,0.06656256935404324,0.14610469461414347,0.09298144365814708,NaN,NaN,NaN,NaN,NaN,0.12441199342718423,0.03922982009380232,NaN
38,0.07188794726975291,0.1465373474200065,0.10641194551278926,NaN,NaN,NaN,NaN,NaN,0.12430913957901074,0.03917817116582108,NaN
39,0.07050217322419057,0.14609306924445936,0.11501682912043375,NaN,NaN,NaN,NaN,NaN,0.1253094695375264,0.040155001050411844,NaN
40,0.0712821119465433,0.15075505667027808,0.11941464973066596,NaN,NaN,NaN,NaN,NaN,0.13482219527008424,0.0390234021028323,NaN
