term,coef,se,t
(intercept),0.17587103608419094,0.011784328003875091,14.924146376981234
team α/β contrast,2.4341319439338904,0.0972036526337839,25.04156868574184
lineup ΔL,0.4246102214678443,0.02998005656067209,14.163089406070334
production wealth ΔW,0.332868312473338,0.03395755828236221,9.802480782201354
travel log-dist z,0.02530768437909215,0.0136966857472415,1.8477232263424819
