model,fold,site,mean,rhat,ess_bulk,ess_tail
m05_joint_grw_supremacy_w040,1,σ_sup,0.2095948715746754,1.0007700699648738,5788.417179635434,2717.674859611744
m05_joint_grw_supremacy_w040,2,σ_sup,0.21097461729259462,1.000005187341638,5038.297594339217,3103.203776801632
m05_joint_grw_smile_supremacy_w040,1,σ_sup,0.21652650706148757,1.0016842078508386,6041.536577995624,2863.6050952968335
m05_joint_grw_smile_supremacy_w040,1,σ_smile,0.05301563878819707,1.000130784060271,7480.584469531451,2536.1421524826706
m05_joint_grw_smile_supremacy_w040,1,log_φ[1],-0.18436986175778922,1.000761910352634,1307.0905732809288,1938.6389356169414
m05_joint_grw_smile_supremacy_w040,1,log_φ[2],-0.037851714278494354,1.0009571088279783,1301.4815835751667,1957.4121213208239
m05_joint_grw_smile_supremacy_w040,1,log_φ[3],-0.011528363340048763,1.0010906036462288,1298.2306845351013,1948.1129666215238
m05_joint_grw_smile_supremacy_w040,1,log_φ[4],0.014333703012634402,1.0011103940557082,1301.0014790117957,2014.3288943452774
m05_joint_grw_smile_supremacy_w040,1,log_φ[5],0.05394153714779282,1.0009607926604502,1305.572810241768,2051.647594196017
m05_joint_grw_smile_supremacy_w040,2,σ_sup,0.2180975120664249,1.001144829030278,7421.494057815691,3112.984612903235
m05_joint_grw_smile_supremacy_w040,2,σ_smile,0.05277513991099879,1.0022643681841452,8212.528179391938,3261.740637584188
m05_joint_grw_smile_supremacy_w040,2,log_φ[1],-0.17929787514822668,1.0018791083659597,1277.1665409724867,1927.2493581906263
m05_joint_grw_smile_supremacy_w040,2,log_φ[2],-0.03296395882301551,1.0015531939735713,1290.1515873509925,1977.3113650433959
m05_joint_grw_smile_supremacy_w040,2,log_φ[3],-0.0065952956357825734,1.0015890975653696,1253.1195680922094,2076.117158687321
m05_joint_grw_smile_supremacy_w040,2,log_φ[4],0.019301948239729215,1.001741068990478,1226.305721228129,1958.2280761979735
m05_joint_grw_smile_supremacy_w040,2,log_φ[5],0.05871518367022572,1.0018013554856997,1270.12489900823,2005.105669280045
