match_id,selection,market_name,p_model,prob_fair_close,realized
12476616,home,1X2,0.5617018833219862,0.7555925138850391,0.0
12476632,home,1X2,0.5551055821658736,0.78069552874379,1.0
12476665,home,1X2,0.5371671088267596,0.7299324458569557,0.0
14032707,home,1X2,0.526342820505937,0.9165525429670892,1.0
14032719,home,1X2,0.4928740617729595,0.7299640353840731,1.0
14032720,home,1X2,0.4922537902422852,0.7384615384615385,0.0
14035529,home,1X2,0.5691636228738063,0.8545149680433852,0.0
14035546,home,1X2,0.4864089901512743,0.728378895887161,1.0
14035551,home,1X2,0.5425583713099029,0.740028594199324,1.0
14035598,home,1X2,0.5086944763729235,0.774931822661614,1.0
14035620,home,1X2,0.5738246187610757,0.7599727124918759,1.0
14035624,home,1X2,0.5049528141020949,0.7372184356172161,0.0
14035648,home,1X2,0.6042052407262165,0.8035278074979451,1.0
14035720,home,1X2,0.49220885518606833,0.7182550924181771,1.0
14035811,home,1X2,0.5201898102491075,0.7471882252019676,1.0
14035826,away,1X2,0.4483845026419273,0.7342805057546984,1.0
15457468,home,1X2,0.496724159291446,0.7604332018110247,1.0
15680573,away,1X2,0.43548054357478705,0.7155894080718658,1.0
