match_id,date,family,selection,odds,stake,pnl,payoff,p_model,p_market
12477123,2024-08-03,1X2_home,home,3.1455349338302168,0.010310185283682074,-0.010310185283682074,-1.0,0.4265809338728775,0.3171679729944784
12477123,2024-08-03,1X2_draw,draw,3.497938357265112,0.0003922463616666525,0.0009602110876587187,2.44797959011981,0.2590660129650699,0.2852145569901582
12477123,2024-08-03,O/U 2.5_under_25,under_25,2.0760378560810446,0.0055720921836934405,0.005875866484682887,1.0545170989594237,0.5178949819133412,0.4816867847909619
12477126,2024-08-03,1X2_home,home,4.155100640852063,0.008070971360132323,0.024955432372439093,3.0919986280350216,0.3442362477469002,0.2383213448924134
12477126,2024-08-03,1X2_draw,draw,3.5101483261017004,0.0005524420002872234,-0.0005524420002872234,-1.0,0.25600576220165044,0.2821103500178704
12477126,2024-08-03,O/U 2.5_over_25,over_25,2.066526226720403,0.00025595878121446695,0.0002675270180621263,1.045195702185995,0.5010138489214843,0.4835654923561254
12477128,2024-08-03,1X2_home,home,2.835031767441645,0.010700682614956823,0.01924337068112118,1.7983311320928124,0.4308227466240713,0.3527166847445295
12477128,2024-08-03,1X2_draw,draw,3.7041536289331827,0.0004744086022878104,-0.0004744086022878104,-1.0,0.2637194397815237,0.2699572173105131
12477128,2024-08-03,O/U 2.5_under_25,under_25,2.1852561367163257,0.012335221317394576,-0.012335221317394576,-1.0,0.5352479812314341,0.4576122602738229
12477129,2024-08-03,1X2_home,home,7.137657359979854,0.02271555774209125,-0.02271555774209125,-1.0,0.3145431263815945,0.14010198999000736
12477129,2024-08-03,1X2_draw,draw,5.07565439799843,0.010190290377027279,-0.010190290377027279,-1.0,0.23589580882515482,0.19701893028696893
12477129,2024-08-03,O/U 2.5_under_25,under_25,2.552179576825943,0.0009758677734945469,-0.0009758677734945469,-1.0,0.41911134671979605,0.39182195840767015
12477131,2024-08-03,1X2_away,away,3.0722201408870693,0.00010655972957372318,0.00021639891347354566,2.0307757380693277,0.35858677493776014,0.3254975080370579
12477132,2024-08-03,1X2_away,away,4.307789947823633,0.013486251227764992,-0.013486251227764992,-1.0,0.3426707890372516,0.23096760299088834
12477132,2024-08-03,1X2_draw,draw,3.9633916526138275,0.0032887042528804166,0.009550804356283391,2.904123819561551,0.25430306858714374,0.25103749657970326
12477132,2024-08-03,O/U 2.5_under_25,under_25,2.255421444455187,0.0059478097493292185,0.007317667748710581,1.2303130155660833,0.4853807253336457,0.4422823514328366
12477133,2024-08-03,1X2_home,home,2.8671416766361872,0.0026557801290590394,-0.0026557801290590394,-1.0,0.4025818537029413,0.3487794161512202
12477135,2024-08-03,1X2_away,away,3.4180258691789964,0.00042604212159811706,-0.00042604212159811706,-1.0,0.2909698246288695,0.2925665393633191
12477135,2024-08-03,1X2_home,home,2.2653777293536703,0.001162980042334556,-0.001162980042334556,-1.0,0.4655630935092042,0.44142748780588914
12477135,2024-08-03,O/U 2.5_under_25,under_25,2.337142857142857,0.001189474486467943,0.0015586873670675925,1.3104,0.4633296382580797,0.42787286063569685
12476632,2024-08-10,1X2_away,away,14.0,0.015661977955893275,-0.015661977955893275,-1.0,0.21735488196575403,0.07026259758694109
12476632,2024-08-10,1X2_draw,draw,6.6,0.009314316648449696,-0.009314316648449696,-1.0,0.21119782297417472,0.149041873669269
12476633,2024-08-10,1X2_away,away,3.7557421467495926,0.00031855348423461054,0.0008602942372492633,2.700627303814601,0.27711798757675865,0.26478650844563517
12476633,2024-08-10,1X2_home,home,2.06,1.2335832685952272e-5,-1.2335832685952272e-5,-1.0,0.47263083925435895,0.4827523542038539
