model,run_id,portfolio_id,market_on_model_slope,market_on_model_intercept,through_origin_slope,model_on_market_slope,r2,n_inverted,n_inversion_refused,n_favourites,favourite_model,favourite_market,favourite_realized,crps_home,crps_away,crps_all,total_return_pct,sharpe_ann,max_drawdown_pct,flat_roi_pct,n_portfolio_fixtures,n_bets,capital_ge4,capital_le18,stake_fraction_sum
m01_poisson_time_decay,90a8c7bc-b55c-4ef2-8e65-07cdaefa2b29,3d5f5290-a80a-4e68-9024-73829d341b59,2.5288193083308177,-0.18332973289604246,1.7767296886865074,0.20189799942894013,0.5105635592692682,623,87,18,0.48620776984597835,0.7625287930530411,0.7222222222222222,0.6403944371267938,0.620761605795105,0.6305780214609494,139.31734298720534,1.2042939721384986,-22.841748155043216,12.962384185413134,622,1323,0.5519532837912162,0.0,7.954910963602972
m02_joint_gamma_poisson,6d9970c8-df28-4c2a-a67d-a5741153e708,ee7bb72e-53b2-4459-a7a4-374699632641,1.7240356794529845,-0.034369394422901794,1.6404380417106865,0.3481774222931012,0.6002702988132754,623,87,18,0.5193467362264683,0.7625287930530411,0.7222222222222222,0.6385933484437362,0.616939426098926,0.6277663872713312,127.9710541992134,1.2697718057096796,-22.42937177248058,12.56319452646492,622,1311,0.49262627236034706,0.007350093092806669,7.564424267643178
m03_negbin_pxg_covariate,f866b2bc-d87b-42d0-8c36-8c8d623d1178,6324d2b0-d39b-4cd7-86a1-94a18898a02c,1.302290130879774,0.0028573065645537965,1.3069787390013614,0.4782710371425605,0.6228476515563902,623,87,18,0.5648134062596112,0.7625287930530411,0.7222222222222222,0.6385195972435578,0.6209732290131221,0.62974641312834,83.31737297055813,1.0565303856248567,-22.090326241024727,10.533222397406629,622,1291,0.4404475770125285,3.1609190315068514e-7,6.6781049576223825
