match_id,selection,p_model,p_market,y,family,ll_model,ll_market,model
12473322,away,0.30025885640943734,0.2785869128041913,0.0,1X2,0.35704480720034115,0.3265433692913231,m02_joint_gamma_poisson
12473322,draw,0.24261419223190117,0.26392444370923385,0.0,1X2,0.27788250178335006,0.3064225075184747,m02_joint_gamma_poisson
12473322,home,0.4571266629544054,0.45748864348657486,1.0,1X2,0.7827947646643432,0.7820032175548205,m02_joint_gamma_poisson
12473328,away,0.31024271652900837,0.2542793970612376,0.0,1X2,0.3714155063594981,0.2934042758228285,m02_joint_gamma_poisson
12473328,draw,0.2691315917405681,0.2728502061608147,0.0,1X2,0.31352185149816314,0.3186227788774221,m02_joint_gamma_poisson
12473328,home,0.4206256443899628,0.47287039677794784,1.0,1X2,0.8660120466022373,0.7489339306193903,m02_joint_gamma_poisson
12473330,away,0.292904005012087,0.17587009631010161,0.0,1X2,0.3465888443847113,0.19342711138903795,m02_joint_gamma_poisson
12473330,draw,0.2345828562987409,0.20046878765699017,0.0,1X2,0.2673343078859276,0.2237297076415072,m02_joint_gamma_poisson
12473330,home,0.47251258672489543,0.6236611160329083,1.0,1X2,0.7496908938319328,0.47214814141644385,m02_joint_gamma_poisson
12473330,over_25,0.5863177170242573,0.5970873786407767,1.0,OU2.5,0.5338934571088925,0.5156918134171636,m02_joint_gamma_poisson
12473330,under_25,0.4136817310114662,0.40291262135922323,0.0,OU2.5,0.533892515701187,0.5156918134171635,m02_joint_gamma_poisson
12473331,away,0.3979872583131803,0.4474001698859475,1.0,1X2,0.9213352884986593,0.8043018502079244,m02_joint_gamma_poisson
12473331,draw,0.2511460092616544,0.24129557175582192,0.0,1X2,0.2892112534020993,0.2761430000343711,m02_joint_gamma_poisson
12473331,home,0.35086660644140105,0.3113042583582306,0.0,1X2,0.43211704632763637,0.3729556996337435,m02_joint_gamma_poisson
12473333,away,0.4258804141461722,0.4875956851219247,1.0,1X2,0.8535966900881622,0.7182687306309006,m02_joint_gamma_poisson
12473333,draw,0.26161059629975103,0.2558294244016332,0.0,1X2,0.30328394624823746,0.29548500214962564,m02_joint_gamma_poisson
12473333,home,0.3125089173345461,0.2565748904764422,0.0,1X2,0.3747064201939612,0.2964872450905885,m02_joint_gamma_poisson
12473333,over_25,0.477836398473506,0.511221945137157,0.0,OU2.5,0.6497743273170535,0.7158467680760517,m02_joint_gamma_poisson
12473333,under_25,0.5221635293069632,0.48877805486284287,1.0,OU2.5,0.649774465625307,0.715846768076052,m02_joint_gamma_poisson
12473334,away,0.31517568848697003,0.23084610944813527,0.0,1X2,0.37859295315943675,0.2624642117446297,m02_joint_gamma_poisson
12473334,draw,0.2620551382673678,0.2633160753228534,1.0,1X2,1.339200345960663,1.334400161085464,m02_joint_gamma_poisson
12473334,home,0.42276910168221155,0.5058378152290113,0.0,1X2,0.5495129221260749,0.7048915064228908,m02_joint_gamma_poisson
12473335,away,0.30812847577612706,0.20493905261217946,0.0,1X2,0.36835499923718734,0.22933650388538565,m02_joint_gamma_poisson
12473335,draw,0.257110439387051,0.26648148713474396,0.0,1X2,0.29720788513343555,0.30990244263749717,m02_joint_gamma_poisson
12473335,home,0.4347609841572854,0.5285794602530766,1.0,1X2,0.8329588606102452,0.6375621344471905,m02_joint_gamma_poisson
12473335,over_25,0.49543642442950786,0.5087281795511222,0.0,OU2.5,0.6840614301398555,0.7107576985685806,m02_joint_gamma_poisson
12473335,under_25,0.5045634748909557,0.4912718204488778,1.0,OU2.5,0.6840616296777362,0.7107576985685807,m02_joint_gamma_poisson
12473336,away,0.26714804199464504,0.2010816582964621,0.0,1X2,0.31081156474415617,0.22449653906005604,m02_joint_gamma_poisson
12473336,draw,0.26135824881596825,0.2423700655766101,1.0,1X2,1.3418632119873728,1.4172895242583914,m02_joint_gamma_poisson
12473336,home,0.4714936099682037,0.5565482761269278,0.0,1X2,0.6377003828616913,0.8131663357547337,m02_joint_gamma_poisson
12473337,away,0.3519485126806599,0.5795146532965145,0.0,1X2,0.43378513004658,0.8663456474926409,m02_joint_gamma_poisson
12473337,draw,0.26080658586134453,0.217947902218037,0.0,1X2,0.3021956681388116,0.24583391945136368,m02_joint_gamma_poisson
12473337,home,0.3872448348642127,0.20253744448544853,1.0,1X2,0.9486981377619412,1.5968304984902302,m02_joint_gamma_poisson
12473337,btts_no,0.46778034086694786,0.3971291866028708,0.0,BTTS,0.6306989817501546,0.506052345013333,m02_joint_gamma_poisson
12473337,btts_yes,0.5322195925392692,0.6028708133971292,1.0,BTTS,0.630699106874783,0.506052345013333,m02_joint_gamma_poisson
12473337,over_25,0.4896371863046402,0.6090133982947624,1.0,OU2.5,0.7140905982486514,0.4959150110302366,m02_joint_gamma_poisson
12473337,under_25,0.5103627471015768,0.3909866017052375,0.0,OU2.5,0.7140904622422771,0.4959150110302364,m02_joint_gamma_poisson
12476452,away,0.2946574527736184,0.16735857285551084,0.0,1X2,0.3490717115819799,0.18315218910008563,m02_joint_gamma_poisson
12476452,draw,0.2622515581914016,0.2301234495099484,0.0,1X2,0.3041523772472578,0.26152510102657417,m02_joint_gamma_poisson
12476452,home,0.4430909088028492,0.6025179776345407,1.0,1X2,0.8139803182454708,0.5066377756649051,m02_joint_gamma_poisson
