match_id,selection,market_name,p_model,prob_fair_close,realized
12476616,home,1X2,0.4932652194309194,0.7555925138850391,0.0
12476632,home,1X2,0.5714410219327618,0.78069552874379,1.0
12476665,home,1X2,0.5125897167356017,0.7299324458569557,0.0
14032707,home,1X2,0.5179338635435937,0.9165525429670892,1.0
14032719,home,1X2,0.5139769473561977,0.7299640353840731,1.0
14032720,home,1X2,0.47152865569170793,0.7384615384615385,0.0
14035529,home,1X2,0.47481072958954756,0.8545149680433852,0.0
14035546,home,1X2,0.4524762016685599,0.728378895887161,1.0
14035551,home,1X2,0.5090276686243028,0.740028594199324,1.0
14035598,home,1X2,0.4836748154523361,0.774931822661614,1.0
14035620,home,1X2,0.5091135718768957,0.7599727124918759,1.0
14035624,home,1X2,0.4680532232924864,0.7372184356172161,0.0
14035648,home,1X2,0.5229122000320454,0.8035278074979451,1.0
14035720,home,1X2,0.4615886163508319,0.7182550924181771,1.0
14035811,home,1X2,0.48471068395868044,0.7471882252019676,1.0
14035826,away,1X2,0.4047581560232441,0.7342805057546984,1.0
15457468,home,1X2,0.504435490637481,0.7604332018110247,1.0
15680573,away,1X2,0.3954430750304169,0.7155894080718658,1.0
