match_id,selection,market_name,p_model,prob_fair_close,realized
12476616,home,1X2,0.5955816800915066,0.7555925138850391,0.0
12476632,home,1X2,0.6212567653831019,0.78069552874379,1.0
12476665,home,1X2,0.5695715221175421,0.7299324458569557,0.0
14032707,home,1X2,0.5653033368073594,0.9165525429670892,1.0
14032719,home,1X2,0.5201142573125184,0.7299640353840731,1.0
14032720,home,1X2,0.5294801383094092,0.7384615384615385,0.0
14035529,home,1X2,0.6347247794549615,0.8545149680433852,0.0
14035546,home,1X2,0.5230419275890593,0.728378895887161,1.0
14035551,home,1X2,0.6169568996797374,0.740028594199324,1.0
14035598,home,1X2,0.5702398653317544,0.774931822661614,1.0
14035620,home,1X2,0.6113517298435903,0.7599727124918759,1.0
14035624,home,1X2,0.5713626112854687,0.7372184356172161,0.0
14035648,home,1X2,0.6513687233259137,0.8035278074979451,1.0
14035720,home,1X2,0.5361015303074259,0.7182550924181771,1.0
14035811,home,1X2,0.5834372366839198,0.7471882252019676,1.0
14035826,away,1X2,0.4722511127143278,0.7342805057546984,1.0
15457468,home,1X2,0.5388754968168775,0.7604332018110247,1.0
15680573,away,1X2,0.4556216996185259,0.7155894080718658,1.0
