arm,match_id,group,line,selection,side,effective_odds,p_model,p_market,edge,risk,score,outcome,net_pnl,fixture
hier_raw,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.5140261010532665,0.42387921329713263,0.09014688775613389,12.166847399568816,5-1,lose,-12.166847399568816,the-spartans-fc v forfar-athletic
hier_raw,16362612,1X2,0.0,away,back,4.5,0.33717121048907467,0.21621621621621623,0.12095499427285844,11.044089039087691,7-3,lose,-11.044089039087691,edinburgh-city-fc v stirling-albion
hier_raw,16362609,1X2,0.0,away,back,5.1,0.3123627510109418,0.19020605656127476,0.12215669444966704,10.548109380319557,5-1,lose,-10.548109380319557,the-spartans-fc v forfar-athletic
hier_raw,16362438,1X2,0.0,away,back,4.5,0.32300098532950267,0.21766784452296822,0.10533314080653444,9.589221605856597,3-1,lose,-9.589221605856597,east-kilbride v peterhead
hier_raw,16362607,1X2,0.0,away,back,4.5,0.3180170215758715,0.21741406386320014,0.10060295771267133,9.217852008272267,3-1,lose,-9.217852008272267,stranraer v dumbarton
hier_raw,16362605,1X2,0.0,home,back,2.62,0.43154666865660285,0.3721998512967366,0.059346817359866244,8.752928135066803,2-0,win,13.896148707232056,annan-athletic v elgin-city
hier_raw,16362438,OverUnder,2.5,under_25,back,2.74,0.4757260196409446,0.3583138173302107,0.11741220231073385,8.213021871500835,3-1,lose,-8.213021871500835,east-kilbride v peterhead
hier_raw,16362605,OverUnder,2.5,under_25,back,2.44,0.47703827441020497,0.4058441558441559,0.07119411856604907,7.50989132425741,2-0,win,10.597958636792056,annan-athletic v elgin-city
hier_raw,16362439,1X2,0.0,away,back,3.85,0.3254793100125728,0.2527359074953541,0.07274340251721872,5.837478567254107,2-1,lose,-5.837478567254107,montrose v cove-rangers
hier_raw,16362618,1X2,0.0,away,back,3.85,0.3187296359186934,0.25082164589502454,0.06790799002366887,5.7969091446388505,4-1,lose,-5.7969091446388505,clyde-fc v kelty-hearts-fc
hier_raw,16362607,1X2,0.0,draw,back,4.2,0.2526532491641799,0.23294363985342872,0.01970960931075119,3.3756753454140593,3-1,lose,-3.3756753454140593,stranraer v dumbarton
hier_raw,16362438,1X2,0.0,draw,back,4.4,0.251773203971476,0.22261484098939932,0.02915836298207669,3.333008778405934,3-1,lose,-3.333008778405934,east-kilbride v peterhead
hier_raw,16362612,1X2,0.0,draw,back,4.0,0.2542889106550166,0.24324324324324326,0.011045667411773319,3.322320498668801,7-3,lose,-3.322320498668801,edinburgh-city-fc v stirling-albion
hier_raw,16362612,OverUnder,2.5,under_25,back,2.24,0.4823213634604822,0.4371859296482412,0.045135433812241,3.235459395083434,7-3,lose,-3.235459395083434,edinburgh-city-fc v stirling-albion
hier_raw,16362607,OverUnder,2.5,under_25,back,2.38,0.48056586864313144,0.41234567901234565,0.0682201896307858,3.1787753040339304,3-1,lose,-3.1787753040339304,stranraer v dumbarton
hier_raw,16362437,1X2,0.0,away,back,3.2,0.3412805126742685,0.3032960387057756,0.037984473968492916,2.485080482939995,1-0,lose,-2.485080482939995,airdrieonians v alloa-athletic
hier_raw,16362609,1X2,0.0,draw,back,4.0,0.26017277002267963,0.24251272211562527,0.01766004790705436,2.2627329145556283,5-1,lose,-2.2627329145556283,the-spartans-fc v forfar-athletic
hier_raw,16362440,1X2,0.0,home,back,2.48,0.4192625060918768,0.39220255905215834,0.02705994703971848,1.8345081534427343,1-1,lose,-1.8345081534427343,queen-of-the-south v east-fife
hier_optB,16362609,OverUnder,2.5,under_25,lay,2.3513513513513513,0.47922183726058404,0.42387921329713263,0.05534262396345141,12.407148167518873,5-1,lose,-12.407148167518873,the-spartans-fc v forfar-athletic
hier_optB,16362618,OverUnder,2.5,under_25,lay,2.587553579933323,0.4337289249594487,0.383556747839196,0.05017217712025268,9.941393775900243,4-1,lose,-9.941393775900243,clyde-fc v kelty-hearts-fc
hier_optB,16362438,OverUnder,2.5,under_25,back,2.74,0.426830007980905,0.3583138173302107,0.06851619065069425,9.058748352606704,3-1,lose,-9.058748352606704,east-kilbride v peterhead
hier_optB,16362609,1X2,0.0,away,back,5.1,0.24786270461834162,0.19020605656127476,0.057656648057066856,6.153384635673178,5-1,lose,-6.153384635673178,the-spartans-fc v forfar-athletic
hier_optB,16362438,1X2,0.0,away,back,4.5,0.2688688143604999,0.21766784452296822,0.051200969837531696,5.772078608394811,3-1,lose,-5.772078608394811,east-kilbride v peterhead
hier_optB,16362612,1X2,0.0,away,back,4.5,0.264855026404681,0.21621621621621623,0.048638810188464776,5.0125544395589285,7-3,lose,-5.0125544395589285,edinburgh-city-fc v stirling-albion
hier_optB,16362605,OverUnder,2.5,under_25,back,2.44,0.4354077425565422,0.4058441558441559,0.02956358671238629,4.84939039780766,2-0,win,6.843459729386169,annan-athletic v elgin-city
hier_optB,16362607,1X2,0.0,away,back,4.5,0.2598945363372982,0.21741406386320014,0.04248047247409806,4.439476139945951,3-1,lose,-4.439476139945951,stranraer v dumbarton
hier_optB,16362607,OverUnder,2.5,under_25,back,2.38,0.44493350890546773,0.41234567901234565,0.03258782989312209,3.25009362139952,3-1,lose,-3.25009362139952,stranraer v dumbarton
hier_optB,16362612,OverUnder,2.5,under_25,back,2.24,0.4626836460161768,0.4371859296482412,0.025497716367935574,3.0053170096410753,7-3,lose,-3.0053170096410753,edinburgh-city-fc v stirling-albion
hier_optB,16362618,1X2,0.0,away,back,3.85,0.283526351094775,0.25082164589502454,0.03270470519975044,2.9941684638039825,4-1,lose,-2.9941684638039825,clyde-fc v kelty-hearts-fc
hier_optB,16362605,1X2,0.0,home,back,2.62,0.3967822794040328,0.3721998512967366,0.024582428107296217,2.920402117496164,2-0,win,4.63643040173691,annan-athletic v elgin-city
hier_optB,16362439,1X2,0.0,away,back,3.85,0.2834112886311365,0.2527359074953541,0.030675381135782442,2.631666088587144,2-1,lose,-2.631666088587144,montrose v cove-rangers
hier_optB,16362437,1X2,0.0,away,back,3.2,0.32436770054153913,0.3032960387057756,0.021071661835763533,1.077782096001113,1-0,lose,-1.077782096001113,airdrieonians v alloa-athletic
