arm,n_legs,risk,net_pnl,n_away,away_risk,away_net,n_away_on_turf,n_home,home_net,n_under25,n_wins
flat_raw,19,124.28148496179239,-84.27177168405225,7,54.7687657868076,-54.7687657868076,6,2,11.304457875148106,6,2
flat_optB,15,73.78014300971279,-54.52442716720605,7,28.171826025821733,-28.171826025821733,6,1,4.459568344962793,6,2
hier_raw,19,124.25709087164535,-83.50016406829701,7,54.51874022836906,-54.51874022836906,6,2,12.061640553789323,6,2
hier_optB,14,73.51360391433535,-54.263921267908444,7,28.081110471965108,-28.081110471965108,6,1,4.63643040173691,6,2
live_ledger (realised fills),11,55.73,-45.88999999999999,6,NaN,NaN,-1,0,NaN,5,-1
