match_id,group,line,selection,side,effective_odds,p_model,p_market,risk,risk_filled,net_pnl
16362437,1X2,0.0,away,back,3.2,0.327536,0.303296,1.64,1.64,-1.64
16362438,1X2,0.0,away,back,4.5,0.266296,0.217668,5.76,5.56,-5.56
16362438,OverUnder,2.5,under_25,back,2.74,0.434132,0.358314,10.28,10.0,-10.0
16362439,1X2,0.0,away,back,3.85,0.300965,0.252736,5.31,5.31,-5.31
16362605,OverUnder,2.5,under_25,back,2.44,0.428914,0.405844,3.31,3.31,4.67
16362607,1X2,0.0,away,back,4.5,0.262574,0.217414,5.17,5.17,-5.17
16362607,OverUnder,2.5,under_25,back,2.38,0.444725,0.412346,3.38,3.38,-3.38
16362609,1X2,0.0,away,back,5.1,0.228353,0.190206,3.93,3.93,-3.93
16362609,OverUnder,2.5,under_25,lay,2.351351,0.460083,0.423879,8.04,6.66,-6.66
16362612,1X2,0.0,away,back,4.5,0.240552,0.216216,2.01,2.01,-2.01
16362618,OverUnder,2.5,under_25,lay,2.587554,0.419892,0.383557,6.9,6.9,-6.9
