model,folds,oos,draws,max_rhat,worst_rhat_fold,min_ess_bulk,min_ess_tail,n_divergent,n_transitions,divergence_rate,treedepth_rate,min_bfmi,passed,strict_rhat_pass,failures,wall_min,run_id,mean_r,median_r,r_q05,r_q95,latent_mean_lambda_h,latent_min_sd,grid_d_over35,grid_d_home,gate_pass,gate_failures
m00_baseline_grw_negbin,2,39,200,1.159660252425894,2,54.660555386535904,34.23945494093057,0,400,0.0,0.0,0.6232090590361258,false,false,max R-hat 1.1597 at fold 2 (gate < 1.050); min bulk ESS 54.7 at fold 1 (gate > 400); min tail ESS 34.2 at fold 2 (gate > 400),0.9770974675814311,bc024fce-3308-404e-93b6-b01d69383a76,30.110045921119095,28.43220201693029,17.891539790450317,49.92663572791919,1.518026626188978,0.14343513869328087,0.0015110586187882663,0.001125449420622121,false,G3 max R̂ 1.1597 (fold 2)
m05_wealth_grw_negbin,2,39,200,1.0988534909075423,2,18.759565317847464,66.20789512607152,0,400,0.0,0.0,0.6315479014796613,false,false,max R-hat 1.0989 at fold 2 (gate < 1.050); min bulk ESS 18.8 at fold 1 (gate > 400); min tail ESS 66.2 at fold 2 (gate > 400),1.3153574506441752,49803538-73df-4748-917c-59bb1484f5de,31.051364601617173,29.085669974957575,17.848441228016924,49.83372630889121,1.4790924507720806,0.08316892817731908,0.0009420875954691543,0.0008252212817357422,false,G3 max R̂ 1.0989 (fold 2)
m10_lineup_grw_negbin,2,39,200,1.108173376887773,1,36.02995390447449,62.17783822674272,0,400,0.0,0.0,0.5700931293402907,false,false,max R-hat 1.1082 at fold 1 (gate < 1.050); min bulk ESS 36.0 at fold 1 (gate > 400); min tail ESS 62.2 at fold 1 (gate > 400),0.774731167157491,f1664cd5-da34-4f57-999a-d0906cd71ab2,30.981300166165205,28.750036371475943,17.17420236352793,51.12778751883064,1.5146711294127881,0.11479653834694084,0.0012825834412713288,0.0010949274599920122,false,G3 max R̂ 1.1082 (fold 1)
m12_joint_hybrid_synergy_negbin,2,39,200,1.0774878111746216,1,17.598334568541702,38.580293264292315,0,400,0.0,0.0,0.632154571405806,false,false,max R-hat 1.0775 at fold 1 (gate < 1.050); min bulk ESS 17.6 at fold 1 (gate > 400); min tail ESS 38.6 at fold 2 (gate > 400),1.402034866809845,2a3875aa-fb2b-4192-816f-6247826b5f83,31.32369345777597,29.635863371073846,18.12915854273831,49.910731842225914,1.469952141280117,0.09145102311047718,0.0009324631942056368,0.0006858384471811382,false,G3 max R̂ 1.0775 (fold 1)
