contrast,scope,rule,n_obs,n_fixtures,delta,lo,hi,p_better,significant
m05_joint_grw_supremacy_w040 − m05_joint_grw_baseline,all,ll,2899,627,-0.0018048143626877315,-0.004403627420290523,0.0008191638274214637,0.9087,false
m05_joint_grw_supremacy_w040 − m05_joint_grw_baseline,1X2,ll,1785,595,-0.002206873918514733,-0.00611817632039264,0.001733600142838238,0.8623,false
m05_joint_grw_supremacy_w040 − m05_joint_grw_baseline,OU2.5,ll,758,379,-0.0019047910727243,-0.004948269975070531,0.0011888704317656214,0.8872,false
m05_joint_grw_supremacy_w040 − m05_joint_grw_baseline,BTTS,ll,356,178,0.00042400207933169707,-0.002997084412413479,0.0038427360996876278,0.4009,false
m05_joint_grw_supremacy_w040 − m05_joint_grw_baseline,OU1.5,ll,430,215,0.0021460162377287483,-0.0005708547038306862,0.004788702255052394,0.0593,false
m05_joint_grw_supremacy_w040 − m05_joint_grw_baseline,OU3.5,ll,528,264,-0.0010374496202609472,-0.00507113300827377,0.003020626158195444,0.689,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_baseline,all,ll,2899,627,-0.0019934478576275334,-0.006757957874159918,0.002864982600589785,0.787,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_baseline,1X2,ll,1785,595,-0.0031377685893883983,-0.007384247583852786,0.0010683732811315053,0.9286,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_baseline,OU2.5,ll,758,379,-0.0028158451737198094,-0.015057233045458146,0.009566845528580475,0.672,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_baseline,BTTS,ll,356,178,0.005495287175493496,-0.008442900335840522,0.019236771600651976,0.2215,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_baseline,OU1.5,ll,430,215,0.007134920781510815,-0.006481372621011572,0.020255150466258025,0.1438,false
m05_joint_grw_smile_supremacy_w020 − m05_joint_grw_baseline,OU3.5,ll,528,264,-0.002869585684561054,-0.019835468905663144,0.012719344999668165,0.6237,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,all,ll,2899,627,-0.002231009600784117,-0.007146259890304794,0.002687719933968682,0.8158,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,1X2,ll,1785,595,-0.0034945509067823726,-0.007868212740816354,0.0008985479466868846,0.937,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,OU2.5,ll,758,379,-0.0028788613338289054,-0.015486674117884642,0.009798576016506065,0.6724,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,BTTS,ll,356,178,0.00548385794094295,-0.008243106836563725,0.018961671678577204,0.2195,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,OU1.5,ll,430,215,0.006944727640922118,-0.006874624426783965,0.020202677993673677,0.1539,false
m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,OU3.5,ll,528,264,-0.0033751665066758777,-0.02067790000466435,0.012632780294710136,0.644,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_baseline,all,ll,2899,627,-0.002185433299492162,-0.0071742121757572335,0.0028082044831977304,0.8061,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_baseline,1X2,ll,1785,595,-0.0032802069930481575,-0.008028362427388087,0.0015317897803713875,0.9102,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_baseline,OU2.5,ll,758,379,-0.0031778177806968577,-0.015970442105626006,0.009590325340928718,0.6864,false
m05_joint_grw_smile_supremacy_w070 − m05_joint_grw_baseline,BTTS,ll,356,178,0.005416809621155618,-0.008074869753661063,0.018638766679135717,0.2149,false
