pair,bet_set,owner,n_bets,n_wins,win_rate_pct,cap_weighted_win_rate_pct,roi_pct,stake_sum,pnl_sum,stake_mean,odds_mean,edge_mean_pp,edge_win_pp,edge_loss_pp,capture_ratio
m12_joint_hybrid_synergy_grw vs m12_hybrid_td_raw,shared,m12_joint_hybrid_synergy_grw,1062,348,32.7683615819209,35.53382118662085,13.408412717931274,15.463479652190907,2.0734071723190803,0.014560715303381268,3.766522748692138,4.778545618457653,5.051212406027288,4.645649200986736,1.0872995759030641
m12_joint_hybrid_synergy_grw vs m12_hybrid_td_raw,shared,m12_hybrid_td_raw,1062,348,32.7683615819209,32.93961166082168,12.92382274364761,16.28967375439729,2.105248561536792,0.0153386758515982,3.766522748692138,5.423798611587012,5.244995727528115,5.510946235750169,0.9517414075831839
m12_joint_hybrid_synergy_grw vs m12_hybrid_td_raw,exclusive,m12_joint_hybrid_synergy_grw,191,83,43.455497382198956,45.15151782392151,-11.878209237865452,1.3595306458051033,-0.1614878947616336,0.007117961496361797,2.444811829071667,1.552429926573065,1.7036804934898724,1.4361910649610734,1.1862491941739306
m12_joint_hybrid_synergy_grw vs m12_hybrid_td_raw,exclusive,m12_hybrid_td_raw,240,94,39.166666666666664,48.010614442790796,29.67279663562459,1.291894156758831,0.383341125882565,0.005382892319828462,3.109736980684764,0.8931481685879908,1.4221962330031994,0.5525281819097057,2.573979535464881
m05_wealth_grw vs m05_joint_td_raw,shared,m05_wealth_grw,1061,349,32.89349670122526,36.34240575103392,12.441258860193816,15.255306399038219,1.8979521590200565,0.014378234117849404,3.740292552237305,4.596658982939178,4.973443951834736,4.411970845095708,1.127261291257886
m05_wealth_grw vs m05_joint_td_raw,shared,m05_joint_td_raw,1061,349,32.89349670122526,32.728522060306595,12.481775655640497,15.789069350264196,1.9707562144134716,0.014881309472445047,3.740292552237305,5.131179066366682,4.970742542438855,5.209820002954898,0.9541102263839357
m05_wealth_grw vs m05_joint_td_raw,exclusive,m05_wealth_grw,186,90,48.38709677419355,54.76877647840366,3.200088879710774,1.377106053025227,0.04406861766468425,0.007403795984006597,2.361494256160162,1.4349054235427448,1.8490086809967679,1.0466836196795983,1.7665401905905154
m05_wealth_grw vs m05_joint_td_raw,exclusive,m05_joint_td_raw,219,84,38.35616438356164,47.205834132582524,29.039113724628358,1.1122204280445502,0.32297895496840523,0.005078632091527626,3.201236661370733,1.0210958623186195,1.334048541743398,0.8263697506765347,1.6143482268696736
m12_joint_hybrid_synergy_grw vs m05_wealth_grw,shared,m12_joint_hybrid_synergy_grw,1136,394,34.683098591549296,36.42336627168578,11.981087168313593,16.46555183679635,1.9727521183104306,0.014494323799996787,3.615430977564901,4.699936181774075,4.786581909760802,4.653927533759559,1.0285037476494785
m12_joint_hybrid_synergy_grw vs m05_wealth_grw,shared,m05_wealth_grw,1136,394,34.683098591549296,37.752394073394484,12.103740298587192,16.226768308649163,1.9640458949323443,0.014284127032261586,3.615430977564901,4.495658437667055,4.761274299619113,4.354617130916231,1.0933852865768063
m12_joint_hybrid_synergy_grw vs m05_wealth_grw,exclusive,m12_joint_hybrid_synergy_grw,117,37,31.62393162393162,31.138072982581022,-17.018156612889527,0.3574584611996614,-0.06083284075298332,0.003055200523074029,3.075868614957365,0.2752312844626827,0.35984123814593305,0.23609918088417942,1.5241104894915178
