model,selection_family,n_bets,win_rate_pct,roi_pct,stake_sum,pnl_sum,edge_mean_pp,capture_ratio
m00_baseline_grw,1X2_away,388,24.484536082474225,18.43560039557445,5.492684534063702,1.0126093716895046,6.388267002687894,1.0785591334245692
m00_baseline_grw,1X2_draw,306,24.509803921568626,7.888322492305173,2.083179343739689,0.1643279047272732,0.5932512410129024,2.041108743644551
m00_baseline_grw,1X2_home,328,39.02439024390244,11.789915633908826,6.887676562710839,0.8120512558801192,6.469923688322562,0.8095753086176851
m00_baseline_grw,O/U 1.5_over_15,50,78.0,3.653765615525684,0.5220173055018537,0.019073288815520395,3.486340295037249,1.0878294017470413
m00_baseline_grw,O/U 2.5_under_25,224,50.89285714285714,7.53982029077047,3.4007677829765193,0.25641177934284864,5.510794199706386,0.9973135322567752
m05_wealth_grw,1X2_away,403,26.550868486352357,7.766783120763535,5.538823136227799,0.4301883804334862,5.4999252252634285,0.9320149648398138
m05_wealth_grw,1X2_draw,273,24.175824175824175,3.378298092892948,1.5771804744665214,0.053281857890382436,0.5053735058081766,1.3168025883200476
m05_wealth_grw,1X2_home,310,39.03225806451613,19.991705913709897,5.512101379279113,1.1019630974110273,4.904680225047125,0.953463620344471
m05_wealth_grw,O/U 1.5_over_15,64,75.0,1.2518908964222746,0.7763476933582647,0.00971902609773643,3.4678269063137384,1.2791719271142654
m05_wealth_grw,O/U 2.5_under_25,197,49.23857868020304,10.745747769600966,3.227959768731747,0.34686841485210823,5.315324695644345,1.1423474339396027
m10_lineup_grw,1X2_away,378,25.396825396825395,14.780847758229886,5.582049478403563,0.825074235191896,6.944944656255038,0.9667473187488993
m10_lineup_grw,1X2_draw,326,25.4601226993865,3.916153695401342,2.1955579640015164,0.08598142434192384,0.5502227749232999,1.517864721364993
m10_lineup_grw,1X2_home,320,39.375,11.563263862581644,6.95920948248908,0.8047117552100148,6.997062788736853,0.7701660237100603
m10_lineup_grw,O/U 1.5_over_15,47,78.72340425531915,1.639597090301344,0.43726705567538277,0.007169417921699933,2.965691395154223,1.1656246278253082
m10_lineup_grw,O/U 2.5_under_25,228,49.122807017543856,7.7732250388049,3.0864166212242874,0.23991410960284248,5.089599309407354,1.0441049554918147
m12_joint_hybrid_synergy_grw,1X2_away,413,26.876513317191282,10.026257177940316,5.74687397175542,0.5761963641003115,5.704007233596236,0.8777371033890091
m12_joint_hybrid_synergy_grw,1X2_draw,282,24.46808510638298,0.5523285849968517,1.7462468557010566,0.00964502054864566,0.6507778340925292,1.2110273002817475
m12_joint_hybrid_synergy_grw,1X2_home,301,37.2093023255814,18.118629249119675,5.590252876340111,1.0128771927523132,5.316605176151988,0.9638325707438704
m12_joint_hybrid_synergy_grw,O/U 1.5_over_15,60,73.33333333333333,1.2869890196950038,0.7376286360948718,0.009493199552667017,3.31860358640381,1.219636021622594
m12_joint_hybrid_synergy_grw,O/U 2.5_under_25,197,48.223350253807105,10.116811975251032,3.002007958104556,0.3037075006035107,5.241831740518615,1.1667333003776539
m05_joint_td_raw,1X2_away,387,25.064599483204137,15.560948541015014,5.5766201333104,0.8677749892723142,6.2957395153503475,0.9754597007142185
m05_joint_td_raw,1X2_draw,329,24.012158054711247,8.522498743326192,2.169857588419626,0.18492608570503064,0.7843911418493931,1.0866519077663521
m05_joint_td_raw,1X2_home,301,38.205980066445186,13.960269387990412,5.922690951854555,0.8268236118970295,6.0646668968137165,0.7458820949502726
m05_joint_td_raw,O/U 1.5_over_15,50,72.0,-0.22538967294866538,0.4258619466666032,-0.0009598488488046767,2.4985111097356683,1.197898913304618
m05_joint_td_raw,O/U 2.5_under_25,213,49.76525821596244,14.794440141575505,2.806259158057553,0.4151703313563054,4.802323069136528,1.0078552325879102
m12_hybrid_td_raw,1X2_away,374,25.668449197860966,10.668576791573708,5.890053531711369,0.6283848840954267,7.0439810261268585,0.9243346347348732
m12_hybrid_td_raw,1X2_draw,361,24.37673130193906,6.922254893750858,2.4047732629612644,0.16646453487894833,0.6296458272720282,1.3890541407747383
m12_hybrid_td_raw,1X2_home,293,38.907849829351534,19.371554355344852,6.299215997478034,1.2202560509120357,6.773732577152973,0.8143854120598739
m12_hybrid_td_raw,O/U 1.5_over_15,47,70.2127659574468,1.1661594454287247,0.3336208599041905,0.0038905511696932507,2.293754364238709,1.0871263198902739
m12_hybrid_td_raw,O/U 2.5_under_25,227,48.89867841409692,17.694446389798582,2.653904259101256,0.46959366636325295,4.494134530065356,0.9882666646895856
m05_joint_grw_raw,1X2_away,398,26.38190954773869,8.174728010307227,5.53095944026722,0.45214089060225626,5.561883008133232,0.9499051496195987
m05_joint_grw_raw,1X2_draw,272,23.161764705882355,3.1078300275861737,1.5788856058783565,0.04906908096072345,0.4887891603818872,1.5316540301666624
m05_joint_grw_raw,1X2_home,306,39.21568627450981,20.122872494828652,5.517825871790234,1.1103450646670163,4.997065549492243,0.947011114780719
m05_joint_grw_raw,O/U 1.5_over_15,63,76.19047619047619,1.3740579488687397,0.7865182594419584,0.010807216663166285,3.5358639475301517,1.2161048885870545
m05_joint_grw_raw,O/U 2.5_under_25,196,50.0,10.928566528037765,3.2253742469533018,0.3524871703564887,5.368837054165254,1.1206021139694693
