contrast,scope,rule,n_obs,n_fixtures,delta,lo,hi,width,p_better,significant
m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,OU1.5,ll,430,215,0.004185635209259368,-0.0026836307232817394,0.010742839305178855,0.013426470028460594,0.1204,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,OU3.5,ll,528,264,0.0003854911746722121,-0.0008764447589222345,0.0016026175084639623,0.0024790622673861967,0.2708,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,OU4.5,ll,197,104,0.005542663400240125,0.0017961107048276189,0.00877055685060625,0.00697444614577863,0.0028,true
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,all,ll,2899,627,-0.00056984652419498,-0.00510789655036835,0.0038871500357765517,0.008995046586144901,0.6015,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,1X2,ll,1785,595,-0.0012421914335583443,-0.003720583271496059,0.001231389693179949,0.004951972964676008,0.8397,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,OU2.5,ll,758,379,-0.0018070394621654735,-0.01466099857148206,0.010768233556555522,0.025429232128037584,0.6068,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,BTTS,ll,356,178,0.005435568953881534,-0.00894874949598437,0.019406977601592504,0.028355727097576874,0.2299,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,OU0.5,ll,533,384,0.008642572348414444,0.0014825892102527485,0.014910682128698097,0.013428092918445348,0.01,true
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,OU1.5,ll,430,215,0.008984346612452737,-0.006720973523938196,0.023744313195863512,0.03046528671980171,0.1259,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,OU3.5,ll,528,264,-0.0019522257117427168,-0.019726782107953082,0.014431664661530369,0.03415844676948345,0.5789,false
m05_joint_grw_smile_spine_w040 − m05_joint_grw_supremacy_w040,OU4.5,ll,197,104,0.0058606215761296595,-0.02671686204255191,0.031452789909416155,0.05816965195196806,0.319,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,all,ll,2899,627,0.00026040787744904337,-0.0006234242829482775,0.0011456390438744028,0.0017690633268226802,0.2765,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,1X2,ll,1785,595,0.0005090999800724298,-0.0007926543116930176,0.0017926212549985796,0.002585275566691597,0.2163,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,OU2.5,ll,758,379,6.334143819441936e-5,-0.001165552235365352,0.0013321643850206935,0.0024977166203860456,0.4614,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,BTTS,ll,356,178,-0.0005669489827412372,-0.0022895660297384077,0.001143809361979132,0.0034333753917175397,0.7459,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,OU0.5,ll,533,384,2.831415279229041e-5,-0.0005162996062560495,0.0006240515274226726,0.0011403511336787221,0.4722,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,OU1.5,ll,430,215,0.00023448590967669597,-0.0010904493638301683,0.0015266906560909073,0.0026171400199210756,0.3553,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,OU3.5,ll,528,264,0.0006720249182497454,-0.001007802509492268,0.002341612687754404,0.003349415197246672,0.2167,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_smile_spine_w040,OU4.5,ll,197,104,-0.0003293601968413425,-0.002022752433382337,0.0012202284089365349,0.003242980842318872,0.6515,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_baseline,all,brier,2899,627,-0.0010414537753500566,-0.003329904132602793,0.001269096158940635,0.004599000291543428,0.8098,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_baseline,1X2,brier,1785,595,-0.0014180464842093194,-0.003334428934037585,0.0004873811882023713,0.003821810122239956,0.9277,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_baseline,OU2.5,brier,758,379,-0.0018638176166529234,-0.0078893766348935,0.00417394378159764,0.01206332041649114,0.7284,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_baseline,BTTS,brier,356,178,0.0025977871713391523,-0.00400144580671496,0.009064377492551994,0.013065823299266954,0.2209,false
m05_joint_grw_smile_spine_w020 − m05_joint_grw_baseline,OU0.5,brier,533,384,0.001178371805783858,0.0002622255660831843,0.001989518378846169,0.0017272928127629846,0.0069,true
m05_joint_grw_smile_spine_w020 − m05_joint_grw_baseline,OU1.5,brier,430,215,0.004065222708939631,-0.0014872191083140618,0.009280830126941132,0.010768049235255194,0.0738,false
