model,fold,n_parameters,tape_instructions,gradient_ms,allocated_bytes,compiled_fresh_error,compiled_forward_error,worst_perturbed_error,log_density
m01_poisson_time_decay,1,50,151,0.033352,35248,0.0,3.3324697038730043e-16,0.0,-1004.6674900738283
m01_poisson_time_decay,20,54,151,0.046096,51776,0.0,3.7507161635782427e-16,0.0,-1433.1680010108826
m01_poisson_time_decay,40,50,151,0.046947,51760,0.0,6.07782860326999e-16,0.0,-1004.9868898395086
m02_joint_gamma_poisson,1,52,191,0.059531,128656,0.0,6.224827001353777e-16,0.0,-1477.567162513512
m02_joint_gamma_poisson,20,56,191,0.083094,189216,0.0,3.234061892135543e-16,0.0,-2637.325160607479
m02_joint_gamma_poisson,40,52,191,0.085137,189200,0.0,2.346943760929961e-16,0.0,-1603.8557926354056
m03_negbin_pxg_covariate,1,52,180,0.165687,0,0.0,2.2156762904622738e-13,0.0,-946.7333927680143
m03_negbin_pxg_covariate,20,56,180,0.239144,0,0.0,1.4671483719274855e-13,0.0,-1308.4727025085122
m03_negbin_pxg_covariate,40,52,180,0.241749,0,0.0,9.933128410844635e-13,0.0,-962.9884021392579
