fold,match_id,home_team,away_team,away_mapped,model
1,12477132,inverness-caledonian-thistle,dumbarton,true,m05_joint_td_turf_asym
1,12476799,arbroath,montrose,true,m05_joint_td_turf_asym
1,12477132,inverness-caledonian-thistle,dumbarton,true,m05_joint_td_turf_dual
1,12476799,arbroath,montrose,true,m05_joint_td_turf_dual
1,12477132,inverness-caledonian-thistle,dumbarton,true,m05_joint_td_contextual
1,12476799,arbroath,montrose,true,m05_joint_td_contextual
