model,folds,oos,max_rhat,max_site_rhat,min_ess_bulk,min_ess_tail,min_site_ess,n_divergent,min_bfmi,treedepth_rate,wall_min,gate_pass,gate_failures,run_id
m05_joint_td_turf_asym,2,39,1.0046870568079895,1.0046870568079895,1225.1612149414673,1510.4410465592152,1696.250841727552,0,0.7654403072685885,0.0,0.6280262152353923,true,,6c52b6fc-915f-42b0-a361-ede88be2d6fd
m05_joint_td_turf_dual,2,39,1.0040517784558112,1.0036810582699371,1233.712931873066,1514.0892160050807,1524.068609534912,0,0.7425536257939198,0.0,0.462911331653595,true,,31503bc7-ff44-45be-b86c-d6f1c639ebb3
m05_joint_td_contextual,2,39,1.0044721322031984,1.0044721322031984,1426.9866781363753,1059.2012148964209,1426.9866781363753,0,0.7870531390954726,0.0,0.572676134109497,true,,617dd6ab-0e0f-409b-b6fc-443a288c5210
