left,right,scope,cut,n_obs,n_fixtures,delta,lo,hi,p_negative,significant
m12_joint_hybrid_contextual,m12_hybrid_td_raw,all,grass visitor at turf,678,149,0.000626403043781099,-0.002072796401133501,0.0033806552438980842,0.3285,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,all,midweek,227,43,-0.002118474822701912,-0.007448678890828436,0.0030061997183032747,0.7769,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,all,not midweek,2672,584,0.0002269655988902106,-0.0007480986294590466,0.0011838420231063476,0.3221,false
m05_joint_td_turf_asym,betfair_close,all,all fixtures,2899,627,0.001078947112987092,-0.005159124547947459,0.007191336527015994,0.3681,false
m05_joint_td_turf_dual,betfair_close,all,all fixtures,2899,627,0.0011812235175537827,-0.0050864733994551185,0.007303257400415271,0.3585,false
m05_joint_td_contextual,betfair_close,all,all fixtures,2899,627,0.0011764446241127973,-0.005094519634382631,0.007338851390071267,0.3576,false
m05_joint_production_wealth_hier_ha,betfair_close,all,all fixtures,2899,627,0.00090338766455518,-0.005287262968222417,0.006971082861107399,0.3905,false
m12_joint_hybrid_contextual,betfair_close,all,all fixtures,2899,627,0.001597555538565057,-0.005138303410559028,0.00821949464476022,0.3221,false
m05_joint_td_raw,betfair_close,all,all fixtures,2899,627,0.0011708272445576143,-0.005059038158240759,0.007333296473484957,0.3595,false
m12_hybrid_td_raw,betfair_close,all,all fixtures,2899,627,0.0015542446398133115,-0.005175710342610841,0.008162830381707887,0.3275,false
m05_joint_td_turf_asym,m05_joint_td_raw,1X2,all fixtures,1785,595,-0.00022559482490817223,-0.0009921337318317966,0.0005310803940024931,0.7165,false
m05_joint_td_turf_asym,m05_joint_td_raw,1X2,excluding T003,1779,593,-0.0001585779834094936,-0.0009183233268675478,0.0006026326592296079,0.6656,false
m05_joint_td_turf_asym,m05_joint_td_raw,1X2,turf home,1140,380,-0.0002781005482318318,-0.0012910782557882987,0.0007254770528677664,0.7083,false
m05_joint_td_turf_asym,m05_joint_td_raw,1X2,grass home,645,215,-0.00013279401159193657,-0.0012629473184059422,0.0009764465540021672,0.5953,false
m05_joint_td_turf_asym,m05_joint_td_raw,1X2,grass visitor at turf,432,144,-0.0005165366478553451,-0.0029644983770213728,0.0018504721907975764,0.6639,false
m05_joint_td_turf_asym,m05_joint_td_raw,1X2,midweek,123,41,-0.0023520736064956017,-0.005508450862446307,0.0006901256622686552,0.936,false
m05_joint_td_turf_asym,m05_joint_td_raw,1X2,not midweek,1662,554,-6.822004143329032e-5,-0.0008548653414349863,0.0006968637062811755,0.5643,false
m05_joint_td_turf_dual,m05_joint_td_raw,1X2,all fixtures,1785,595,7.390579270848527e-5,-0.000802898911000183,0.0009585904969610192,0.4338,false
m05_joint_td_turf_dual,m05_joint_td_raw,1X2,excluding T003,1779,593,0.00013733243223266057,-0.0007356928180230265,0.001005992948273406,0.3809,false
m05_joint_td_turf_dual,m05_joint_td_raw,1X2,turf home,1140,380,0.0001453109915654435,-0.0009270029028446284,0.0012119572920217627,0.392,false
m05_joint_td_turf_dual,m05_joint_td_raw,1X2,grass home,645,215,-5.22987448061384e-5,-0.0015692624789555392,0.0014317939501881686,0.5343,false
m05_joint_td_turf_dual,m05_joint_td_raw,1X2,grass visitor at turf,432,144,-0.00035719921979397446,-0.00222020620868466,0.0014691367826871317,0.6479,false
m05_joint_td_turf_dual,m05_joint_td_raw,1X2,midweek,123,41,-0.004111520845121384,-0.008109407151994,-2.1371275660175065e-5,0.9759,true
m05_joint_td_turf_dual,m05_joint_td_raw,1X2,not midweek,1662,554,0.00038365758359481145,-0.00048082383627544236,0.0012532073518692803,0.2025,false
m05_joint_td_contextual,m05_joint_td_raw,1X2,all fixtures,1785,595,-0.00010154489017712223,-0.0011153848603959904,0.0009161292141464781,0.58,false
m05_joint_td_contextual,m05_joint_td_raw,1X2,excluding T003,1779,593,-3.835164009596072e-5,-0.001057668905785565,0.0009675193787961696,0.5381,false
m05_joint_td_contextual,m05_joint_td_raw,1X2,turf home,1140,380,2.1319380356150233e-6,-0.0012720553425554781,0.0012559683653431024,0.5015,false
m05_joint_td_contextual,m05_joint_td_raw,1X2,grass home,645,215,-0.00028478765632056484,-0.0019613024234155503,0.0014287267338019567,0.6404,false
m05_joint_td_contextual,m05_joint_td_raw,1X2,grass visitor at turf,432,144,-0.0008566086695816595,-0.0030132225792751564,0.001296881502602941,0.7842,false
m05_joint_td_contextual,m05_joint_td_raw,1X2,midweek,123,41,-0.001475205783876264,-0.008032494218148665,0.005443051335499195,0.6764,false
m05_joint_td_contextual,m05_joint_td_raw,1X2,not midweek,1662,554,1.1593408581059554e-7,-0.0009566962360481084,0.0009530226206072161,0.4976,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,1X2,all fixtures,1785,595,-5.7841978617152575e-5,-0.0006275461757267375,0.0005161560241324922,0.5752,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,1X2,excluding T003,1779,593,5.934560651304662e-6,-0.0005627604316374405,0.0005631272518901712,0.4949,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,1X2,turf home,1140,380,4.897245234238769e-5,-0.0005844407702094215,0.0006913294348694439,0.4414,false
