model,scope,n_obs,logloss,market_logloss,brier,market_brier,ece,market_ece,mce,market_mce,rps,market_rps,role
m05_joint_td_turf_asym,all,2899,0.642894502463849,0.6418155553508617,0.22582669207044742,0.2252928320612554,0.011768397128333028,0.01390748520485936,0.05341780524965112,0.32902138777066514,0.2240335834768431,0.2111040320023605,candidate
m05_joint_td_turf_asym,1X2,1785,0.6158806599619835,0.6131180107974481,0.21290157996199488,0.21156444032291422,0.01704518174387769,0.018580646181840455,0.39812263557175465,0.32902138777066514,0.2240335834768431,0.2111040320023605,candidate
m05_joint_td_turf_asym,OU2.5,758,0.6867835716328579,0.6898782309589602,0.246840630720894,0.24829171351414944,0.014225720143168365,0.01829866107755568,0.16815658511236142,0.7079376625841927,0.2240335834768431,0.2111040320023605,candidate
m05_joint_td_turf_asym,BTTS,356,0.6848939250361021,0.6833706365781275,0.24589062357760358,0.2451580767568855,0.014346226260116333,0.03004396402078209,0.11234361641648627,0.07307236039881282,0.2240335834768431,0.2111040320023605,candidate
m05_joint_td_turf_dual,all,2899,0.6429967788684163,0.6418155553508617,0.22587047826355047,0.2252928320612554,0.011980734393583051,0.01390748520485936,0.06469148330099239,0.32902138777066514,0.2242068359750909,0.2111040320023605,candidate
m05_joint_td_turf_dual,1X2,1785,0.6161801605795992,0.6131180107974481,0.21303855295028964,0.21156444032291422,0.016870975130844828,0.018580646181840455,0.06469148330099239,0.32902138777066514,0.2242068359750909,0.2111040320023605,candidate
m05_joint_td_turf_dual,OU2.5,758,0.6867409226792403,0.6898782309589602,0.24681588224033693,0.24829171351414944,0.019574385435478663,0.01829866107755568,0.13726554059312546,0.7079376625841927,0.2242068359750909,0.2111040320023605,candidate
m05_joint_td_turf_dual,BTTS,356,0.6843158873991229,0.6833706365781275,0.24561309194267059,0.2451580767568855,0.0072084873813323845,0.03004396402078209,0.04149871224476109,0.07307236039881282,0.2242068359750909,0.2111040320023605,candidate
m05_joint_td_contextual,all,2899,0.642991999974974,0.6418155553508617,0.22586926596945534,0.2252928320612554,0.011409289740787506,0.01390748520485936,0.03762858696301241,0.32902138777066514,0.22409666374573983,0.2111040320023605,candidate
m05_joint_td_contextual,1X2,1785,0.6160047098967145,0.6131180107974481,0.21295776448196566,0.21156444032291422,0.016716741171059268,0.018580646181840455,0.04022477296699717,0.32902138777066514,0.22409666374573983,0.2111040320023605,candidate
