model,converged,slope,intercept,r2,n_inverted,n_inversion_refused,n_favourites,favourite_model,favourite_market,favourite_realized
m01_poisson_time_decay,true,0.24933110773637865,0.10337571314115418,0.6147887959979422,44,6,3,0.5184153171107245,0.7497070341964672,0.6666666666666666
m02_poisson_grw_1st_order,true,0.35841270839391,0.07682227948821445,0.4508943853894441,44,6,3,0.5105006919162214,0.7497070341964672,0.6666666666666666
m03_poisson_momentum_grw,true,0.38831595897377585,0.07183365242144307,0.46163662529882027,44,6,3,0.5209090857019103,0.7497070341964672,0.6666666666666666
