model,fold,rhat,rhat_parameter,ess_bulk,bulk_parameter,ess_tail,tail_parameter,divergences,bfmi,treedepth_rate
m01_poisson_time_decay,1,1.0074365375559107,dyn.σ_a,552.800843713249,dyn.σ_a,578.4432048267684,dyn.σ_a,0,0.6818603048621754,0.0
m01_poisson_time_decay,20,1.0117722116733807,dyn.raw_d[7],710.6179723684618,dyn.σ_a,626.1985425932916,dyn.σ_a,0,0.7075504554481585,0.0
m01_poisson_time_decay,40,1.0102841222708012,dyn.raw_a[6],732.1567086662035,dyn.σ_d,715.1111176991949,dyn.σ_d,0,0.7075170858031404,0.0
m02_poisson_grw_1st_order,1,1.0116504363386596,dyn.α.σₛ,451.04890094177756,dyn.α.σₛ,608.7586424467355,dyn.β.σₛ,0,0.6679979217902122,0.0
m02_poisson_grw_1st_order,20,1.0169754794427246,"dyn.α.z_target[22, 8]",399.0278062654655,dyn.α.σₛ,533.7852561427085,dyn.β.σₛ,0,0.8310856639659672,0.0
m02_poisson_grw_1st_order,40,1.0251556650400722,"dyn.α.z_target[6, 14]",659.1303407478198,dyn.α.σ₀,637.8589128678016,"dyn.α.z_target[18, 19]",0,0.7935411492685172,0.0
m03_poisson_momentum_grw,1,1.0127731178882449,"dyn.α.z_season[9, 1]",585.1404238736253,dyn.β.σₛ,827.9330930408756,dyn.α.σₛ,0,0.7493123120751305,0.0
m03_poisson_momentum_grw,20,1.0208749460489237,"dyn.α.z_velocity[20, 16]",450.3922412928342,dyn.β.σₛ,359.90224427241014,dyn.β.σₛ,0,0.9783685652432224,0.0
m03_poisson_momentum_grw,40,1.0196805281527985,"dyn.α.z_target[18, 10]",600.126086574581,dyn.β.σₛ,639.4993733098366,"dyn.β.z_target[4, 18]",0,0.9229521936365451,0.0
