model,folds,oos,draws,max_rhat,worst_rhat_fold,min_ess_bulk,min_ess_tail,n_divergent,n_transitions,divergence_rate,treedepth_rate,min_bfmi,passed,strict_rhat_pass,failures,wall_min,run_id,worst_partition,worst_tail,grid_goals,zero_sum_error,stage_b_pass,stage_b_worst_rhat,stage_b_worst_frac,stage_b_min_ess,stage_b_divergences,full_path,gate_pass,source,recipe_hash,stage_b_worst_div_frac,stage_b_runs
m01_poisson_time_decay,40,710,3200,1.0089579156561086,33,920.0693912486479,803.9232127064329,0,128000,0.0,0.0,0.6320911831096915,true,true,,1.7383613348007203,de7fa956-87e8-418f-afb4-61ce01cb9f7d,1.887379141862766e-15,0.0012051039716832745,12,0.0,true,NaN,0.0,NaN,0,/root/BF_decoupled_xg_funnel/experiments/scottish_lower/12_decoupled_generative_xg/results/production/fe693ba72b71c16f43d05ee430a7565c8dcea3d569ee95bc059ca657183892bf/full_fits/m01_poisson_time_decay_20260922_232709,true,fe693ba72b71c16f43d05ee430a7565c8dcea3d569ee95bc059ca657183892bf,561cea954d5fec4bb01886843e6630549335a02aefc3de9c64ca6db88119f9d6,,
m02_joint_gamma_poisson,40,710,3200,1.0088468350474347,39,706.7780852354086,871.8679705408686,0,128000,0.0,0.0,0.572766491364007,true,true,,2.5189324657122296,97c7a3d9-a05a-4029-90cb-e34279b8c791,1.7763568394002505e-15,0.00021558837194612934,12,0.0,true,NaN,0.0,NaN,0,/root/BF_decoupled_xg_funnel/experiments/scottish_lower/12_decoupled_generative_xg/results/production/fe693ba72b71c16f43d05ee430a7565c8dcea3d569ee95bc059ca657183892bf/full_fits/m02_joint_gamma_poisson_20260922_232959,true,fe693ba72b71c16f43d05ee430a7565c8dcea3d569ee95bc059ca657183892bf,d37d67713f5262fc57792b265fbf3010ea1fc8bfd96d588b932fc504237a17a6,,
m03_funnel_shared_kappa,40,710,1200,1.010575453859655,8,511.4721695167921,265.3232859605664,0,48000,0.0,0.0,1.136794186946369,true,false,,2.5452248811721803,27d5a9f5-303a-4661-ad3d-464ba776d380,1.887379141862766e-15,0.0004762381863185894,12,0.0,true,NaN,0.0,NaN,0,/root/BF_decoupled_xg_funnel/experiments/scottish_lower/12_decoupled_generative_xg/results/production/fe693ba72b71c16f43d05ee430a7565c8dcea3d569ee95bc059ca657183892bf/full_fits/m03_funnel_shared_kappa_20260922_233241,true,fe693ba72b71c16f43d05ee430a7565c8dcea3d569ee95bc059ca657183892bf,59fbb3274ec0c5313d21fd7ef357e8fa8130e28dfc7733f5ab8607762d888637,,
m04_funnel_hierarchical_kappa,40,710,1200,1.0254763531193027,7,498.1452443165184,281.2787453385367,0,48000,0.0,0.0,1.1447786561148665,true,false,,450.451248617967,b9d1627c-d7a6-4bc5-ab49-84acad0aafdd,1.7763568394002505e-15,0.00024038242815982436,12,8.604228440844963e-16,true,1.0290219419302278,0.0,170.61402481503228,3,/root/BF_decoupled_xg_funnel/experiments/scottish_lower/12_decoupled_generative_xg/results/production/fe693ba72b71c16f43d05ee430a7565c8dcea3d569ee95bc059ca657183892bf/full_fits/m04_funnel_hierarchical_kappa_20260923_070315,true,fe693ba72b71c16f43d05ee430a7565c8dcea3d569ee95bc059ca657183892bf,32e35ab79d9a9bc255e0e7ddb1911e87b15471a382477172805c9384108f41a0,0.0016666666666666668,48000
