fixture,p_under_ref,p_under_typed,p_under_legacy,p_under_grid,smile_shift
12477128,0.5040237085454594,0.5040237085454596,0.5040237085454596,0.5040237085454596,-2.220446049250313e-16
12477134,0.470537810083152,0.4705378100831519,0.4705378100831519,0.4705378100831519,1.1102230246251565e-16
12477131,0.41983312261270667,0.419833122612706,0.419833122612706,0.419833122612706,6.661338147750939e-16
12477135,0.46871144798803893,0.4687114479880386,0.4687114479880386,0.4687114479880385,4.440892098500626e-16
12477132,0.48998947878148214,0.48998947878148147,0.48998947878148147,0.4899894787814814,7.216449660063518e-16
12476800,0.4516391494635441,0.451639149463544,0.451639149463544,0.451639149463544,1.1102230246251565e-16
12476794,0.4542647407151521,0.4542647407151522,0.4542647407151522,0.4542647407151522,-1.1102230246251565e-16
12476797,0.4926267011427515,0.49262670114275164,0.49262670114275164,0.49262670114275164,-1.6653345369377348e-16
12476799,0.4848024635094323,0.48480246350943285,0.48480246350943285,0.4848024635094328,-4.996003610813204e-16
12476798,0.475527351085614,0.4755273510856148,0.4755273510856148,0.4755273510856148,-7.771561172376096e-16
12477129,0.44389562790904336,0.4438956279090441,0.4438956279090441,0.4438956279090441,-7.216449660063518e-16
12477126,0.5318059689822987,0.5318059689822985,0.5318059689822985,0.5318059689822985,2.220446049250313e-16
