fold,β_median,β_q05,β_q95,β_sd,φ_at_median,rhat,ess_bulk,ess_tail
1,0.05281237069171396,0.050781896150111666,0.05488536907622506,0.0012287640443121237,0.9/0.949/1.0/1.054/1.111,1.0037028043236893,3848.0932208228514,2483.9378289412557
2,0.05283981848296289,0.05080012401306942,0.05490497092568515,0.0012435210252181817,0.9/0.949/1.0/1.054/1.111,1.0007637699638434,4149.031488183754,2540.7341474983273
3,0.05294299289561269,0.05090822166632143,0.054982163335917815,0.0012211042954968717,0.9/0.948/1.0/1.054/1.112,1.0011334269027399,3257.901951448993,2191.8990976455184
4,0.05294021806559618,0.05103458571293616,0.05491978806372631,0.0011817335937660649,0.9/0.948/1.0/1.054/1.112,1.0026636120455203,4210.77660842794,2175.2641438742535
5,0.052929572363754146,0.05101773448632868,0.05482224680741723,0.001148740430662025,0.9/0.948/1.0/1.054/1.112,1.002734195390101,3509.0031751010883,2583.7748253978525
6,0.05287432180678629,0.050999764783140666,0.054723681307977404,0.0011247927226409448,0.9/0.948/1.0/1.054/1.112,1.000444569208078,3890.705187232939,2558.486839841253
7,0.05277347172489221,0.050918594636497734,0.05463774106102635,0.0011545903134818432,0.9/0.949/1.0/1.054/1.111,1.0011775105961596,3955.1575399534067,2495.7355950850138
8,0.05267239809228462,0.05084494659086113,0.054597327497041506,0.0011314840727156346,0.9/0.949/1.0/1.054/1.111,1.0007821108273056,3932.9570449486487,2289.6384141890026
9,0.05263360474744905,0.05085414679118198,0.054444185840194045,0.0011188544134638407,0.9/0.949/1.0/1.054/1.111,1.001127522738381,3923.5655692274427,2360.88011073013
10,0.05265049063955975,0.0509108183637123,0.05428541320114618,0.001030364285039647,0.9/0.949/1.0/1.054/1.111,1.0009869340612252,3863.4320463210506,2478.1362996212156
11,0.0526721707191655,0.05092050097909681,0.05440055335388409,0.0010474581002127168,0.9/0.949/1.0/1.054/1.111,1.0013112797376766,3953.176824061127,2227.247353177849
12,0.05256865324254432,0.050898105647270764,0.05424024472074197,0.0010167236456572093,0.9/0.949/1.0/1.054/1.111,1.0016083294212,4166.049287792936,2384.949038392007
13,0.05243991645129584,0.05067454496816407,0.05424193448795301,0.001075405843085671,0.9/0.949/1.0/1.054/1.111,1.0007735510951647,3881.6272450247197,1913.7593949814789
14,0.05236114031200892,0.05059755586821938,0.054148139556795816,0.0010665190024896267,0.901/0.949/1.0/1.054/1.11,1.000449374732726,4104.804916714511,2363.0316741537085
15,0.05234301923231491,0.0506754691797187,0.05400630505921707,0.0010045486782575817,0.901/0.949/1.0/1.054/1.11,1.0025244825365747,4002.5098672254326,2374.240701672547
16,0.0523771377835644,0.05075366832514068,0.054002676341580395,0.001004881674973179,0.901/0.949/1.0/1.054/1.11,1.0027015922100033,4396.3693149825995,2713.131423934441
17,0.05239646996879285,0.05075504244644181,0.05397877426051794,0.0009876957422487584,0.901/0.949/1.0/1.054/1.11,1.0044831652744528,3828.195196858443,2324.1582161906795
18,0.05235914198781539,0.050702677561702006,0.05402123298504653,0.0010131817503465546,0.901/0.949/1.0/1.054/1.11,1.0001671511679686,3785.5649317496627,2315.6611695309275
