fixture,p_under_ref,p_under_typed,p_under_legacy,p_under_grid,smile_shift
12477128,0.5034895622721652,0.5034895622721647,0.5034895622721647,0.5034895622721647,5.551115123125783e-16
12477134,0.4708774602021579,0.47087746020215776,0.47087746020215776,0.47087746020215765,2.7755575615628914e-16
12477131,0.4210968568018571,0.42109685680185754,0.42109685680185754,0.42109685680185754,-4.440892098500626e-16
12477135,0.4688566233285095,0.46885662332850975,0.46885662332850975,0.46885662332850975,-2.220446049250313e-16
12477132,0.4871096727317877,0.4871096727317874,0.4871096727317874,0.48710967273178746,2.220446049250313e-16
12476800,0.4505714633969646,0.45057146339696297,0.45057146339696297,0.45057146339696297,1.609823385706477e-15
12476794,0.45405616642818125,0.45405616642818086,0.45405616642818086,0.45405616642818086,3.885780586188048e-16
12476797,0.4939660771248669,0.49396607712486695,0.49396607712486695,0.4939660771248669,0.0
12476799,0.48416727689094735,0.48416727689094874,0.48416727689094874,0.4841672768909487,-1.3322676295501878e-15
12476798,0.47295073369506835,0.47295073369506774,0.47295073369506774,0.47295073369506774,6.106226635438361e-16
12477129,0.4392558065503089,0.4392558065503086,0.4392558065503086,0.43925580655030855,3.3306690738754696e-16
12477126,0.5323111003953034,0.5323111003953038,0.5323111003953038,0.5323111003953037,-3.3306690738754696e-16
