fixture,n_identity,max_draw_cdf_gap,max_mean_cdf_gap,max_mass_gap,min_cell,max_diag_spread,Δp_home,Δp_draw,Δp_away,Δp_under25
12477128,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,1.0855782776102525e-14,3.3853902750398217e-16,-0.0037474087305066073,0.007159995097593463,-0.0034125064430367558,0.0
12477134,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,2.8246296197404257e-14,3.428198598631331e-16,-0.002570680960906735,0.005244594413077397,-0.002673835232379018,1.1102230246251565e-16
12477131,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,1.1064076150079887e-13,3.4676967988729216e-16,-0.0009469756635400173,0.0027271581138670897,-0.0017799297242659384,0.0
12477135,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,2.7898791654640744e-14,3.4540370087785317e-16,-0.002504030793161971,0.005178012587580938,-0.0026738865119262933,0.0
12477132,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,2.2347965189777007e-14,3.403739149423565e-16,-0.003050066314095712,0.006109895937155496,-0.003059770597320932,-5.551115123125783e-17
12476800,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,6.058487280463377e-14,3.444365664983361e-16,-0.002064441209213952,0.004137945987835345,-0.002073409936657944,0.0
12476794,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,3.826221973560843e-14,3.430775461179825e-16,-0.002028186307552138,0.0044411746304156285,-0.0024128447337268266,0.0
12476797,0,3.3306690738754696e-16,5.551115123125783e-17,4.440892098500626e-16,1.4930300313067006e-14,3.3785261764330524e-16,-0.003255916589934349,0.006494469127609037,-0.0032384950021546177,0.0
12476799,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,2.3828747784960858e-14,3.4311872215733724e-16,-0.0029825958268652752,0.0059860906928942414,-0.0030034238914924405,5.551115123125783e-17
12476798,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,2.5576237626088708e-14,3.429088922130314e-16,-0.0026554581448516856,0.0054276861039578295,-0.002772126390700458,0.0
12477129,0,3.3306690738754696e-16,2.7755575615628914e-17,6.661338147750939e-16,2.975238752474571e-14,3.468622308039766e-16,-0.0024334467483470568,0.004064344846465534,-0.0016304587866753373,5.551115123125783e-17
12477126,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,4.439348073220593e-15,3.3632161497047916e-16,-0.00412056167569208,0.00858602599160746,-0.004465433199653257,1.1102230246251565e-16
12477130,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,2.6844652839702794e-15,3.353225290845288e-16,-0.004514812256865786,0.009390312565602299,-0.0048754776585333,0.0
12477123,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,4.605209843703588e-15,3.3572961790129976e-16,-0.0045307404972652066,0.008529030058802012,-0.003998248548803263,0.0
12477133,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,8.46935439328063e-15,3.389724989051974e-16,-0.003869299005552884,0.007765963954760591,-0.0038966323870614494,0.0
12476632,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,1.6112945334503356e-14,3.464839371796218e-16,-0.0017323787050768091,0.004217148105934959,-0.0024839663633382525,0.0
12476633,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,4.842380519035719e-15,3.3862843546328063e-16,-0.004492108602864198,0.007853473536163391,-0.0033611463147532605,0.0
12476630,0,3.3306690738754696e-16,5.551115123125783e-17,4.440892098500626e-16,2.9937929272340477e-15,3.359061551023862e-16,-0.004795198881983653,0.00882640131366158,-0.004031155324711155,0.0
12476635,0,4.440892098500626e-16,0.0,4.440892098500626e-16,3.5934890295316116e-15,3.3666448564340715e-16,-0.004876911246269211,0.008701724411807055,-0.0038247355201055933,0.0
12476636,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,7.613376896948018e-15,3.380726386893615e-16,-0.004068312449503453,0.007901189894505223,-0.0038328394368460916,1.1102230246251565e-16
12476793,0,3.3306690738754696e-16,1.3877787807814457e-17,4.440892098500626e-16,7.183814661103753e-16,3.42453810251207e-16,-0.003637003769313696,0.006998232178915598,-0.003361111199407407,5.551115123125783e-17
12476795,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,1.477303207656368e-14,3.470168002254184e-16,-0.0022626282860950253,0.00455737752776586,-0.0022946487025741757,5.551115123125783e-17
12476796,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,3.4572071626210284e-15,3.447672444252972e-16,-0.0024609020082282385,0.0051187259665296525,-0.0026576001834044405,0.0
12476792,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,1.4278681296090798e-14,3.45557623462353e-16,-0.0013472055992846954,0.0035075783119838666,-0.002160097117637483,0.0
12476790,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,6.175464979242188e-15,3.391427383516017e-16,-0.0033014902932256285,0.00655351659836273,-0.003251959944973515,1.1102230246251565e-16
12476788,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,1.4083025530060637e-15,3.442261637677075e-16,-0.0033121153502785328,0.006588993982231728,-0.003276790552299791,5.551115123125783e-17
12476786,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,1.0708278371079069e-14,3.4225282376587915e-16,-0.0027264145030591047,0.005571806145040242,-0.0028452573623416466,0.0
12476787,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,1.9847416141288835e-14,3.452776292679044e-16,-0.001912216573171921,0.0036529472244042904,-0.0017406090691425846,0.0
12476791,0,3.3306690738754696e-16,5.551115123125783e-17,4.440892098500626e-16,2.680998697697161e-15,3.4608317899851723e-16,-0.0027134629091020157,0.0055430886586859685,-0.002829459900987763,0.0
12476789,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,1.2999444811300395e-14,3.4227905609723456e-16,-0.0027836611342902384,0.005559259696903962,-0.0027755324694827,0.0
12476629,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,1.2454787509825962e-15,3.3440206547812563e-16,-0.005132453647608726,0.009599038010601135,-0.004466556119076537,0.0
12476634,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,7.056322182932158e-15,3.390430431532063e-16,-0.003403878577297015,0.0068448477605919655,-0.0034409183878539307,0.0
12476623,0,4.440892098500626e-16,0.0,5.551115123125783e-16,9.066688385776566e-16,3.3693163632042175e-16,-0.0044393641866179445,0.007987813981342795,-0.0035483298275488795,0.0
12476631,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,5.615881879201794e-15,3.4588140768075264e-16,-0.0025314312645226544,0.004556185084472031,-0.002024444382257684,5.551115123125783e-17
12476624,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,2.428244620274724e-15,3.3718020998223347e-16,-0.004307945610155017,0.008275306868324783,-0.003967323076593976,1.1102230246251565e-16
12476627,0,3.3306690738754696e-16,5.551115123125783e-17,5.551115123125783e-16,3.587996286366554e-15,3.461041647073691e-16,-0.0028087900158061396,0.005564269495335977,-0.0027548772408925726,0.0
12476625,0,3.3306690738754696e-16,1.1102230246251565e-16,6.661338147750939e-16,4.663499106749056e-15,3.3938527407071233e-16,-0.0036830635506309717,0.007123208819111548,-0.0034400774588618788,1.1102230246251565e-16
12476621,0,4.440892098500626e-16,1.1102230246251565e-16,5.551115123125783e-16,1.7938445128599497e-15,3.365278955991459e-16,-0.004618246234767642,0.008509996038984002,-0.0038916912403648696,1.1102230246251565e-16
12476622,0,3.3306690738754696e-16,1.1102230246251565e-16,6.661338147750939e-16,3.2394661995166393e-15,3.38552357034642e-16,-0.0041963090922472746,0.007889104049374152,-0.0036927244852052454,2.220446049250313e-16
12476782,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,4.906341717927112e-15,3.450519867977139e-16,-0.0027585372597012103,0.005497128191934375,-0.0027384978562227102,5.551115123125783e-17
12476785,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,5.384064499656137e-16,3.385698527325679e-16,-0.003953232352769787,0.007647484524327175,-0.003694191652430623,0.0
12476784,0,3.3306690738754696e-16,5.551115123125783e-17,5.551115123125783e-16,7.077035269411675e-15,3.434536534289859e-16,-0.0023686768961367344,0.004994029104569503,-0.0026252118344798903,1.1102230246251565e-16
12476781,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,8.686508306513225e-15,3.4371513828508673e-16,-0.002264864547712131,0.004850338425911066,-0.002585323776228776,5.551115123125783e-17
12476779,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,1.287051624616451e-14,3.4464111963292543e-16,-0.002241252128129423,0.0048508763460131665,-0.002609414085434636,0.0
12476619,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,3.276589762031969e-15,3.418205121847825e-16,-0.0037661617286273152,0.0072421858653055615,-0.0034759525336367503,1.1102230246251565e-16
12476620,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,1.115353514969108e-14,3.475930622504562e-16,-0.0025104605768130894,0.004315868378268695,-0.0018047589919630846,0.0
12476618,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,2.0127777086741725e-15,3.3878064476598844e-16,-0.004341278847406316,0.008479963333816898,-0.004138652306643786,0.0
12476626,0,4.440892098500626e-16,0.0,4.440892098500626e-16,2.145547536439172e-15,3.359179452326944e-16,-0.004464759335515545,0.008356811481447124,-0.0038920000914671182,1.1102230246251565e-16
12476617,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,1.1126278735523597e-15,3.3837701332058537e-16,-0.004876175531751237,0.008856101697563068,-0.003979867111341628,0.0
12476780,0,3.3306690738754696e-16,2.220446049250313e-16,4.440892098500626e-16,2.7309231142750814e-15,3.412846224425542e-16,-0.0034210760468363355,0.0068583596974884364,-0.0034372193229587067,0.0
12476778,0,3.3306690738754696e-16,2.7755575615628914e-17,4.440892098500626e-16,1.6150358007706475e-14,3.4295902439046674e-16,-0.0020027711832174,0.004272165314193721,-0.002269275099022139,0.0
12476776,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,2.1697691756486936e-15,3.3985145494649386e-16,-0.0034769085401230027,0.006984541390359644,-0.003507586434362775,0.0
12476777,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,4.459363987191376e-15,3.445406952624082e-16,-0.0027989516098448353,0.005690837883042921,-0.0028917177278738326,0.0
12476783,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,2.7093645171452662e-14,3.446679215135863e-16,-0.0018572912504649097,0.0035223318864101016,-0.0016649045619862024,0.0
12476772,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,3.110858057692148e-15,3.4466382823426686e-16,-0.0030727742219127663,0.0060637975532137345,-0.0029908192201480444,0.0
12476774,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,3.394084658976577e-15,3.3922151411902587e-16,-0.0033897397334156643,0.006677604752095501,-0.003287799118377177,0.0
12476771,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,3.89404842560219e-15,3.4340930068566185e-16,-0.00281180386750729,0.0057065202864038655,-0.0028945609647010317,0.0
12476773,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,9.210067271143457e-15,3.458485238618512e-16,-0.0015498164021556238,0.003676375905015822,-0.0021263138118904346,0.0
12476775,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,1.148315290509195e-14,3.4332450971300383e-16,-0.002255063331847995,0.004829592845059183,-0.0025743827340865555,0.0
12476611,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,1.6661491491509638e-15,3.3576093200953745e-16,-0.004242784521048204,0.008424214869389435,-0.004181401385514982,0.0
12476616,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,5.806390593019376e-15,3.471957117855502e-16,-0.0013341285714369988,0.0037262929661701083,-0.00239122251184698,0.0
12476614,0,3.3306690738754696e-16,1.3877787807814457e-17,4.440892098500626e-16,1.7125217275226164e-15,3.389946537250666e-16,-0.003941072269624646,0.007532015786518409,-0.003590877483543975,0.0
12476612,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,7.754153620588831e-16,3.3371604025679967e-16,-0.005605873363502434,0.009779969886042406,-0.004174036032809358,0.0
12476615,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,1.7176484701640731e-15,3.364015441524662e-16,-0.00401789134163183,0.008135061133102917,-0.004117138157943012,0.0
12811090,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,1.3135920503099197e-15,3.3711877899818507e-16,-0.003989023081805598,0.00855430530923662,-0.004565236819540963,0.0
12476607,0,4.440892098500626e-16,0.0,4.440892098500626e-16,1.3598039422514526e-15,3.3685598771122086e-16,-0.004017202450775026,0.008076080001638286,-0.00405884566744058,0.0
12476613,0,4.440892098500626e-16,1.1102230246251565e-16,6.661338147750939e-16,2.3275709065818234e-15,3.4219070051703937e-16,-0.003702271674123736,0.0070973226384150045,-0.003394963630152681,1.1102230246251565e-16
12476606,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,2.6344488150037466e-15,3.3873254155817627e-16,-0.004058160615973805,0.00772206033577455,-0.003663835899831658,0.0
12476603,0,3.3306690738754696e-16,5.551115123125783e-17,5.551115123125783e-16,8.147280115144132e-16,3.3553645643095875e-16,-0.005162301165452909,0.009591313824105219,-0.004428981520479269,1.1102230246251565e-16
12476770,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,7.926305380674427e-16,3.356747457420156e-16,-0.004728411734274407,0.00863719272275576,-0.003908707789616217,1.1102230246251565e-16
12476767,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,9.53487535629971e-15,3.410712111063847e-16,-0.002722988609596244,0.005552502703821793,-0.0028294219405469168,0.0
12476766,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,4.594628190573752e-15,3.402939317652098e-16,-0.002977991957331616,0.0059493241034691,-0.002971273109032002,5.551115123125783e-17
12476769,0,4.440892098500626e-16,1.1102230246251565e-16,5.551115123125783e-16,4.410063570513758e-14,3.454867593017302e-16,-0.00119637605066103,0.003085451257566374,-0.0018888611505550879,0.0
12476768,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,8.094949118031067e-15,3.4327655225857357e-16,-0.0025330406040821596,0.005205675728974457,-0.0026725268948504244,0.0
12476761,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,9.713753548325776e-16,3.3721105021624065e-16,-0.004211709953145459,0.00850626754052608,-0.004294516982042418,0.0
12476765,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,1.1875793447508227e-14,3.4217131508722943e-16,-0.002087834686410772,0.004599748742555393,-0.0025117290271587933,0.0
12476764,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,6.7814139705410315e-15,3.402619438357377e-16,-0.002589566274708577,0.005365610746395327,-0.0027759138717805,0.0
12476762,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,3.2076599309369974e-14,3.4274546857542994e-16,-0.0017097676836866915,0.0038170118844312872,-0.002107100841106657,0.0
12476759,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,7.742764867196099e-15,3.419735001033279e-16,-0.003053078954420918,0.006113879585244286,-0.003060724830116157,0.0
12476604,0,4.440892098500626e-16,0.0,5.551115123125783e-16,3.3154801227654714e-15,3.38832577544607e-16,-0.0037684464014006713,0.007054668621115229,-0.0032860755337379977,0.0
12476609,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,1.2189697168313538e-15,3.3673779127157597e-16,-0.004032260213593042,0.008139152336828548,-0.0041068602982636815,0.0
12476610,0,3.3306690738754696e-16,2.220446049250313e-16,5.551115123125783e-16,8.413116356805552e-15,3.4508167948025773e-16,-0.002112364437422354,0.004713241036322535,-0.0026005122848931916,0.0
12476601,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,1.6486647849454917e-15,3.368491574673015e-16,-0.004785208589087042,0.008785481653604599,-0.004000220217367012,0.0
12476605,0,4.440892098500626e-16,1.1102230246251565e-16,5.551115123125783e-16,7.028062724033712e-16,3.3452438526097073e-16,-0.005057829626180066,0.009505491949420963,-0.004447634252502886,1.1102230246251565e-16
12476600,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,3.050781453217408e-15,3.3701670224998834e-16,-0.004261568710496377,0.008148120244836854,-0.0038865088239092294,0.0
12476598,0,4.440892098500626e-16,1.1102230246251565e-16,5.551115123125783e-16,1.451504368962722e-15,3.352920223583521e-16,-0.004932794362412729,0.009107519676469333,-0.004174682843423927,0.0
12476599,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,1.9329804130709523e-15,3.374544342837262e-16,-0.004388409907655766,0.007621294947702473,-0.0032326051301272973,0.0
