fold,β_median,β_q05,β_q95,β_sd,φ_at_median,rhat,ess_bulk,ess_tail
1,0.05281193728764548,0.049869121606122516,0.05575762941803902,0.0017896132266025078,0.9/0.949/1.0/1.054/1.111,1.002333979088509,3607.537292329754,2581.1714673022466
2,0.05276357315389441,0.04990755213454016,0.05570759209245797,0.0017744398142124466,0.9/0.949/1.0/1.054/1.111,1.0049480324072668,3563.464561527892,1962.699934119321
3,0.052959515917632594,0.050117838175821584,0.05574298028218361,0.001731221027681989,0.899/0.948/1.0/1.054/1.112,1.000297061839818,4547.82772546637,2345.6271734409706
4,0.05295817370172097,0.05012616670446246,0.05575322479772244,0.0017013971353591019,0.899/0.948/1.0/1.054/1.112,1.0006398906134317,3652.3731706697686,2340.1407391191283
5,0.05292364197672935,0.050207310658768316,0.055531395094374894,0.0016208232788220704,0.9/0.948/1.0/1.054/1.112,1.0012686956364838,4050.0544856179436,2161.549787569129
6,0.052842276744287375,0.05015492271458551,0.055565743490736556,0.0016575104937008342,0.9/0.949/1.0/1.054/1.111,1.001768124258279,4405.269779399756,2352.1260167879745
7,0.052765336030105414,0.050135337481127445,0.0555098322551057,0.0016341571999472983,0.9/0.949/1.0/1.054/1.111,1.0017016582646063,4020.315091458807,2374.8522989695
8,0.05265648944035452,0.05008831270764465,0.055381613267193756,0.0016084739338374835,0.9/0.949/1.0/1.054/1.111,1.000255269328521,4505.166414849832,1983.6042211798738
9,0.05263433227125559,0.0499748351386891,0.05544068099902806,0.0016684251333779162,0.9/0.949/1.0/1.054/1.111,1.0001583407028702,3655.5424130842025,2039.712968441564
10,0.05266286213312814,0.05002276682752069,0.05522645081962827,0.0015724018171221583,0.9/0.949/1.0/1.054/1.111,1.000871373850133,4114.2058932515065,2375.8948158555663
11,0.05268339930239922,0.05006612824717575,0.05527314126792499,0.0015839964442020125,0.9/0.949/1.0/1.054/1.111,1.0021816850575163,3972.3771755990692,2552.5703572698535
12,0.052622984421086996,0.050199196027705166,0.05517254843981573,0.0015154498116151042,0.9/0.949/1.0/1.054/1.111,1.0038504341890198,3941.712214794034,2442.5339736531737
13,0.05240915543761686,0.049847976937342595,0.054994253359766085,0.0015559586268347736,0.9/0.949/1.0/1.054/1.111,1.0014124364548807,4132.312687250995,1970.963452177277
14,0.052376094237902564,0.04997245316181445,0.05477009075957161,0.0014689532022473502,0.901/0.949/1.0/1.054/1.11,1.0012273172333581,3828.383050561518,2042.0731402192773
15,0.052384290196314284,0.049855291487303874,0.054808850819020066,0.0014978184909869448,0.901/0.949/1.0/1.054/1.11,1.0000172619835852,4178.333935229482,2398.7150519040374
16,0.05238234812846787,0.0500215430690314,0.05476037095246656,0.0014459912622332928,0.901/0.949/1.0/1.054/1.11,1.0046430258170664,3805.8223735691563,2078.7184422802243
17,0.05239972915723183,0.05001519104031464,0.0547437836814766,0.0014361592387924713,0.901/0.949/1.0/1.054/1.11,1.0011268386618097,3834.6607198982006,2340.691938953641
18,0.052400767325748915,0.05006569634272576,0.054625029253392965,0.001383755884925185,0.901/0.949/1.0/1.054/1.11,1.0001976672920412,3863.0721857658714,2670.3096403094814
19,0.05229007695487152,0.050112978845286565,0.05446946381067559,0.0013308466137330575,0.901/0.949/1.0/1.054/1.11,0.9996713039073213,3919.8632171174145,2375.953419691209
20,0.05224762397840758,0.05001358711821016,0.05447543089158261,0.0013682124295558524,0.901/0.949/1.0/1.054/1.11,1.0032369576803335,4012.1786551336554,2361.1514083020593
21,0.052430532257882516,0.049556223157037116,0.055187032429838,0.0017133413099730437,0.9/0.949/1.0/1.054/1.111,1.0020611019911687,4091.008083916587,2291.037778960797
22,0.05247889323984943,0.04975131981738028,0.055207506244363186,0.001655003957969274,0.9/0.949/1.0/1.054/1.111,1.0014586484003907,4023.7866126140434,2580.0117274005192
23,0.052510082063702744,0.049854742032355355,0.05526169261459773,0.0016506928292781319,0.9/0.949/1.0/1.054/1.111,1.0036931214643046,4518.4743895019365,2288.049230550422
24,0.05244873699741377,0.04982387690033878,0.0551094903006396,0.0016378524321620275,0.9/0.949/1.0/1.054/1.111,1.0023396677915568,3763.4994959494784,2348.9220635984793
