rung,source,run_id,folds,max_rhat,min_ess_bulk,min_ess_tail,n_divergent,n_transitions,min_bfmi,wall_min,julia_version,n_threads,git_commit,latents
m05_joint_grw_baseline,Task 013 m05_wealth_grw,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,43,1.0115147872047694,609.0683156276643,616.4585923207152,0,86000,0.6888717449473313,42.37500573396683,1.12.4,16,037d651c-dirty,CountLatents
m05_joint_grw_supremacy_w040,Task 015,0ee58d18-b7e9-4168-8d78-93887b1a8c26,43,1.0104559020069652,814.4042972315646,515.7223024162818,0,172000,0.6826620175746884,60.51275741656621,1.12.4,16,unknown,CountLatents
m05_joint_grw_smile_supremacy_w020,Task 015,fcd5e974-9a46-4a10-9828-6b987a5484d6,43,1.0139317473037894,472.48072017859494,498.4446661762096,0,172000,0.6233380529690804,158.40523918072384,1.12.4,16,unknown,detached (T010)
m05_joint_grw_smile_supremacy_w040,Task 015,30620d3e-e4bd-4c05-b1a1-85cefa36b728,43,1.0200331199623467,431.1185488492335,696.2146983075903,0,172000,0.6650357338552221,185.3756942152977,1.12.4,16,unknown,detached (T010)
