model,config,reps,pass_strict,pass_production,wall_s_median,wall_s_max,core_s_median,max_rhat_worst,min_ess_bulk_median,min_ess_bulk_worst,min_ess_tail_median,min_ess_tail_worst,ess_per_wall_s_median,ess_per_wall_s_min,ess_per_wall_s_max,ess_per_core_s_median,divergences,transitions,depth_capped,max_tree_depth,mean_tree_depth,mean_leapfrog,min_bfmi,mean_concurrency,core_s_vs_A,ess_per_wall_vs_A
m00_recombined_control,A,4,3,3,2963.5640354156494,2999.582640171051,11249.115246295929,1.0073303745450672,1735.4516971608332,1621.957234467682,2075.759120585749,2006.5156859744607,0.5855919161723473,0.5407276374873239,0.7736240262922458,0.15427817870476154,1,16000,0,7,4.8510625,30.4053125,0.7385095426820366,15.558024241572214,1.0,1.0
m01_decomposed_baseline,A,4,4,4,2558.9693316221237,2603.068183898926,8734.13837838173,1.0068235741618847,1921.3026993102278,1597.6426923513714,1970.3895863375533,1468.7429911041388,0.6768223300811352,0.609745256966889,0.7892818088839484,0.20053855955750344,0,16000,0,7,4.4925625,24.337,0.7258605124353498,15.58297592313702,1.0,1.0
m00_recombined_control,B,4,4,4,1775.3102484941483,1814.6500298976898,6611.92618560791,1.0128983391408333,970.6480717442976,841.4623919857656,889.4081251034584,849.1634139997423,0.5009887478447038,0.46370505503653914,0.5216238620313445,0.13452367311781774,0,8000,0,6,4.898875,30.406,0.687313699162762,15.79429067946672,0.5877729973283955,0.8555253821114162
m01_decomposed_baseline,B,4,4,4,1508.6546684503555,1549.301875114441,5288.702209830284,1.0101980351261983,770.786510057543,737.3298251682103,774.6430061909072,583.0090950702859,0.4830743505977534,0.39037444617568484,0.6473250513032731,0.1305520293471429,0,8000,0,7,4.257125,21.084,0.6669603480967845,15.742403350580528,0.6055207715646681,0.7137387895281824
m00_recombined_control,C,4,3,3,1561.6761149168015,1585.260943889618,5398.180505394936,1.0099188442691256,757.559945175834,721.1344576493681,910.5633185762117,556.569423270665,0.4826607295793987,0.40095926226359707,0.5538945867502258,0.1401897001046632,1,8000,0,7,4.3618749999999995,22.710250000000002,0.731619568211289,15.68953520098264,0.4798760068861798,0.8242271046606207
m01_decomposed_baseline,C,4,4,4,1357.314558506012,1487.475338935852,4959.144192457199,1.0122854921459479,923.9044762020883,858.8163280247478,888.7726602351729,664.5935948151722,0.5873456816078351,0.4800348378370281,0.7738119334457957,0.1667973980264506,0,8000,0,7,4.05775,17.412,0.7714868588757222,15.711085940901858,0.5677885988996701,0.8677989119203943
