model,config,rep,warmup,retained,delta,max_depth,n_chains,n_draws,n_params,wall_s,core_s,mean_concurrency,max_rhat,worst_rhat_param,min_ess_bulk,worst_bulk_param,min_ess_tail,worst_tail_param,min_ess,ess_per_wall_s,ess_per_core_s,ess_per_draw,n_divergent,n_transitions,divergence_rate,max_tree_depth,n_depth_capped,treedepth_rate,min_bfmi,mean_tree_depth,mean_leapfrog,total_leapfrog,step_size_min,step_size_max,mean_acceptance,gate_rhat,gate_ess400,gate_ess200,gate_div0,gate_bfmi,gate_depth,pass_strict,pass_production
m00_recombined_control,A,1,1000,1000,0.95,10,4,1000,97,2962.0470039844513,11265.726997852325,15.999796439992416,1.005298823615468,raw_referee[12],1710.036859926949,sigma_regular_raw[1],2014.6854631004771,sigma_referee_raw[1],1710.036859926949,0.5773159094459548,0.15179107928435928,0.4275092149817373,0,4000,0.0,7,0,0.0,0.7385095426820366,4.83225,30.904,123616,0.12962487777077153,0.1974138574433466,0.9557292229560063,true,true,true,true,true,true,true,true
m00_recombined_control,A,2,1000,1000,0.95,10,4,1000,97,2999.582640171051,11364.943689346313,15.999993086297591,1.0065505365570622,raw_attack[18],1621.957234467682,sigma_regular_raw[1],2006.5156859744607,mu_regular[1],1621.957234467682,0.5407276374873239,0.14271581794005117,0.4054893086169205,0,4000,0.0,7,0,0.0,0.8353859284848835,4.76125,29.2,116800,0.16413200317180998,0.2048339168108632,0.9468757026210844,true,true,true,true,true,true,true,true
m00_recombined_control,A,3,1000,1000,0.95,10,4,1000,97,2965.0810668468475,11232.503494739532,15.999994426851439,1.0073303745450672,raw_referee[18],1760.866534394717,sigma_regular_raw[1],2160.470318257107,mu_regular[1],1760.866534394717,0.5938679228987399,0.1567652781251638,0.44021663359867924,1,4000,0.00025,7,0,0.0,0.753174114839369,4.816,30.58525,122341,0.13065515941244502,0.20074261607137284,0.9525663874097847,true,true,true,false,true,true,false,false
m00_recombined_control,A,4,1000,1000,0.95,10,4,1000,97,2690.854950904846,8495.459893226624,14.232313013147412,1.0057324564186092,sigma_regular_raw[1],2081.7100412874306,sigma_regular_raw[1],2136.83277807102,raw_defence[2],2081.7100412874306,0.7736240262922458,0.24503794585001396,0.5204275103218576,0,4000,0.0,5,0,0.0,0.7469329042858519,4.99475,30.932,123728,0.13743570053233584,0.17042722528868448,0.9639511436107114,true,true,true,true,true,true,true,true
m01_decomposed_baseline,A,1,1000,1000,0.95,10,4,1000,97,2603.068183898926,8766.224168539047,15.99982681716158,1.006318258764922,sigma_regular_raw[1],1984.3783452772839,sigma_regular_raw[1],1881.1888044437026,sigma_referee_raw[1],1881.1888044437026,0.7226813404580212,0.21459510597448203,0.47029720111092566,0,4000,0.0,6,0,0.0,0.7486078763279036,4.257,19.68,78720,0.16142007581067377,0.24317803127316573,0.9497501375414297,true,true,true,true,true,true,true,true
m01_decomposed_baseline,A,2,1000,1000,0.95,10,4,1000,97,2585.8696150779724,9749.241099119186,15.999993694029389,1.0061829708022838,raw_defence[9],2040.9798473267813,sigma_regular_raw[1],2253.2332398823655,sigma_referee_raw[1],2040.9798473267813,0.7892818088839484,0.20934756116670225,0.5102449618316953,0,4000,0.0,7,0,0.0,0.7589698767794533,4.68925,27.052,108208,0.15780253897373242,0.21318625868965344,0.9602126276680325,true,true,true,true,true,true,true,true
m01_decomposed_baseline,A,3,1000,1000,0.95,10,4,1000,97,2408.7813301086426,8702.052588224411,15.99999395489429,1.0044265580691458,raw_defence[10],1858.2270533431717,sigma_referee_raw[1],1468.7429911041388,sigma_referee_raw[1],1468.7429911041388,0.609745256966889,0.1687812129625184,0.3671857477760347,0,4000,0.0,7,0,0.0,0.7547986339319686,4.099,19.64,78560,0.20448352328772013,0.26306812919614525,0.9392018500133822,true,true,true,true,true,true,true,true
m01_decomposed_baseline,A,4,1000,1000,0.95,10,4,1000,97,2532.069048166275,8332.792864322662,14.332089226462823,1.0068235741618847,sigma_regular_raw[1],1597.6426923513714,sigma_regular_raw[1],2059.590368231404,sigma_regular_raw[1],1597.6426923513714,0.6309633197042492,0.19172955794830465,0.39941067308784284,0,4000,0.0,7,0,0.0,0.7258605124353498,4.925,30.976,123904,0.1177556169928974,0.19303456193178925,0.9714313912473519,true,true,true,true,true,true,true,true
m00_recombined_control,B,1,500,500,0.95,10,4,500,97,1778.4144458770752,6663.537271976471,15.99966051545773,1.0087215857181366,raw_referee[30],941.4577416655229,sigma_regular_raw[1],889.6288493559565,sigma_referee_raw[1],889.6288493559565,0.500237079955348,0.1335069968164347,0.44481442467797827,0,2000,0.0,6,0,0.0,0.7893857032675514,4.742,29.624,59248,0.1633095560000008,0.20401603009346206,0.9523918635296077,true,true,true,true,true,true,true,true
m00_recombined_control,B,2,500,500,0.95,10,4,500,97,1814.6500298976898,6822.14760184288,15.999992762469764,1.0085477063970303,raw_referee[30],841.4623919857656,sigma_regular_raw[1],1026.7073311281717,sigma_referee_raw[1],841.4623919857656,0.46370505503653914,0.12334274206533727,0.42073119599288283,0,2000,0.0,5,0,0.0,0.687313699162762,4.956,30.648,61296,0.12960306255941587,0.18882542370245103,0.9655808252455881,true,true,true,true,true,true,true,true
