model,fold,n_target,n_parameters,tape_instructions,gradient_ms,allocated_bytes,compiled_fresh_error,compiled_forward_error,worst_perturbed_error,log_density
m00_baseline_grw_negbin,1,0,99,756,0.743569,176816,0.0,3.970672390872813e-14,0.0,-2439.9263711816775
m00_baseline_grw_negbin,2,1,159,1330,0.788543,182592,0.0,1.1668528315364526e-14,0.0,-2832.6818606043294
m05_wealth_grw_negbin,1,0,102,812,0.789104,270128,0.0,1.159081746086202e-14,0.0,-3200.398139228215
m05_wealth_grw_negbin,2,1,162,1386,0.810323,278976,0.0,3.839501235222964e-14,0.0,-3472.276041548472
m10_lineup_grw_negbin,1,0,101,781,0.763647,223472,0.0,2.548054440008869e-14,0.0,-2507.6106542921584
m10_lineup_grw_negbin,2,1,161,1355,0.789535,230784,0.0,1.9180713779531746e-14,0.0,-2883.23257976489
m12_joint_hybrid_synergy_negbin,1,0,104,837,0.792901,316784,0.0,5.936597070117152e-14,0.0,-3389.380320364404
m12_joint_hybrid_synergy_negbin,2,1,164,1411,0.817817,327168,0.0,1.184724001843074e-14,0.0,-3836.52985971662
