model,fixture,lambda_h,lambda_a,r,mass,p_home,p_draw,p_away,d_home,d_over25,d_over35,d_btts,p_over25,p_btts
m00_baseline_grw_negbin,12477128,1.4006528162338476,1.132370448440098,30.331848572876897,0.9999996548693613,0.43027636188254875,0.26257075504764515,0.3071525379392113,-0.000768941700831749,-0.0031568343014711786,0.002101692283469958,-0.0112847616955572,0.4602640715090871,0.4946804868431391
m00_baseline_grw_negbin,12477134,1.7190205003736085,1.18111569475149,30.331848572876897,0.9999964976333212,0.4959021299744361,0.23530696994079617,0.2687873977180641,-0.0024230545065851983,-0.005550191033238505,0.0002943513268404696,-0.012577262582411541,0.545001634144226,0.548288904143017
m00_baseline_grw_negbin,12477131,1.944926350967606,1.5614937591014313,30.331848572876897,0.9999880285234505,0.46723138135872117,0.21368205470922674,0.3190745924554576,-0.0010300618395531203,-0.008581203936244286,-0.0035433978104706942,-0.015107215992838707,0.6658847789294341,0.6520325788373622
m00_baseline_grw_negbin,12477135,1.6716212445317442,1.241458104630583,30.331848572876897,0.9999973430816063,0.4722239513657603,0.23756427889970586,0.2902091128161448,-0.001653826530496505,-0.0055614980041766016,0.00023779069151208532,-0.012857608609163296,0.5481154852588206,0.5564385206876238
m00_baseline_grw_negbin,12477132,1.449885473315562,1.2606488537956302,30.331848572876897,0.9999993930297268,0.41493611152756493,0.2532806302302596,0.3317826512719132,-0.00010417319339878217,-0.004220745901409306,0.0013657678162793396,-0.012307148402544987,0.5030929516041678,0.5313150430478187
m00_baseline_grw_negbin,12476800,1.6544890047622038,1.48875969098402,30.331848572876897,0.9999979266852086,0.4184161336555156,0.23181605885000647,0.3497657341796774,0.0003838509642398735,-0.00679639642645169,-0.0010370347165771232,-0.014321826145688665,0.5992057913377313,0.6073206304678956
m05_wealth_grw_negbin,12477128,1.4614051204564993,1.1630521459196612,31.318617421853652,0.9999996168505505,0.43888933281136083,0.25678447479571714,0.3043258092435046,-0.0008475959050252557,-0.003611486740272507,0.0017632485043349577,-0.011486764839840569,0.48349118448970324,0.5143919723985557
m05_wealth_grw_negbin,12477134,1.5428425946179471,1.2943000107570342,31.318617421853652,0.9999992099345731,0.43110179388284864,0.24593398544079564,0.32296343061099125,-0.00037137206123721844,-0.004874025746868793,0.0007468384613064649,-0.012564245471065494,0.5331163139565374,0.5548692487200164
m05_wealth_grw_negbin,12477131,1.5935821432669217,1.599817310270599,31.318617421853652,0.9999979834509908,0.38358863882307814,0.23038057694937186,0.38602876767853433,0.0015225710028627382,-0.006846287548627261,-0.001295366284350341,-0.014141154853217097,0.6100190186308964,0.6174206235017746
m05_wealth_grw_negbin,12477135,1.5426558576181233,1.2137718660780652,31.318617421853652,0.9999992660003522,0.44797936501402147,0.24867219201380822,0.3033477089725509,-0.0009666382242043414,-0.004418808443368505,0.001153275519466479,-0.01207433255960988,0.5145092709196933,0.5373556088039771
