model,folds,oos,draws,max_rhat,worst_rhat_fold,min_ess_bulk,min_ess_tail,n_divergent,n_transitions,divergence_rate,treedepth_rate,min_bfmi,passed,strict_rhat_pass,failures,wall_min,run_id,mean_r,median_r,r_q05,r_q95,latent_mean_lambda_h,latent_min_sd,grid_d_over35,grid_d_home,gate_pass,gate_failures
m00_baseline_grw_negbin,2,39,4000,1.0043313670396548,1,1149.466337323617,1262.4152113204163,0,8000,0.0,0.0,0.6889099700735161,true,true,,1.1244139830271402,90ca88ba-a5d4-4d54-b5e2-8bc102f7240a,30.514002926019216,28.743665065092046,17.291668457456442,49.77381072092639,1.520488697030856,0.13664504960378246,0.0014300057741916117,0.0010606514558508713,true,
m05_wealth_grw_negbin,2,39,4000,1.0055912030332583,2,1681.378418764517,1461.0404044377349,0,8000,0.0,0.0,0.7184108864854257,true,true,,1.7484089811642964,fc7dffce-a91b-4fbe-96a5-3da38c896006,31.156360263407844,29.28647744224119,17.63641997036217,51.10135386654816,1.4771849453581665,0.0925157129499916,0.0008719074719305923,0.0007865904396166986,true,
m10_lineup_grw_negbin,2,39,4000,1.0067158201322988,2,1107.7122701347841,1538.7374328511291,0,8000,0.0,0.0,0.701056103588608,true,true,,1.0822324355443318,a8637789-53e1-43e5-9f35-0df7f8296095,30.392277004184617,28.69191750560457,17.20479904935606,49.74608491571428,1.5106411317522337,0.12590533333974463,0.0013447792017255895,0.0011153120475532834,true,
m12_joint_hybrid_synergy_negbin,2,39,4000,1.004774873821062,1,935.3513886076533,1362.5983364643064,0,8000,0.0,0.0,0.629835907567339,true,true,,1.801199984550476,497c6a0b-aa9f-4df3-9a77-a24c80a27cab,30.71260019499117,28.666157652511288,17.221590913355122,51.05898304014141,1.472940506137425,0.09189613273744761,0.0009679631468536195,0.0007110410592989872,true,
