model,folds,oos,draws,max_rhat,worst_rhat_fold,min_ess_bulk,min_ess_tail,n_divergent,n_transitions,divergence_rate,treedepth_rate,min_bfmi,passed,strict_rhat_pass,failures,wall_min,run_id,latent_mean_lambda_h,latent_mean_lambda_a,latent_min_sd,gate_pass,gate_failures
m00_baseline_grw,2,39,4000,1.0085352719576433,2,1129.9985541591016,1407.1107811286472,0,8000,0.0,0.0,0.6839283807335825,true,true,,0.5683069189389547,05e8ea2e-4ba4-48f6-a5b8-222192b33a6f,1.5186982324639304,1.2864809926957872,0.1393339351962947,true,
m05_wealth_grw,2,39,4000,1.0051064572577542,2,1393.6546330852734,1548.2977117581552,0,8000,0.0,0.0,0.6760498099198898,true,true,,0.6650671005249024,3386e82a-dce8-4ba1-b188-50cf09c8ad0a,1.4770075918078318,1.3027445704383311,0.0936305330022056,true,
m10_lineup_grw,2,39,4000,1.0059836717925799,1,1195.1953248415966,1642.8678486371987,0,8000,0.0,0.0,0.7025227405039869,true,true,,0.37743086417516075,08245882-1765-4da5-88b5-03f8c360fc64,1.5094909954766509,1.2801506647156449,0.1247652478369621,true,
m12_joint_hybrid_synergy_grw,2,39,4000,1.0124375963748038,1,954.153284114132,885.659907906631,0,8000,0.0,0.0,0.6086849543398027,true,false,,0.8025016188621521,2c25fbfa-a9c3-4f18-91c9-f6d217f317aa,1.4715652690959808,1.299013227970581,0.09503690568250055,true,
