model,folds,oos,draws,max_rhat,worst_rhat_fold,min_ess_bulk,min_ess_tail,n_divergent,n_transitions,divergence_rate,treedepth_rate,min_bfmi,passed,strict_rhat_pass,failures,wall_min,run_id,mean_r,median_r,r_q05,r_q95,gate_pass,reused
m00_baseline_grw_negbin,40,710,2000,1.0111126682906917,25,834.4915697005149,670.2409940896007,0,160000,0.0,0.0060875,0.7322387996693231,true,false,,59.23270978530248,0c0da991-7d4c-4f01-90e2-2af157f27aaa,30.287735862609342,28.404088966420314,17.092366573623757,49.919332873495534,true,false
m05_wealth_grw_negbin,40,710,2000,1.0101868655651178,15,1048.7018341170171,807.4327386013998,0,160000,0.0,6.25e-5,0.6805314492549395,true,false,,56.503567814826965,019d41d4-9e0e-41eb-bbc1-8984263f0f14,31.501930187451734,29.52977726835092,17.76855887212175,51.93425909445678,true,false
m10_lineup_grw_negbin,40,710,2000,1.0105265678470805,15,1056.501901960559,882.0325924418526,0,160000,0.0,0.005475,0.744307304097039,true,false,,62.950571767489116,f7fd8385-fa15-4f6a-ae89-e23447907a80,30.914855092344375,28.994908670595798,17.461039568286562,50.824944552888184,true,false
m12_joint_hybrid_synergy_negbin,40,710,2000,1.004055589311352,18,1911.066357970924,2518.209786274627,1,400000,2.5e-6,0.0004575,0.6230429381145676,true,true,,111.82603766918183,c3d2aede-ddd5-4590-9c75-5937de4b1bbc,31.466173474677884,29.53502135517727,17.801889785603404,51.63297962134792,true,false
