match_id,selection,market_name,p_model,prob_fair_close,realized
12476616,home,1X2,0.455070476505623,0.7555925138850391,0.0
12476632,home,1X2,0.5474390839502447,0.78069552874379,1.0
12476665,home,1X2,0.6380703000049233,0.7299324458569557,0.0
14032707,home,1X2,0.6762353485920817,0.9165525429670892,1.0
14032719,home,1X2,0.5290773767847778,0.7299640353840731,1.0
14032720,home,1X2,0.45059269531400836,0.7384615384615385,0.0
14035529,home,1X2,0.5298401411574167,0.8545149680433852,0.0
14035546,home,1X2,0.4804250197435186,0.728378895887161,1.0
14035551,home,1X2,0.6794599937228951,0.740028594199324,1.0
14035598,home,1X2,0.5662239896571277,0.774931822661614,1.0
14035620,home,1X2,0.5767962293630122,0.7599727124918759,1.0
14035624,home,1X2,0.5097637242636471,0.7372184356172161,0.0
14035648,home,1X2,0.6125329639036623,0.8035278074979451,1.0
14035720,home,1X2,0.5605033096270403,0.7182550924181771,1.0
14035811,home,1X2,0.5968676247625624,0.7471882252019676,1.0
14035826,away,1X2,0.4845504417703734,0.7342805057546984,1.0
15457468,home,1X2,0.5500616576414652,0.7604332018110247,1.0
15680573,away,1X2,0.45791598272978773,0.7155894080718658,1.0
