match_id,date,family,selection,odds,stake,pnl,payoff,p_model,p_market
12477123,2024-08-03,1X2_home,home,3.1455349338302168,0.019804295567296543,-0.019804295567296543,-1.0,0.4480901757867949,0.3171679729944784
12477123,2024-08-03,1X2_draw,draw,3.497938357265112,0.0018785889720059719,0.004598747461694775,2.44797959011981,0.2660949216928189,0.2852145569901582
12477123,2024-08-03,O/U 2.5_under_25,under_25,2.0760378560810446,0.01506659596004856,0.01588798306298418,1.0545170989594237,0.5543412284598324,0.4816867847909619
12477126,2024-08-03,1X2_home,home,4.155100640852063,0.0036534065350384793,0.01129632799399316,3.0919986280350216,0.30658846807314805,0.2383213448924134
12477126,2024-08-03,O/U 2.5_over_25,over_25,2.066526226720403,0.002634799193626599,0.0027538807933016464,1.045195702185995,0.5246517633047213,0.4835654923561254
12477128,2024-08-03,1X2_home,home,2.835031767441645,0.011784394188938788,0.02119224294282225,1.7983311320928124,0.4332834887639936,0.3527166847445295
12477128,2024-08-03,1X2_draw,draw,3.7041536289331827,0.0006480396442553986,-0.0006480396442553986,-1.0,0.2646643024256534,0.2699572173105131
12477128,2024-08-03,O/U 2.5_under_25,under_25,2.1852561367163257,0.013726231374664806,-0.013726231374664806,-1.0,0.5396090090866958,0.4576122602738229
12477129,2024-08-03,1X2_home,home,7.137657359979854,0.019318788672364758,-0.019318788672364758,-1.0,0.2970933158406625,0.14010198999000736
12477129,2024-08-03,1X2_draw,draw,5.07565439799843,0.008559215906061348,-0.008559215906061348,-1.0,0.22402567429340994,0.19701893028696893
12477129,2024-08-03,O/U 2.5_over_25,over_25,1.6442553522350185,0.0071451820298114865,0.004511255330091534,0.6313702451903181,0.6297615408692714,0.6081780415923298
12477131,2024-08-03,1X2_home,home,2.3138620680819786,0.0011846491788993286,-0.0011846491788993286,-1.0,0.47164771690165147,0.43217787861872264
12477131,2024-08-03,O/U 2.5_over_25,over_25,1.5653941149417445,0.0021879972562906724,0.0012123391567711213,0.5540862326429096,0.6817500406105769,0.6388167621527149
12477132,2024-08-03,1X2_away,away,4.307789947823633,0.011890057043737906,-0.011890057043737906,-1.0,0.32765592021087925,0.23096760299088834
12477132,2024-08-03,1X2_draw,draw,3.9633916526138275,0.0025755304640666847,0.007479659368702474,2.904123819561551,0.25567108331664234,0.25103749657970326
12477132,2024-08-03,O/U 2.5_under_25,under_25,2.255421444455187,0.007587537611551647,0.009335046279589185,1.2303130155660833,0.49428614406439736,0.4422823514328366
12477133,2024-08-03,1X2_home,home,2.8671416766361872,0.0030229745610895697,-0.0030229745610895697,-1.0,0.4036308246763028,0.3487794161512202
12477133,2024-08-03,1X2_draw,draw,3.60066752624139,0.0004315949564548126,-0.0004315949564548126,-1.0,0.26668824815978637,0.27772628067214655
12477134,2024-08-03,1X2_away,away,3.7968694104192666,2.5977756227822654e-5,-2.5977756227822654e-5,-1.0,0.2623598276773686,0.2621657767386023
12477134,2024-08-03,1X2_home,home,2.090788730034199,0.00011867361768245329,-0.00011867361768245329,-1.0,0.5023645624948012,0.4760926839993652
12477135,2024-08-03,1X2_away,away,3.4180258691789964,0.0002694554406304586,-0.0002694554406304586,-1.0,0.2854001678704786,0.2925665393633191
12477135,2024-08-03,1X2_home,home,2.2653777293536703,0.0011263649204447553,-0.0011263649204447553,-1.0,0.4748267043083003,0.44142748780588914
12477135,2024-08-03,O/U 2.5_under_25,under_25,2.337142857142857,0.0006574867445962689,0.0008615706301189507,1.3104,0.44873341582410275,0.42787286063569685
12476632,2024-08-10,1X2_away,away,14.0,0.018500444171011623,-0.018500444171011623,-1.0,0.24551692704686423,0.07026259758694109
12476632,2024-08-10,1X2_draw,draw,6.6,0.00933642852300781,-0.00933642852300781,-1.0,0.20703686259561105,0.149041873669269
12476633,2024-08-10,1X2_home,home,2.06,0.011350669544418985,-0.011350669544418985,-1.0,0.5844095417045652,0.4827523542038539
12476633,2024-08-10,1X2_draw,draw,3.9391007269338303,0.0005874776253362714,-0.0005874776253362714,-1.0,0.22241261014813507,0.25246113735051084
12476633,2024-08-10,O/U 2.5_under_25,under_25,2.28,0.004016517057356467,0.005038318996747951,1.2543999999999997,0.4646605551430389,0.43842364532019706
12476635,2024-08-10,1X2_away,away,3.8007022463551037,0.0010680581593779453,-0.0010680581593779453,-1.0,0.29810131576244403,0.26270335620261337
12476635,2024-08-10,1X2_draw,draw,3.5750000000000006,0.00035209559022482265,-0.00035209559022482265,-1.0,0.2815115382284864,0.2792887373550483
12476636,2024-08-10,1X2_away,away,4.379479502000953,0.011338339113913227,-0.011338339113913227,-1.0,0.32984892087989437,0.2227936429224027
12476636,2024-08-10,1X2_draw,draw,4.059750780991914,0.003834364533875898,-0.003834364533875898,-1.0,0.2505891729814078,0.24033992355471284
12476794,2024-08-10,1X2_away,away,4.056988019573348,0.005817484206469426,-0.005817484206469426,-1.0,0.3289194128005939,0.24496433485025887
12476797,2024-08-10,1X2_away,away,3.224454979073816,0.007084842951354832,-0.007084842951354832,-1.0,0.38697711830721315,0.3101299309464191
12476797,2024-08-10,O/U 2.5_under_25,under_25,2.15,0.009632720992860843,0.01085607655895417,1.127,0.5459236140419415,0.45843828715365237
12476798,2024-08-10,1X2_home,home,2.910181870662802,0.0005071482584025888,-0.0005071482584025888,-1.0,0.3753575720785261,0.3428428824951162
12476798,2024-08-10,O/U 2.5_under_25,under_25,2.28,0.0004552845970621718,-0.0004552845970621718,-1.0,0.46267091863810955,0.43842364532019706
12476799,2024-08-10,1X2_away,away,3.0885593220338983,0.00019986324191013452,-0.00019986324191013452,-1.0,0.34839322025785757,0.32377555220194815
12476800,2024-08-10,1X2_away,away,2.8321376674892913,0.00032552455475871525,-0.00032552455475871525,-1.0,0.3477164640517482,0.35309018042421175
12476800,2024-08-10,1X2_home,home,2.594362346924865,0.0012046416280323774,0.0018822225482076297,1.5624750999863677,0.417637816629114,0.3854511692190239
12476623,2024-08-17,1X2_away,away,5.060995194239675,0.004422212674165307,-0.004422212674165307,-1.0,0.26583980055213674,0.1974839279256179
12476623,2024-08-17,1X2_draw,draw,3.9064170692123628,0.0010853791178570302,-0.0010853791178570302,-1.0,0.2530751802434456,0.25585215107936365
12476629,2024-08-17,1X2_away,away,4.570148845656838,0.005279665189205985,-0.005279665189205985,-1.0,0.28262032918505975,0.21881125402520155
12476629,2024-08-17,1X2_draw,draw,3.787970940105405,0.0021128834370519652,-0.0021128834370519652,-1.0,0.27013040292933305,0.26399357751466107
12476631,2024-08-17,O/U 2.5_over_25,over_25,1.9623585164605661,0.009770890063142525,0.009215037280351826,0.9431113461313548,0.5933254049158826,0.5090861856949166
12476634,2024-08-17,1X2_away,away,5.353504132128758,0.0323847421579243,0.13816736662639886,4.2664340494861825,0.431814067630215,0.18679354219576588
12476634,2024-08-17,1X2_draw,draw,3.9784325487363694,0.011015036972539432,-0.011015036972539432,-1.0,0.2555548599783341,0.2513552731508846
12476634,2024-08-17,O/U 2.5_under_25,under_25,2.0,0.0007908099820189536,0.0007749937823785745,0.98,0.5042335514503344,0.5
12476790,2024-08-17,1X2_away,away,3.914204570788286,0.0011134875168585074,-0.0011134875168585074,-1.0,0.2885781615018409,0.25489345623156623
12476790,2024-08-17,O/U 2.5_under_25,under_25,2.2555555555555555,0.0024156793328689585,0.002972359214687872,1.2304444444444445,0.4981284767697493,0.4433497536945813
12476792,2024-08-17,1X2_away,away,2.8329495552517314,0.0007935205891107172,-0.0007935205891107172,-1.0,0.31432838231713145,0.3529889892130965
