model,scope,n_obs,logloss,market_logloss,brier,market_brier,ece,market_ece,mce,market_mce,rps,market_rps
m01_poisson_time_decay,all,2899,0.6468493696066263,0.6418155553508617,0.22767431186634873,0.2252928320612554,0.011616483210896532,0.01390748520485936,0.16598490877974348,0.32902138777066514,0.2269440791302089,0.2111040320023605
m01_poisson_time_decay,1X2,1785,0.6202916225283781,0.6131180107974481,0.21490216759646927,0.21156444032291422,0.017192338575486882,0.018580646181840455,0.33168933322494853,0.32902138777066514,0.2269440791302089,0.2111040320023605
m01_poisson_time_decay,OU2.5,758,0.6902252416871687,0.6898782309589602,0.24854821382475342,0.24829171351414944,0.015489093746336651,0.01829866107755568,0.375151429875921,0.7079376625841927,0.2269440791302089,0.2111040320023605
m01_poisson_time_decay,BTTS,356,0.6876546153864688,0.6833706365781275,0.24726942376877395,0.2451580767568855,0.005490387661341734,0.03004396402078209,0.10622304560940687,0.07307236039881282,0.2269440791302089,0.2111040320023605
m02_poisson_grw_1st_order,all,2899,0.6445181850939341,0.6418155553508617,0.2266280558013172,0.2252928320612554,0.017258174949212716,0.01390748520485936,0.29187791342449276,0.32902138777066514,0.22501227264735552,0.2111040320023605
m02_poisson_grw_1st_order,1X2,1785,0.6168401594756417,0.6131180107974481,0.21337599070627264,0.21156444032291422,0.017058498540660636,0.018580646181840455,0.10166297865984142,0.32902138777066514,0.22501227264735552,0.2111040320023605
m02_poisson_grw_1st_order,OU2.5,758,0.6877562397729217,0.6898782309589602,0.24731116293856797,0.24829171351414944,0.01956211384401214,0.01829866107755568,0.29187791342449276,0.7079376625841927,0.22501227264735552,0.2111040320023605
m02_poisson_grw_1st_order,BTTS,356,0.6912340004927531,0.6833706365781275,0.24903575519631876,0.2451580767568855,0.037675534363798516,0.03004396402078209,0.038327510152379674,0.07307236039881282,0.22501227264735552,0.2111040320023605
m03_poisson_momentum_grw,all,2899,0.6444406358735613,0.6418155553508617,0.2265978404281315,0.2252928320612554,0.014240870456896629,0.01390748520485936,0.047673286693472816,0.32902138777066514,0.2251418108018136,0.2111040320023605
m03_poisson_momentum_grw,1X2,1785,0.6171719276065072,0.6131180107974481,0.21354694467844315,0.21156444032291422,0.01855962500142283,0.018580646181840455,0.07741927687077976,0.32902138777066514,0.2251418108018136,0.2111040320023605
m03_poisson_momentum_grw,OU2.5,758,0.6875061369264316,0.6898782309589602,0.24718795920992626,0.24829171351414944,0.014195897809760943,0.01829866107755568,0.21587516590289235,0.7079376625841927,0.2251418108018136,0.2111040320023605
m03_poisson_momentum_grw,BTTS,356,0.6894715191842774,0.6833706365781275,0.24819485974440517,0.2451580767568855,0.03092100879153167,0.03004396402078209,0.2886219425056974,0.07307236039881282,0.2251418108018136,0.2111040320023605
