match_id,selection,p_model,p_market,y,family,ll_model,ll_market,model
12473322,away,0.28103944888052185,0.2785869128041913,0.0,1X2,0.329948789081353,0.3265433692913231,m02_poisson_grw_1st_order
12473322,draw,0.23426964867641412,0.26392444370923385,0.0,1X2,0.2669251929865295,0.3064225075184747,m02_poisson_grw_1st_order
12473322,home,0.48468948241168874,0.45748864348657486,1.0,1X2,0.7242468355375004,0.7820032175548205,m02_poisson_grw_1st_order
12473328,away,0.3960338373898719,0.2542793970612376,0.0,1X2,0.5042371047852846,0.2934042758228285,m02_poisson_grw_1st_order
12473328,draw,0.27431611106591947,0.2728502061608147,0.0,1X2,0.32064077366919197,0.3186227788774221,m02_poisson_grw_1st_order
12473328,home,0.3296498433976797,0.47287039677794784,1.0,1X2,1.1097242684792745,0.7489339306193903,m02_poisson_grw_1st_order
12473330,away,0.28142086394590704,0.17587009631010161,0.0,1X2,0.33047943888217385,0.19342711138903795,m02_poisson_grw_1st_order
12473330,draw,0.24144187889899402,0.20046878765699017,0.0,1X2,0.2763358567600429,0.2237297076415072,m02_poisson_grw_1st_order
12473330,home,0.47713658706913376,0.6236611160329083,1.0,1X2,0.7399524830261193,0.47214814141644385,m02_poisson_grw_1st_order
12473330,over_25,0.538254709207655,0.5970873786407767,1.0,OU2.5,0.6194233936674289,0.5156918134171636,m02_poisson_grw_1st_order
12473330,under_25,0.46174462070638,0.40291262135922323,0.0,OU2.5,0.6194221487446507,0.5156918134171635,m02_poisson_grw_1st_order
12473331,away,0.4650506909269396,0.4474001698859475,1.0,1X2,0.7656088665901316,0.8043018502079244,m02_poisson_grw_1st_order
12473331,draw,0.22253743601211787,0.24129557175582192,0.0,1X2,0.2517197852996855,0.2761430000343711,m02_poisson_grw_1st_order
12473331,home,0.31240987585160956,0.3113042583582306,0.0,1X2,0.3745623683625247,0.3729556996337435,m02_poisson_grw_1st_order
12473333,away,0.3308019216712939,0.4875956851219247,1.0,1X2,1.1062355066859495,0.7182687306309006,m02_poisson_grw_1st_order
12473333,draw,0.2726397766848877,0.2558294244016332,0.0,1X2,0.31833343129656894,0.29548500214962564,m02_poisson_grw_1st_order
12473333,home,0.39655820756582855,0.2565748904764422,0.0,1X2,0.5051056930809525,0.2964872450905885,m02_poisson_grw_1st_order
12473333,over_25,0.4340881808488205,0.511221945137157,0.0,OU2.5,0.5693170094691841,0.7158467680760517,m02_poisson_grw_1st_order
12473333,under_25,0.5659117250731898,0.48877805486284287,1.0,OU2.5,0.5693171757106273,0.715846768076052,m02_poisson_grw_1st_order
12473334,away,0.2647328416797123,0.23084610944813527,0.0,1X2,0.30752136510453537,0.2624642117446297,m02_poisson_grw_1st_order
12473334,draw,0.24689816766105271,0.2633160753228534,1.0,1X2,1.3987793040394543,1.334400161085464,m02_poisson_grw_1st_order
12473334,home,0.48836811897268473,0.5058378152290113,0.0,1X2,0.6701498949029333,0.7048915064228908,m02_poisson_grw_1st_order
12473335,away,0.3078460486680941,0.20493905261217946,0.0,1X2,0.36794687508493523,0.22933650388538565,m02_poisson_grw_1st_order
12473335,draw,0.2654975495347404,0.26648148713474396,0.0,1X2,0.30856194713788254,0.30990244263749717,m02_poisson_grw_1st_order
12473335,home,0.42665625592121204,0.5285794602530766,1.0,1X2,0.8517766112189326,0.6375621344471905,m02_poisson_grw_1st_order
12473335,over_25,0.4549920714029891,0.5087281795511222,0.0,OU2.5,0.6069549365402889,0.7107576985685806,m02_poisson_grw_1st_order
12473335,under_25,0.5450077827210574,0.4912718204488778,1.0,OU2.5,0.6069552041987306,0.7107576985685807,m02_poisson_grw_1st_order
12473336,away,0.2236530867211508,0.2010816582964621,0.0,1X2,0.2531558055030321,0.22449653906005604,m02_poisson_grw_1st_order
12473336,draw,0.23182607392431365,0.2423700655766101,1.0,1X2,1.4617678698281402,1.4172895242583914,m02_poisson_grw_1st_order
12473336,home,0.5445192735103368,0.5565482761269278,0.0,1X2,0.7864018760430616,0.8131663357547337,m02_poisson_grw_1st_order
12473337,away,0.4354290940696597,0.5795146532965145,0.0,1X2,0.5716892949007929,0.8663456474926409,m02_poisson_grw_1st_order
12473337,draw,0.25123038620070437,0.217947902218037,0.0,1X2,0.2893239345041914,0.24583391945136368,m02_poisson_grw_1st_order
12473337,home,0.31334019560758164,0.20253744448544853,1.0,1X2,1.1604657917507573,1.5968304984902302,m02_poisson_grw_1st_order
12473337,btts_no,0.4543010140278878,0.3971291866028708,0.0,BTTS,0.6056877630066082,0.506052345013333,m02_poisson_grw_1st_order
12473337,btts_yes,0.5456986618500579,0.6028708133971292,1.0,BTTS,0.6056883569643741,0.506052345013333,m02_poisson_grw_1st_order
12473337,over_25,0.5159752175169274,0.6090133982947624,1.0,OU2.5,0.661696542721929,0.4959150110302366,m02_poisson_grw_1st_order
12473337,under_25,0.48402445836101843,0.3909866017052375,0.0,OU2.5,0.6616959145484407,0.4959150110302364,m02_poisson_grw_1st_order
12476452,away,0.23035559242347947,0.16735857285551084,0.0,1X2,0.261826679142902,0.18315218910008563,m02_poisson_grw_1st_order
12476452,draw,0.23767580368272778,0.2301234495099484,0.0,1X2,0.2713833592909783,0.26152510102657417,m02_poisson_grw_1st_order
