match_id,date,family,selection,odds,stake,pnl,payoff,p_model,p_market
12477123,2024-08-03,1X2_home,home,3.1455349338302168,0.02085918422596646,-0.02085918422596646,-1.0,0.45482502901076993,0.3171679729944784
12477123,2024-08-03,1X2_draw,draw,3.497938357265112,0.002198680539813016,0.005382325086655869,2.44797959011981,0.2640455547014644,0.2852145569901582
12477123,2024-08-03,O/U 2.5_under_25,under_25,2.0760378560810446,0.014226295034608755,0.015001871368836479,1.0545170989594237,0.5493367342169222,0.4816867847909619
12477126,2024-08-03,1X2_home,home,4.155100640852063,0.00369824385497038,0.011434964925707364,3.0919986280350216,0.30874583189850585,0.2383213448924134
12477126,2024-08-03,O/U 2.5_over_25,over_25,2.066526226720403,0.002204852032316767,0.0023045018681335416,1.045195702185995,0.5208380294662269,0.4835654923561254
12477128,2024-08-03,1X2_home,home,2.835031767441645,0.012640266611626826,0.022731384965641848,1.7983311320928124,0.43187401839989953,0.3527166847445295
12477128,2024-08-03,1X2_draw,draw,3.7041536289331827,0.0006422268560467686,-0.0006422268560467686,-1.0,0.2649529715519686,0.2699572173105131
12477128,2024-08-03,O/U 2.5_under_25,under_25,2.1852561367163257,0.01508620247480766,-0.01508620247480766,-1.0,0.5402114339496225,0.4576122602738229
12477129,2024-08-03,1X2_home,home,7.137657359979854,0.018273351887451186,-0.018273351887451186,-1.0,0.29183184535111956,0.14010198999000736
12477129,2024-08-03,1X2_draw,draw,5.07565439799843,0.00817233015431592,-0.00817233015431592,-1.0,0.22556646800767893,0.19701893028696893
12477129,2024-08-03,O/U 2.5_over_25,over_25,1.6442553522350185,0.004755198447921212,0.003002290809992636,0.6313702451903181,0.6195452073151982,0.6081780415923298
12477131,2024-08-03,1X2_home,home,2.3138620680819786,0.0011793687507168998,-0.0011793687507168998,-1.0,0.4744389190080469,0.43217787861872264
12477131,2024-08-03,O/U 2.5_over_25,over_25,1.5653941149417445,0.0020874508080995463,0.0011566277540872747,0.5540862326429096,0.6835950800290679,0.6388167621527149
12477132,2024-08-03,1X2_away,away,4.307789947823633,0.012068238759698466,-0.012068238759698466,-1.0,0.3266362964498933,0.23096760299088834
12477132,2024-08-03,1X2_draw,draw,3.9633916526138275,0.0025727517289980996,0.007471589578001545,2.904123819561551,0.2547333337514022,0.25103749657970326
12477132,2024-08-03,O/U 2.5_under_25,under_25,2.255421444455187,0.007309094835842863,0.00899247450854432,1.2303130155660833,0.4911776449734444,0.4422823514328366
12477133,2024-08-03,1X2_home,home,2.8671416766361872,0.004468423243921475,-0.004468423243921475,-1.0,0.4061017239527874,0.3487794161512202
12477133,2024-08-03,1X2_draw,draw,3.60066752624139,0.0007041733026336617,-0.0007041733026336617,-1.0,0.2667542204267111,0.27772628067214655
12477134,2024-08-03,1X2_away,away,3.7968694104192666,4.635927578021433e-5,-4.635927578021433e-5,-1.0,0.2613224719088993,0.2621657767386023
12477134,2024-08-03,1X2_home,home,2.090788730034199,0.0002424847759083061,-0.0002424847759083061,-1.0,0.5023917030280036,0.4760926839993652
12477134,2024-08-03,O/U 2.5_under_25,under_25,2.2420906723818654,2.2233419023960643e-5,2.706360393712265e-5,1.217248858934228,0.4482263240656868,0.44359702074250335
12477135,2024-08-03,1X2_away,away,3.4180258691789964,0.00021459460500107932,-0.00021459460500107932,-1.0,0.2845185899258114,0.2925665393633191
12477135,2024-08-03,1X2_home,home,2.2653777293536703,0.000975794843151881,-0.000975794843151881,-1.0,0.476229648226713,0.44142748780588914
12477135,2024-08-03,O/U 2.5_under_25,under_25,2.337142857142857,0.0005056197092008121,0.0006625640669367443,1.3104,0.4462164232929433,0.42787286063569685
12476632,2024-08-10,1X2_away,away,14.0,0.018881826243723285,-0.018881826243723285,-1.0,0.24605286463632264,0.07026259758694109
12476632,2024-08-10,1X2_draw,draw,6.6,0.009635203595607785,-0.009635203595607785,-1.0,0.20815248701852926,0.149041873669269
12476633,2024-08-10,1X2_home,home,2.06,0.011276551130387346,-0.011276551130387346,-1.0,0.5853305899417084,0.4827523542038539
12476633,2024-08-10,1X2_draw,draw,3.9391007269338303,0.0006012029698334944,-0.0006012029698334944,-1.0,0.22334217134945025,0.25246113735051084
12476633,2024-08-10,O/U 2.5_under_25,under_25,2.28,0.004490372195861852,0.005632722882489106,1.2543999999999997,0.47101685677913785,0.43842364532019706
12476635,2024-08-10,1X2_away,away,3.8007022463551037,0.0013495431250229331,-0.0013495431250229331,-1.0,0.3013983157389937,0.26270335620261337
12476635,2024-08-10,1X2_draw,draw,3.5750000000000006,0.0003767926832919055,-0.0003767926832919055,-1.0,0.2794340484656124,0.2792887373550483
12476636,2024-08-10,1X2_away,away,4.379479502000953,0.010189604764214035,-0.010189604764214035,-1.0,0.33056716431612754,0.2227936429224027
12476636,2024-08-10,1X2_draw,draw,4.059750780991914,0.003491251554377467,-0.003491251554377467,-1.0,0.25107185091491524,0.24033992355471284
12476794,2024-08-10,1X2_away,away,4.056988019573348,0.005741315755239034,-0.005741315755239034,-1.0,0.33014306686214695,0.24496433485025887
12476797,2024-08-10,1X2_away,away,3.224454979073816,0.006942065265876899,-0.006942065265876899,-1.0,0.3819298393029132,0.3101299309464191
