match_id,selection,market_name,p_model,prob_fair_close,realized
12476616,home,1X2,0.49458831147024546,0.7555925138850391,0.0
12476632,home,1X2,0.5712103295326629,0.78069552874379,1.0
12476665,home,1X2,0.5147309723844092,0.7299324458569557,0.0
14032707,home,1X2,0.5151819979621293,0.9165525429670892,1.0
14032719,home,1X2,0.5086846583732239,0.7299640353840731,1.0
14032720,home,1X2,0.4708579240633521,0.7384615384615385,0.0
14035529,home,1X2,0.4772084636539667,0.8545149680433852,0.0
14035546,home,1X2,0.45209292543915985,0.728378895887161,1.0
14035551,home,1X2,0.5108089885309107,0.740028594199324,1.0
14035598,home,1X2,0.48127058926238775,0.774931822661614,1.0
14035620,home,1X2,0.508402479485148,0.7599727124918759,1.0
14035624,home,1X2,0.4711862303907693,0.7372184356172161,0.0
14035648,home,1X2,0.5248990668918023,0.8035278074979451,1.0
14035720,home,1X2,0.4565034861562011,0.7182550924181771,1.0
14035811,home,1X2,0.4880565463277868,0.7471882252019676,1.0
14035826,away,1X2,0.40219049935800194,0.7342805057546984,1.0
15457468,home,1X2,0.5027325529526757,0.7604332018110247,1.0
15680573,away,1X2,0.3954443524019029,0.7155894080718658,1.0
