tournament_id,season,club,first_match_date,last_match_date,league_matches
56,22/23,edinburgh-city-fc,2022-07-30,2023-05-06,36
56,22/23,falkirk-fc,2022-07-30,2023-05-06,36
56,22/23,kelty-hearts-fc,2022-07-30,2023-05-06,36
56,22/23,montrose,2022-07-30,2023-05-06,36
56,22/23,peterhead,2022-07-30,2023-05-06,36
56,22/23,queen-of-the-south,2022-07-30,2023-05-06,36
57,22/23,albion-rovers,2022-07-30,2023-05-06,36
57,22/23,annan-athletic,2022-07-30,2023-05-06,36
57,22/23,bonnyrigg-rose,2022-07-30,2023-05-06,36
57,22/23,dumbarton,2022-07-30,2023-05-06,36
57,22/23,east-fife,2022-07-30,2023-05-06,36
57,22/23,elgin-city,2022-07-30,2023-05-06,36
57,22/23,forfar-athletic,2022-07-30,2023-05-06,36
57,22/23,stenhousemuir,2022-07-30,2023-05-06,36
57,22/23,stirling-albion,2022-07-30,2023-05-06,36
57,22/23,stranraer,2022-07-30,2023-05-06,36
54,23/24,aberdeen,2023-08-05,2024-04-13,33
54,23/24,celtic,2023-08-05,2024-04-13,33
54,23/24,dundee-fc,2023-08-05,2024-04-17,33
54,23/24,heart-of-midlothian,2023-08-05,2024-04-13,33
54,23/24,hibernian,2023-08-06,2024-04-13,33
54,23/24,kilmarnock,2023-08-05,2024-04-13,33
54,23/24,livingston,2023-08-05,2024-04-13,33
54,23/24,motherwell,2023-08-05,2024-04-13,33
54,23/24,rangers,2023-08-05,2024-04-17,33
54,23/24,ross-county,2023-08-05,2024-04-14,33
54,23/24,st-johnstone,2023-08-05,2024-04-13,33
54,23/24,st-mirren,2023-08-06,2024-04-13,33
55,23/24,airdrieonians,2023-08-05,2024-05-03,36
55,23/24,arbroath,2023-08-04,2024-05-03,36
55,23/24,ayr-united,2023-08-05,2024-05-03,36
55,23/24,dundee-united,2023-08-04,2024-05-03,36
55,23/24,dunfermline-athletic,2023-08-05,2024-05-03,36
55,23/24,greenock-morton,2023-08-05,2024-05-03,36
55,23/24,inverness-caledonian-thistle,2023-08-05,2024-05-03,36
55,23/24,partick-thistle,2023-08-05,2024-05-03,36
55,23/24,queens-park-fc,2023-08-05,2024-05-03,36
55,23/24,raith-rovers,2023-08-05,2024-05-03,36
56,23/24,alloa-athletic,2023-08-05,2024-05-04,36
56,23/24,annan-athletic,2023-08-05,2024-05-04,36
56,23/24,cove-rangers,2023-08-05,2024-05-04,36
56,23/24,edinburgh-city-fc,2023-08-05,2024-05-04,36
56,23/24,falkirk-fc,2023-08-05,2024-05-04,36
56,23/24,hamilton-academical,2023-08-05,2024-05-04,36
56,23/24,kelty-hearts-fc,2023-08-05,2024-05-04,36
56,23/24,montrose,2023-08-05,2024-05-04,36
56,23/24,queen-of-the-south,2023-08-05,2024-05-04,36
56,23/24,stirling-albion,2023-08-05,2024-05-04,36
57,23/24,bonnyrigg-rose,2023-08-05,2024-05-04,36
57,23/24,clyde-fc,2023-08-05,2024-05-04,36
57,23/24,dumbarton,2023-08-05,2024-05-04,36
57,23/24,east-fife,2023-08-05,2024-05-04,36
57,23/24,elgin-city,2023-08-05,2024-05-04,36
57,23/24,forfar-athletic,2023-08-05,2024-05-04,36
57,23/24,peterhead,2023-08-05,2024-05-04,36
57,23/24,stenhousemuir,2023-08-05,2024-05-04,36
57,23/24,stranraer,2023-08-05,2024-05-04,36
57,23/24,the-spartans-fc,2023-08-05,2024-05-04,36
54,24/25,aberdeen,2024-08-05,2025-04-13,33
54,24/25,celtic,2024-08-04,2025-04-12,33
54,24/25,dundee-fc,2024-08-04,2025-04-13,33
54,24/25,dundee-united,2024-08-04,2025-04-12,33
54,24/25,heart-of-midlothian,2024-08-03,2025-04-12,33
54,24/25,hibernian,2024-08-04,2025-04-13,33
54,24/25,kilmarnock,2024-08-04,2025-04-12,33
54,24/25,motherwell,2024-08-03,2025-04-12,33
54,24/25,rangers,2024-08-03,2025-04-13,33
54,24/25,ross-county,2024-08-03,2025-04-12,33
54,24/25,st-johnstone,2024-08-05,2025-04-12,33
54,24/25,st-mirren,2024-08-04,2025-04-12,33
55,24/25,airdrieonians,2024-08-03,2025-05-02,36
55,24/25,ayr-united,2024-08-03,2025-05-02,36
55,24/25,dunfermline-athletic,2024-08-03,2025-05-02,36
55,24/25,falkirk-fc,2024-08-02,2025-05-02,36
55,24/25,greenock-morton,2024-08-03,2025-05-02,36
55,24/25,hamilton-academical,2024-08-03,2025-05-02,36
55,24/25,livingston,2024-08-03,2025-05-02,36
55,24/25,partick-thistle,2024-08-03,2025-05-02,36
55,24/25,queens-park-fc,2024-08-02,2025-05-02,36
55,24/25,raith-rovers,2024-08-03,2025-05-02,36
56,24/25,alloa-athletic,2024-08-03,2025-05-03,36
56,24/25,annan-athletic,2024-08-03,2025-05-03,36
56,24/25,arbroath,2024-08-03,2025-05-03,36
56,24/25,cove-rangers,2024-08-03,2025-05-03,36
56,24/25,dumbarton,2024-08-03,2025-05-03,36
56,24/25,inverness-caledonian-thistle,2024-08-03,2025-05-03,36
56,24/25,kelty-hearts-fc,2024-08-03,2025-05-03,36
56,24/25,montrose,2024-08-03,2025-05-03,36
56,24/25,queen-of-the-south,2024-08-03,2025-05-03,36
56,24/25,stenhousemuir,2024-08-03,2025-05-03,36
57,24/25,bonnyrigg-rose,2024-08-03,2025-05-03,36
57,24/25,clyde-fc,2024-08-03,2025-05-03,36
57,24/25,east-fife,2024-08-03,2025-05-03,36
57,24/25,edinburgh-city-fc,2024-08-03,2025-05-03,36
57,24/25,elgin-city,2024-08-03,2025-05-03,36
57,24/25,forfar-athletic,2024-08-03,2025-05-03,36
57,24/25,peterhead,2024-08-03,2025-05-03,36
57,24/25,stirling-albion,2024-08-03,2025-05-03,36
57,24/25,stranraer,2024-08-03,2025-05-03,36
57,24/25,the-spartans-fc,2024-08-03,2025-05-03,36
54,25/26,aberdeen,2025-08-04,2026-04-11,33
54,25/26,celtic,2025-08-03,2026-04-11,33
54,25/26,dundee-fc,2025-08-03,2026-04-11,33
54,25/26,dundee-united,2025-08-03,2026-04-11,33
54,25/26,falkirk-fc,2025-08-03,2026-04-12,33
54,25/26,heart-of-midlothian,2025-08-04,2026-04-11,33
54,25/26,hibernian,2025-08-03,2026-04-11,33
54,25/26,kilmarnock,2025-08-02,2026-04-11,33
54,25/26,livingston,2025-08-02,2026-04-11,33
54,25/26,motherwell,2025-08-02,2026-04-11,33
54,25/26,rangers,2025-08-02,2026-04-12,33
54,25/26,st-mirren,2025-08-03,2026-04-11,33
55,25/26,airdrieonians,2025-08-02,2026-04-25,35
55,25/26,arbroath,2025-08-01,2026-04-25,35
55,25/26,ayr-united,2025-08-01,2026-04-25,35
55,25/26,dunfermline-athletic,2025-08-02,2026-04-25,35
55,25/26,greenock-morton,2025-08-02,2026-04-25,35
55,25/26,partick-thistle,2025-08-02,2026-04-25,35
55,25/26,queens-park-fc,2025-08-02,2026-04-25,35
55,25/26,raith-rovers,2025-08-02,2026-04-24,35
55,25/26,ross-county,2025-08-02,2026-04-25,35
55,25/26,st-johnstone,2025-08-02,2026-04-24,35
56,25/26,alloa-athletic,2025-08-02,2026-04-25,35
56,25/26,cove-rangers,2025-08-02,2026-04-25,35
56,25/26,east-fife,2025-08-02,2026-04-25,35
56,25/26,hamilton-academical,2025-08-02,2026-04-25,35
56,25/26,inverness-caledonian-thistle,2025-08-02,2026-04-25,35
56,25/26,kelty-hearts-fc,2025-08-02,2026-04-25,35
56,25/26,montrose,2025-08-02,2026-04-25,35
56,25/26,peterhead,2025-08-02,2026-04-25,35
56,25/26,queen-of-the-south,2025-08-02,2026-04-25,35
56,25/26,stenhousemuir,2025-08-02,2026-04-25,35
57,25/26,annan-athletic,2025-08-02,2026-04-25,35
57,25/26,clyde-fc,2025-08-02,2026-04-25,35
57,25/26,dumbarton,2025-08-02,2026-04-25,35
57,25/26,east-kilbride,2025-08-02,2026-04-25,35
57,25/26,edinburgh-city-fc,2025-08-02,2026-04-25,35
57,25/26,elgin-city,2025-08-02,2026-04-25,35
57,25/26,forfar-athletic,2025-08-02,2026-04-25,35
57,25/26,stirling-albion,2025-08-02,2026-04-25,35
57,25/26,stranraer,2025-08-02,2026-04-25,35
57,25/26,the-spartans-fc,2025-08-02,2026-04-25,35
54,26/27,aberdeen,2026-08-01,2026-09-15,6
54,26/27,celtic,2026-08-03,2026-09-09,6
54,26/27,dundee-fc,2026-08-03,2026-09-06,6
54,26/27,dundee-united,2026-07-31,2026-09-05,6
54,26/27,falkirk-fc,2026-08-01,2026-09-15,6
54,26/27,heart-of-midlothian,2026-08-01,2026-09-15,6
54,26/27,hibernian,2026-08-02,2026-09-15,6
54,26/27,kilmarnock,2026-08-02,2026-09-15,6
54,26/27,motherwell,2026-08-02,2026-09-15,6
54,26/27,rangers,2026-07-31,2026-09-09,6
54,26/27,st-johnstone,2026-08-02,2026-09-09,6
54,26/27,st-mirren,2026-08-01,2026-09-09,6
55,26/27,arbroath,2026-08-01,2026-09-12,6
55,26/27,ayr-united,2026-08-01,2026-09-18,7
55,26/27,dunfermline-athletic,2026-08-01,2026-09-12,6
55,26/27,greenock-morton,2026-08-01,2026-09-11,6
55,26/27,inverness-caledonian-thistle,2026-08-01,2026-09-12,6
55,26/27,livingston,2026-08-01,2026-09-11,6
55,26/27,partick-thistle,2026-08-01,2026-09-15,6
55,26/27,queens-park-fc,2026-08-01,2026-09-18,7
55,26/27,raith-rovers,2026-08-01,2026-09-12,6
55,26/27,stenhousemuir,2026-08-01,2026-09-15,6
56,26/27,airdrieonians,2026-08-01,2026-09-19,8
56,26/27,alloa-athletic,2026-08-01,2026-09-19,8
56,26/27,cove-rangers,2026-08-01,2026-09-19,8
56,26/27,east-fife,2026-08-01,2026-09-19,8
56,26/27,east-kilbride,2026-08-01,2026-09-19,8
56,26/27,hamilton-academical,2026-08-01,2026-09-19,7
56,26/27,montrose,2026-08-01,2026-09-19,8
56,26/27,peterhead,2026-08-01,2026-09-19,8
56,26/27,queen-of-the-south,2026-08-01,2026-09-19,8
56,26/27,ross-county,2026-08-01,2026-09-19,7
57,26/27,annan-athletic,2026-08-01,2026-09-19,8
57,26/27,clyde-fc,2026-08-01,2026-09-19,8
57,26/27,dumbarton,2026-08-01,2026-09-19,8
57,26/27,edinburgh-city-fc,2026-08-01,2026-09-19,8
57,26/27,elgin-city,2026-08-01,2026-09-19,8
57,26/27,forfar-athletic,2026-08-01,2026-09-19,8
57,26/27,kelty-hearts-fc,2026-08-01,2026-09-19,8
57,26/27,stirling-albion,2026-08-01,2026-09-19,8
57,26/27,stranraer,2026-08-01,2026-09-19,8
57,26/27,the-spartans-fc,2026-08-01,2026-09-19,8
