match_id,tournament_id,match_date,is_home_team,players_with_value,proposed_value_sum,currency
8736138,54,2021-01-02,True,0,,
8736138,54,2021-01-02,False,0,,
8736156,54,2021-01-02,True,0,,
8736156,54,2021-01-02,False,0,,
8736162,54,2021-01-02,True,0,,
8736162,54,2021-01-02,False,0,,
8736168,54,2021-01-02,True,0,,
8736168,54,2021-01-02,False,0,,
8736198,54,2021-01-02,True,0,,
8736198,54,2021-01-02,False,0,,
8736200,54,2021-01-02,True,0,,
8736200,54,2021-01-02,False,0,,
8736238,54,2021-03-20,True,0,,
8736238,54,2021-03-20,False,0,,
8736239,54,2021-02-21,True,0,,
8736239,54,2021-02-21,False,0,,
8736240,54,2021-03-20,True,0,,
8736240,54,2021-03-20,False,0,,
8736241,54,2021-03-06,True,0,,
8736241,54,2021-03-06,False,0,,
8736243,54,2021-02-20,True,0,,
8736243,54,2021-02-20,False,0,,
8736244,54,2021-02-21,True,0,,
8736244,54,2021-02-21,False,0,,
8736245,54,2021-02-20,True,0,,
8736245,54,2021-02-20,False,0,,
8736246,54,2021-02-10,True,0,,
8736246,54,2021-02-10,False,0,,
8736247,54,2021-03-06,True,0,,
8736247,54,2021-03-06,False,0,,
8736248,54,2021-03-21,True,0,,
8736248,54,2021-03-21,False,0,,
8736249,54,2021-03-06,True,0,,
8736249,54,2021-03-06,False,0,,
8736250,54,2021-03-07,True,0,,
8736250,54,2021-03-07,False,0,,
8736251,54,2021-03-20,True,0,,
8736251,54,2021-03-20,False,0,,
8736252,54,2021-02-10,True,0,,
8736252,54,2021-02-10,False,0,,
8736253,54,2021-01-16,True,0,,
8736253,54,2021-01-16,False,0,,
8736254,54,2021-02-02,True,0,,
8736254,54,2021-02-02,False,0,,
8736255,54,2021-03-20,True,0,,
8736255,54,2021-03-20,False,0,,
8736256,54,2021-02-13,True,0,,
8736256,54,2021-02-13,False,0,,
8736259,54,2021-02-06,True,0,,
8736259,54,2021-02-06,False,0,,
8736260,54,2021-02-03,True,0,,
8736260,54,2021-02-03,False,0,,
8736261,54,2021-01-09,True,0,,
8736261,54,2021-01-09,False,0,,
8736262,54,2021-02-07,True,0,,
8736262,54,2021-02-07,False,0,,
8736263,54,2021-01-27,True,0,,
8736263,54,2021-01-27,False,0,,
8736264,54,2021-01-11,True,0,,
8736264,54,2021-01-11,False,0,,
8736265,54,2021-03-03,True,0,,
8736265,54,2021-03-03,False,0,,
8736266,54,2021-02-03,True,0,,
8736266,54,2021-02-03,False,0,,
8736267,54,2021-02-13,True,0,,
8736267,54,2021-02-13,False,0,,
8736268,54,2021-02-27,True,0,,
8736268,54,2021-02-27,False,0,,
8736269,54,2021-02-27,True,0,,
8736269,54,2021-02-27,False,0,,
8736270,54,2021-02-06,True,0,,
8736270,54,2021-02-06,False,0,,
8736271,54,2021-02-27,True,0,,
8736271,54,2021-02-27,False,0,,
8736272,54,2021-01-27,True,0,,
8736272,54,2021-01-27,False,0,,
8736273,54,2021-02-13,True,0,,
8736273,54,2021-02-13,False,0,,
8736274,54,2021-02-06,True,0,,
8736274,54,2021-02-06,False,0,,
8736275,54,2021-03-06,True,0,,
8736275,54,2021-03-06,False,0,,
8736276,54,2021-01-16,True,0,,
8736276,54,2021-01-16,False,0,,
8736278,54,2021-01-23,True,0,,
8736278,54,2021-01-23,False,0,,
8736279,54,2021-02-20,True,0,,
8736279,54,2021-02-20,False,0,,
8736280,54,2021-03-06,True,0,,
8736280,54,2021-03-06,False,0,,
8736281,54,2021-02-06,True,0,,
8736281,54,2021-02-06,False,0,,
8736282,54,2021-02-02,True,0,,
8736282,54,2021-02-02,False,0,,
8736283,54,2021-02-27,True,0,,
8736283,54,2021-02-27,False,0,,
8736284,54,2021-01-27,True,0,,
8736284,54,2021-01-27,False,0,,
8736285,54,2021-01-27,True,0,,
8736285,54,2021-01-27,False,0,,
8736286,54,2021-01-09,True,0,,
8736286,54,2021-01-09,False,0,,
8736287,54,2021-02-14,True,0,,
8736287,54,2021-02-14,False,0,,
8736289,54,2021-01-10,True,0,,
8736289,54,2021-01-10,False,0,,
8736290,54,2021-02-03,True,0,,
8736290,54,2021-02-03,False,0,,
8736291,54,2021-01-27,True,0,,
8736291,54,2021-01-27,False,0,,
8736292,54,2021-01-30,True,0,,
8736292,54,2021-01-30,False,0,,
8736293,54,2021-02-06,True,0,,
8736293,54,2021-02-06,False,0,,
8736294,54,2021-03-03,True,0,,
8736294,54,2021-03-03,False,0,,
8736295,54,2021-01-30,True,0,,
8736295,54,2021-01-30,False,0,,
8736296,54,2021-01-10,True,0,,
8736296,54,2021-01-10,False,0,,
8736297,54,2021-01-27,True,0,,
8736297,54,2021-01-27,False,0,,
8736312,54,2021-01-16,True,0,,
8736312,54,2021-01-16,False,0,,
8736313,54,2021-01-17,True,0,,
8736313,54,2021-01-17,False,0,,
8736314,54,2021-02-13,True,0,,
8736314,54,2021-02-13,False,0,,
8736315,54,2021-01-16,True,0,,
8736315,54,2021-01-16,False,0,,
8736316,54,2021-02-02,True,0,,
8736316,54,2021-02-02,False,0,,
8736317,54,2021-01-16,True,0,,
8736317,54,2021-01-16,False,0,,
8736342,54,2021-01-23,True,0,,
8736342,54,2021-01-23,False,0,,
8736343,54,2021-02-20,True,0,,
8736343,54,2021-02-20,False,0,,
8824072,55,2021-01-15,True,0,,
8824072,55,2021-01-15,False,0,,
8824074,55,2021-01-16,True,0,,
8824074,55,2021-01-16,False,0,,
8824078,55,2021-01-16,True,0,,
8824078,55,2021-01-16,False,0,,
8824111,55,2021-01-26,True,0,,
