match_id,julia_proxy_xg_home,julia_proxy_xg_away,julia_proxy_xg_available_home,julia_proxy_xg_available_away
8736138,,,0,0
8736156,,,0,0
8736162,,,0,0
8736168,,,0,0
8736198,,,0,0
8736200,,,0,0
8824129,,,0,0
8824130,,,0,0
8824138,,,0,0
8824178,,,0,0
8824191,,,0,0
8824192,,,0,0
8824212,,,0,0
8736261,,,0,0
8736286,,,0,0
8736289,,,0,0
8736296,,,0,0
8736264,,,0,0
9274711,,,0,0
8824072,,,0,0
8736253,,,0,0
8736276,,,0,0
8736312,,,0,0
8736315,,,0,0
8736317,,,0,0
8824074,,,0,0
8824078,,,0,0
8736313,,,0,0
9242026,,,0,0
8824220,,,0,0
8736278,,,0,0
8736342,,,0,0
8824215,,,0,0
8824216,,,0,0
8824218,,,0,0
8824111,,,0,0
8736263,,,0,0
8736272,,,0,0
8736284,,,0,0
8736285,,,0,0
8736291,,,0,0
8736297,,,0,0
9302175,,,0,0
8736292,,,0,0
8736295,,,0,0
9264468,,,0,0
9286184,,,0,0
9298784,,,0,0
9302273,,,0,0
9302274,,,0,0
9302275,,,0,0
8736254,,,0,0
8736282,,,0,0
8736316,,,0,0
8736260,,,0,0
8736266,,,0,0
8736290,,,0,0
9286187,,,0,0
9303807,,,0,0
8824221,,,0,0
8736259,,,0,0
8736270,,,0,0
8736274,,,0,0
8736281,,,0,0
8736293,,,0,0
8824214,,,0,0
8824222,,,0,0
8824240,,,0,0
8736262,,,0,0
8736246,,,0,0
8736252,,,0,0
8824233,,,0,0
8736256,,,0,0
8736267,,,0,0
8736273,,,0,0
8736314,,,0,0
8824236,,,0,0
8736287,,,0,0
9264416,,,0,0
9322202,,,0,0
9336617,,,0,0
8736243,,,0,0
8736245,,,0,0
8736279,,,0,0
8736343,,,0,0
8824223,,,0,0
8824224,,,0,0
8824227,,,0,0
8824229,,,0,0
8824354,,,0,0
8736239,,,0,0
8736244,,,0,0
9349490,,,0,0
9325883,,,0,0
8824228,,,0,0
8736268,,,0,0
8736269,,,0,0
8736271,,,0,0
8736283,,,0,0
8824226,,,0,0
8824230,,,0,0
8824231,,,0,0
8824235,,,0,0
9363667,,,0,0
8736265,,,0,0
8736294,,,0,0
8736241,,,0,0
8736247,,,0,0
8736249,,,0,0
8736275,,,0,0
8736280,,,0,0
8824341,,,0,0
8824348,,,0,0
8824386,,,0,0
8824417,,,0,0
8736250,,,0,0
9363671,,,0,0
9363672,,,0,0
8824409,,,0,0
8824294,,,0,0
8824302,,,0,0
8824364,,,0,0
8824388,,,0,0
9362010,,,0,0
9362012,,,0,0
